Year,Age,Sex,Nationality,Unit measure,Unit multiplier,Observation status,Value
2021,15 to 17,Male,,Percentage (%),Units,Normal value,48.209366391184574
2021,18 to 20,Male,,Percentage (%),Units,Normal value,33.236574746008706
2021,21 to 24,Male,,Percentage (%),Units,Normal value,20.949343799828284
2021,25 to 29,Male,,Percentage (%),Units,Normal value,18.302867948313896
2021,30 to 39,Male,,Percentage (%),Units,Normal value,16.197975253093365
2021,40 to 49,Male,,Percentage (%),Units,Normal value,13.439421338155515
2021,50 to 59,Male,,Percentage (%),Units,Normal value,9.7495183044316
2021,60 and over,Male,,Percentage (%),Units,Normal value,4.689428218839983
2021,60 to 69,Male,,Percentage (%),Units,Normal value,5.514250309789343
2021,70 and over,Male,,Percentage (%),Units,Normal value,3.0599755201958385
2021,,Female,,Percentage (%),Units,Normal value,20.1188986232791
2021,15 to 17,Female,,Percentage (%),Units,Normal value,0.0
2021,18 to 20,Female,,Percentage (%),Units,Normal value,36.0
2021,21 to 24,Female,,Percentage (%),Units,Normal value,26.778242677824267
2021,25 to 29,Female,,Percentage (%),Units,Normal value,22.869955156950677
2021,30 to 39,Female,,Percentage (%),Units,Normal value,20.94370860927152
2021,40 to 49,Female,,Percentage (%),Units,Normal value,17.607526881720432
2021,50 to 59,Female,,Percentage (%),Units,Normal value,15.211267605633802
2021,60 and over,Female,,Percentage (%),Units,Normal value,9.30232558139535
2021,60 to 69,Female,,Percentage (%),Units,Normal value,10.81081081081081
2021,70 and over,Female,,Percentage (%),Units,Normal value,0.0
2021,,,British nationals,Percentage (%),Units,Normal value,14.415510192118877
2021,,,Foreign nationals,Percentage (%),Units,Normal value,27.81456953642384
2021,,,Nationality not recorded,Percentage (%),Units,Normal value,59.25925925925925
2022,,,,Percentage (%),Units,Normal value,16.624307268872663
2022,15 to 17,,,Percentage (%),Units,Normal value,47.147147147147145
2022,18 to 20,,,Percentage (%),Units,Normal value,35.617283950617285
2022,21 to 24,,,Percentage (%),Units,Normal value,21.446933529195743
2022,25 to 29,,,Percentage (%),Units,Normal value,18.763326226012797
2022,30 to 39,,,Percentage (%),Units,Normal value,16.773803221659232
2022,40 to 49,,,Percentage (%),Units,Normal value,14.376934984520124
2022,50 to 59,,,Percentage (%),Units,Normal value,10.803160750088454
2022,60 and over,,,Percentage (%),Units,Normal value,5.619865571321882
2022,60 to 69,,,Percentage (%),Units,Normal value,6.607440310938367
2022,70 and over,,,Percentage (%),Units,Normal value,3.591790193842645
2022,,Male,,Percentage (%),Units,Normal value,16.533602046352996
2022,15 to 17,Male,,Percentage (%),Units,Normal value,47.147147147147145
2022,18 to 20,Male,,Percentage (%),Units,Normal value,35.529634300126105
2022,21 to 24,Male,,Percentage (%),Units,Normal value,21.358490566037737
2022,25 to 29,Male,,Percentage (%),Units,Normal value,18.751476029284422
2022,30 to 39,Male,,Percentage (%),Units,Normal value,16.672622592813184
2022,40 to 49,Male,,Percentage (%),Units,Normal value,14.263397405420092
2022,50 to 59,Male,,Percentage (%),Units,Normal value,10.458806117414898
2022,60 and over,Male,,Percentage (%),Units,Normal value,5.485474006116208
2022,60 to 69,Male,,Percentage (%),Units,Normal value,6.592465753424658
2022,70 and over,Male,,Percentage (%),Units,Normal value,3.2407407407407405
2022,,Female,,Percentage (%),Units,Normal value,18.782662158007994
2022,15 to 17,Female,,Percentage (%),Units,Normal value,0.0
2022,18 to 20,Female,,Percentage (%),Units,Normal value,39.70588235294117
2022,21 to 24,Female,,Percentage (%),Units,Normal value,24.65753424657534
2022,25 to 29,Female,,Percentage (%),Units,Normal value,19.114219114219114
2022,30 to 39,Female,,Percentage (%),Units,Normal value,18.79460745440127
2022,40 to 49,Female,,Percentage (%),Units,Normal value,16.51728553137004
2022,50 to 59,Female,,Percentage (%),Units,Normal value,18.32884097035041
2022,60 and over,Female,,Percentage (%),Units,Normal value,11.29032258064516
2022,60 to 69,Female,,Percentage (%),Units,Normal value,7.142857142857142
2022,70 and over,Female,,Percentage (%),Units,Normal value,26.923076923076923
2022,,,British nationals,Percentage (%),Units,Normal value,14.817592618798288
2022,,,Foreign nationals,Percentage (%),Units,Normal value,28.33092336294154
2022,,,Nationality not recorded,Percentage (%),Units,Normal value,62.70096463022507
