Year,Size of particulate matter,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013,,Middlesbrough,Undefined,Units,microgram/m3,E06000002,10.95825117
2015,PM 10,Middlesbrough,Undefined,Units,microgram/m3,E06000002,15.0
2015,,Middlesbrough,Undefined,Units,microgram/m3,E06000002,11.0
2008,PM 10,Newcastle upon Tyne,Undefined,Units,microgram/m3,E08000021,17.264
2011,PM 10,Newcastle upon Tyne,Undefined,Units,microgram/m3,E08000021,19.616
2013,,Newcastle upon Tyne,Undefined,Units,microgram/m3,E08000021,10.38335285
2013,PM 10,Newcastle upon Tyne,Undefined,Units,microgram/m3,E08000021,15.0
2013,,Newcastle upon Tyne,Undefined,Units,microgram/m3,E08000021,10.0
2011,PM 10,Newport,Undefined,Units,microgram/m3,W06000022,17.676
2011,,Newport,Undefined,Units,microgram/m3,W06000022,12.48936068
2013,,Newport,Undefined,Units,microgram/m3,W06000022,12.95290288
2016,PM 10,Newport,Undefined,Units,microgram/m3,W06000022,15.0
2016,,Newport,Undefined,Units,microgram/m3,W06000022,10.0
2011,,Northampton,Undefined,Units,microgram/m3,E07000154,9.966
2016,PM 10,Northampton,Undefined,Units,microgram/m3,E07000154,10.0
2016,,Northampton,Undefined,Units,microgram/m3,E07000154,7.0
2011,PM 10,Norwich,Undefined,Units,microgram/m3,E07000148,19.834
2011,,Norwich,Undefined,Units,microgram/m3,E07000148,14.141
2013,,Norwich,Undefined,Units,microgram/m3,E07000148,13.23369116
2016,PM 10,Norwich,Undefined,Units,microgram/m3,E07000148,16.0
2016,,Norwich,Undefined,Units,microgram/m3,E07000148,11.0
2008,PM 10,Nottingham,Undefined,Units,microgram/m3,E06000018,17.94
2011,PM 10,Nottingham,Undefined,Units,microgram/m3,E06000018,24.765
2011,,Nottingham,Undefined,Units,microgram/m3,E06000018,13.196
2013,,Nottingham,Undefined,Units,microgram/m3,E06000018,12.23489619
2016,PM 10,Nottingham,Undefined,Units,microgram/m3,E06000018,19.0
2016,,Nottingham,Undefined,Units,microgram/m3,E06000018,12.0
2011,PM 10,Oxford,Undefined,Units,microgram/m3,E07000178,17.167
2011,,Oxford,Undefined,Units,microgram/m3,E07000178,11.674
2013,PM 10,Oxford,Undefined,Units,microgram/m3,E07000178,20.72740633
2013,,Oxford,Undefined,Units,microgram/m3,E07000178,13.74342057
2015,PM 10,Oxford,Undefined,Units,microgram/m3,E07000178,15.0
2015,,Oxford,Undefined,Units,microgram/m3,E07000178,10.0
2016,PM 10,Penicuik,Undefined,Units,microgram/m3,,4.0
2016,,Penicuik,Undefined,Units,microgram/m3,,3.0
2011,PM 10,Plymouth,Undefined,Units,microgram/m3,E06000026,20.319
2011,,Plymouth,Undefined,Units,microgram/m3,E06000026,10.579
2013,,Plymouth,Undefined,Units,microgram/m3,E06000026,12.00674284
2013,PM 10,Plymouth,Undefined,Units,microgram/m3,E06000026,17.0
2013,,Plymouth,Undefined,Units,microgram/m3,E06000026,12.0
2013,,Port Talbot,Undefined,Units,microgram/m3,,14.33547224
2016,PM 10,Port Talbot,Undefined,Units,microgram/m3,,22.0
2016,,Port Talbot,Undefined,Units,microgram/m3,,9.0
2008,PM 10,Portsmouth,Undefined,Units,microgram/m3,E06000044,23.99396615
2011,,Portsmouth,Undefined,Units,microgram/m3,E06000044,15.857
2013,,Portsmouth,Undefined,Units,microgram/m3,E06000044,13.93646073
2016,PM 10,Portsmouth,Undefined,Units,microgram/m3,E06000044,17.0
2016,,Portsmouth,Undefined,Units,microgram/m3,E06000044,12.0
2008,PM 10,Preston,Undefined,Units,microgram/m3,E07000123,18.729
2011,,Preston,Undefined,Units,microgram/m3,E07000123,11.387
2016,PM 10,Preston,Undefined,Units,microgram/m3,E07000123,14.0
2016,,Preston,Undefined,Units,microgram/m3,E07000123,10.0
2013,,Prestonpans,Undefined,Units,microgram/m3,,11.62583712
2011,PM 10,Reading,Undefined,Units,microgram/m3,E06000038,19.153
2011,,Reading,Undefined,Units,microgram/m3,E06000038,13.749
2013,PM 10,Reading,Undefined,Units,microgram/m3,E06000038,15.51868567
2013,,Reading,Undefined,Units,microgram/m3,E06000038,9.91568677
2016,PM 10,Rochester,Undefined,Units,microgram/m3,,16.0
2016,,Rochester,Undefined,Units,microgram/m3,,11.0
2013,,Salford,Undefined,Units,microgram/m3,E08000006,15.03087209
2013,PM 10,Salford,Undefined,Units,microgram/m3,E08000006,19.0
2013,,Salford,Undefined,Units,microgram/m3,E08000006,15.0
2013,,Saltash,Undefined,Units,microgram/m3,,10.70521349
2016,PM 10,Saltash,Undefined,Units,microgram/m3,,15.0
2016,,Saltash,Undefined,Units,microgram/m3,,8.0
2016,PM 10,Sandy,Undefined,Units,microgram/m3,,19.0
2016,,Sandy,Undefined,Units,microgram/m3,,12.0
2013,,Scunthorpe,Undefined,Units,microgram/m3,,15.79164875
2017,PM 10,Scunthorpe,Undefined,Units,microgram/m3,,16.0
2017,,Scunthorpe,Undefined,Units,microgram/m3,,6.0
2008,PM 10,Sheffield,Undefined,Units,microgram/m3,E08000019,22.353
2011,PM 10,Sheffield,Undefined,Units,microgram/m3,E08000019,22.698
2011,,Sheffield,Undefined,Units,microgram/m3,E08000019,17.353
2016,PM 10,Sheffield,Undefined,Units,microgram/m3,E08000019,14.0
2016,,Sheffield,Undefined,Units,microgram/m3,E08000019,10.0
2008,PM 10,Southampton,Undefined,Units,microgram/m3,E06000045,20.548
2011,PM 10,Southampton,Undefined,Units,microgram/m3,E06000045,20.969
2011,,Southampton,Undefined,Units,microgram/m3,E06000045,15.934
2013,,Southampton,Undefined,Units,microgram/m3,E06000045,15.01057159
2015,PM 10,Southampton,Undefined,Units,microgram/m3,E06000045,16.0
2015,,Southampton,Undefined,Units,microgram/m3,E06000045,10.0
2008,PM 10,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,19.9
2013,PM 10,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,15.0
2013,,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,11.0
