Year,Age,Sex,Country,Region,Police Force Area,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015/16,Under 1,Female,,,,"Rate per 100,000 population",Units,Undefined,,2.064056519764816
2015/16,Under 1,,,,,"Rate per 100,000 population",Units,Undefined,,1.7228532172130264
2015/16,1 to 4,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.2009262701051849
2015/16,1 to 4,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.2814923032966971
2015/16,1 to 4,,,,,"Rate per 100,000 population",Units,Undefined,,0.2402127873502573
2015/16,5 to 15,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.1860157603181613
2015/16,5 to 15,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.1951666151333866
2015/16,5 to 15,,,,,"Rate per 100,000 population",Units,Undefined,,0.1904813477262854
2015/16,16 to 24,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.084965936124388
2015/16,16 to 24,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.4998289647761156
2015/16,16 to 24,,,,,"Rate per 100,000 population",Units,Undefined,,1.311282641789297
2015/16,25 to 34,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.880419069177314
2015/16,25 to 34,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6874211852516077
2015/16,25 to 34,,,,,"Rate per 100,000 population",Units,Undefined,,1.284494397569584
2015/16,35 to 44,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.911921287008468
2015/16,35 to 44,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.7990652002577252
2015/16,35 to 44,,,,,"Rate per 100,000 population",Units,Undefined,,1.3524499228634874
2015/16,45 to 54,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.6179352855755345
2015/16,45 to 54,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.9230806602455882
2015/16,45 to 54,,,,,"Rate per 100,000 population",Units,Undefined,,1.2662715899306085
2015/16,55 to 64,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.0523057876818322
2015/16,55 to 64,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.4798838681039188
2015/16,55 to 64,,,,,"Rate per 100,000 population",Units,Undefined,,0.7615983817557586
2015/16,65 to 74,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.8474048594615884
2015/16,65 to 74,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.3084639421074873
2015/16,65 to 74,,,,,"Rate per 100,000 population",Units,Undefined,,0.5681967494884453
2015/16,75 and over,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.1153811054440737
2015/16,75 and over,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.622238131997205
2015/16,75 and over,,,,,"Rate per 100,000 population",Units,Undefined,,0.8289947503376027
2016/17,,,,,,"Rate per 100,000 population",Units,Undefined,,1.1561937806126923
2016/17,,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.7444103785412135
2016/17,,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5821379958796138
2016/17,Under 1,Male,,,,"Rate per 100,000 population",Units,Undefined,,4.164387821109004
2016/17,Under 1,Female,,,,"Rate per 100,000 population",Units,Undefined,,2.045282555785082
2016/17,Under 1,,,,,"Rate per 100,000 population",Units,Undefined,,3.131904425665672
2016/17,1 to 4,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.5383105527036312
2016/17,1 to 4,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.2829398583037189
2016/17,1 to 4,,,,,"Rate per 100,000 population",Units,Undefined,,0.4138132233325827
2016/17,5 to 15,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.5218215328611893
2016/17,5 to 15,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.2738867598758088
2016/17,5 to 15,,,,,"Rate per 100,000 population",Units,Undefined,,0.400862013674205
2016/17,16 to 24,Male,,,,"Rate per 100,000 population",Units,Undefined,,3.898667045737063
2016/17,16 to 24,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6639201449495753
2016/17,16 to 24,,,,,"Rate per 100,000 population",Units,Undefined,,2.323969327298606
2016/17,25 to 34,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.654562529347316
2016/17,25 to 34,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6579323615166252
2016/17,25 to 34,,,,,"Rate per 100,000 population",Units,Undefined,,1.6614433990916688
2016/17,35 to 44,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.185503956976331
2016/17,35 to 44,Female,,,,"Rate per 100,000 population",Units,Undefined,,1.0688739626578192
2016/17,35 to 44,,,,,"Rate per 100,000 population",Units,Undefined,,1.6244892424577049
2016/17,45 to 54,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.607420048781489
2016/17,45 to 54,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6510652150323724
2016/17,45 to 54,,,,,"Rate per 100,000 population",Units,Undefined,,1.123211819313798
2016/17,55 to 64,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.4562841695842914
2016/17,55 to 64,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.2058941615769139
2016/17,55 to 64,,,,,"Rate per 100,000 population",Units,Undefined,,0.8214024625645828
2016/17,65 to 74,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.6116562247354497
2016/17,65 to 74,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.2343770141774656
2016/17,65 to 74,,,,,"Rate per 100,000 population",Units,Undefined,,0.4162345342855854
2016/17,75 and over,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.6490527075732968
2016/17,75 and over,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.8367960316949231
