Year,Tourism sector,Tourism sub-sector (upper),Tourism sub-sector (middle),Tourism sub-sector (lower),Unit measure,Unit multiplier,Observation status,Value
2013,Food and beverage serving activities,Other food services activities,,,Number,Thousands,Undefined,116.8
2013,Food and beverage serving activities,Beverage serving activities,,,Number,Thousands,Undefined,485.3
2013,Food and beverage serving activities,Beverage serving activities,Licensed clubs,,Number,Thousands,Undefined,85.1
2013,Food and beverage serving activities,Beverage serving activities,Public houses and bars,,Number,Thousands,Undefined,400.3
2013,Railway passenger transport,,,,Number,Thousands,Undefined,64.0
2013,Railway passenger transport,Passenger rail transport; interurban,,,Number,Thousands,Undefined,45.7
2013,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,Number,Thousands,Undefined,18.3
2013,Road passenger transport,,,,Number,Thousands,Undefined,205.9
2013,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not including underground; metro and the like),,,Number,Thousands,Undefined,112.9
2013,Road passenger transport,Taxi operation,,,Number,Thousands,Undefined,34.5
2013,Road passenger transport,Other passenger land transport,,,Number,Thousands,Undefined,58.5
2013,Water passenger transport,,,,Number,Thousands,Undefined,8.5
2013,Water passenger transport,Sea and coastal passenger water transport,,,Number,Thousands,Undefined,7.5
2013,Water passenger transport,Inland passenger water transport,,,Number,Thousands,Undefined,1.0
2013,Air passenger transport,,,,Number,Thousands,Undefined,68.6
2013,Air passenger transport,Scheduled passenger air transport,,,Number,Thousands,Undefined,56.0
2013,Air passenger transport,Non-scheduled passenger air transport,,,Number,Thousands,Undefined,12.6
2013,Renting and leasing of motor vehicles,,,,Number,Thousands,Undefined,52.7
2013,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,Number,Thousands,Undefined,41.6
2013,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,Number,Thousands,Undefined,11.1
2013,Travel agencies and other reservation service activities,,,,Number,Thousands,Undefined,85.3
2013,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,Number,Thousands,Undefined,84.3
2013,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,Number,Thousands,Undefined,56.1
2013,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,Number,Thousands,Undefined,28.2
2013,Travel agencies and other reservation service activities,Activities of tourist guides,,,Number,Thousands,Undefined,1.0
2013,Cultural activities,,,,Number,Thousands,Undefined,148.8
2013,Cultural activities,Creative; arts and entertainment activities,,,Number,Thousands,Undefined,92.4
2013,Cultural activities,Creative; arts and entertainment activities,Performing arts,,Number,Thousands,Undefined,42.9
2013,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,Number,Thousands,Undefined,5.7
2013,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,Number,Thousands,Undefined,27.4
2013,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,Number,Thousands,Undefined,16.5
2013,Cultural activities,Museums activities,,,Number,Thousands,Undefined,25.9
2013,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,Number,Thousands,Undefined,12.0
2013,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,Number,Thousands,Undefined,18.5
2013,Sport and recreational activities,,,,Number,Thousands,Undefined,349.5
2013,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,Number,Thousands,Undefined,6.8
2013,Sport and recreational activities,Gambling and betting activities,,,Number,Thousands,Undefined,96.5
2013,Sport and recreational activities,Operation of sports facilities,,,Number,Thousands,Undefined,140.8
2013,Sport and recreational activities,Activities of racehorse owners,,,Number,Thousands,Undefined,1.4
2013,Sport and recreational activities,Other sports activities,,,Number,Thousands,Undefined,32.2
2013,Sport and recreational activities,Amusement and recreation activities,,,Number,Thousands,Undefined,71.8
2013,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,Number,Thousands,Undefined,15.6
2013,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,Number,Thousands,Undefined,56.1
2014,Accommodation,,,,Number,Thousands,Undefined,954.3
2014,Accommodation,Accommodation,,,Number,Thousands,Undefined,435.1
2014,Accommodation,Accommodation,Hotels and similar accommodation,,Number,Thousands,Undefined,352.7
2014,Accommodation,Accommodation,Holiday and other short-stay accommodation,,Number,Thousands,Undefined,40.1
2014,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,Number,Thousands,Undefined,24.6
2014,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,Number,Thousands,Undefined,2.5
2014,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,Number,Thousands,Undefined,13.0
2014,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,Number,Thousands,Undefined,33.4
2014,Accommodation,Accommodation,Other accommodation,,Number,Thousands,Undefined,8.9
2014,Accommodation,Real estate activities,,,Number,Thousands,Undefined,519.2
2014,Accommodation,Real estate activities,Buying and selling of own real estate,,Number,Thousands,Undefined,9.2
2014,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,Number,Thousands,Undefined,262.0
2014,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,Number,Thousands,Undefined,100.9
2014,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,Number,Thousands,Undefined,7.2
2014,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,Number,Thousands,Undefined,153.9
2014,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,Number,Thousands,Undefined,248.0
2014,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,Number,Thousands,Undefined,154.5
2014,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,Number,Thousands,Undefined,93.5
2014,Food and beverage serving activities,,,,Number,Thousands,Undefined,1487.9
2014,Food and beverage serving activities,Restaurants and mobile food service activities,,,Number,Thousands,Undefined,854.2
2014,Food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,Number,Thousands,Undefined,406.2
2014,Food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,Number,Thousands,Undefined,265.2
2014,Food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,Number,Thousands,Undefined,182.8
2014,Food and beverage serving activities,Other food services activities,,,Number,Thousands,Undefined,122.3
2014,Food and beverage serving activities,Beverage serving activities,,,Number,Thousands,Undefined,511.4
2014,Food and beverage serving activities,Beverage serving activities,Licensed clubs,,Number,Thousands,Undefined,81.6
2014,Food and beverage serving activities,Beverage serving activities,Public houses and bars,,Number,Thousands,Undefined,429.7
2014,Railway passenger transport,,,,Number,Thousands,Undefined,65.4
2014,Railway passenger transport,Passenger rail transport; interurban,,,Number,Thousands,Undefined,46.9
2014,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,Number,Thousands,Undefined,18.5
2014,Road passenger transport,,,,Number,Thousands,Undefined,222.5
2014,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not including underground; metro and the like),,,Number,Thousands,Undefined,121.1
2014,Road passenger transport,Taxi operation,,,Number,Thousands,Undefined,38.0
2014,Road passenger transport,Other passenger land transport,,,Number,Thousands,Undefined,63.4
2014,Water passenger transport,,,,Number,Thousands,Undefined,10.2
2014,Water passenger transport,Sea and coastal passenger water transport,,,Number,Thousands,Undefined,8.3
2014,Water passenger transport,Inland passenger water transport,,,Number,Thousands,Undefined,1.9
2014,Air passenger transport,,,,Number,Thousands,Undefined,69.8
2014,Air passenger transport,Scheduled passenger air transport,,,Number,Thousands,Undefined,58.1
2014,Air passenger transport,Non-scheduled passenger air transport,,,Number,Thousands,Undefined,11.7
2014,Renting and leasing of motor vehicles,,,,Number,Thousands,Undefined,45.1
2014,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,Number,Thousands,Undefined,35.6
2014,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,Number,Thousands,Undefined,9.5
2014,Travel agencies and other reservation service activities,,,,Number,Thousands,Undefined,85.3
2014,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,Number,Thousands,Undefined,84.5
2014,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,Number,Thousands,Undefined,56.0
2014,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,Number,Thousands,Undefined,28.5
2014,Travel agencies and other reservation service activities,Activities of tourist guides,,,Number,Thousands,Undefined,0.8
2014,Cultural activities,,,,Number,Thousands,Undefined,161.5
2014,Cultural activities,Creative; arts and entertainment activities,,,Number,Thousands,Undefined,101.5
2014,Cultural activities,Creative; arts and entertainment activities,Performing arts,,Number,Thousands,Undefined,49.2
2014,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,Number,Thousands,Undefined,7.1
2014,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,Number,Thousands,Undefined,28.4
2014,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,Number,Thousands,Undefined,16.8
2014,Cultural activities,Museums activities,,,Number,Thousands,Undefined,26.8
2014,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,Number,Thousands,Undefined,13.8
2014,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,Number,Thousands,Undefined,19.4
2014,Sport and recreational activities,,,,Number,Thousands,Undefined,337.9
2014,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,Number,Thousands,Undefined,5.8
2014,Sport and recreational activities,Gambling and betting activities,,,Number,Thousands,Undefined,93.2
2014,Sport and recreational activities,Operation of sports facilities,,,Number,Thousands,Undefined,146.0
2014,Sport and recreational activities,Activities of racehorse owners,,,Number,Thousands,Undefined,1.4
2014,Sport and recreational activities,Other sports activities,,,Number,Thousands,Undefined,34.5
2014,Sport and recreational activities,Amusement and recreation activities,,,Number,Thousands,Undefined,57.0
2014,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,Number,Thousands,Undefined,15.6
2014,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,Number,Thousands,Undefined,41.3
2015,Accommodation,,,,Number,Thousands,Undefined,980.1
2015,Accommodation,Accommodation,,,Number,Thousands,Undefined,445.4
2015,Accommodation,Accommodation,Hotels and similar accommodation,,Number,Thousands,Undefined,362.3
2015,Accommodation,Accommodation,Holiday and other short-stay accommodation,,Number,Thousands,Undefined,40.0
2015,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,Number,Thousands,Undefined,23.7
2015,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,Number,Thousands,Undefined,2.5
2015,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,Number,Thousands,Undefined,13.8
2015,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,Number,Thousands,Undefined,34.5
2015,Accommodation,Accommodation,Other accommodation,,Number,Thousands,Undefined,8.6
2015,Accommodation,Real estate activities,,,Number,Thousands,Undefined,534.7
2015,Accommodation,Real estate activities,Buying and selling of own real estate,,Number,Thousands,Undefined,8.5
2015,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,Number,Thousands,Undefined,260.2
2015,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,Number,Thousands,Undefined,103.3
2015,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,Number,Thousands,Undefined,8.2
2015,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,Number,Thousands,Undefined,148.6
2015,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,Number,Thousands,Undefined,266.1
2015,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,Number,Thousands,Undefined,164.1
2015,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,Number,Thousands,Undefined,102.0
2015,Food and beverage serving activities,,,,Number,Thousands,Undefined,1534.1
2015,Food and beverage serving activities,Restaurants and mobile food service activities,,,Number,Thousands,Undefined,901.4
2015,Food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,Number,Thousands,Undefined,430.9
2015,Food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,Number,Thousands,Undefined,284.5
2015,Food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,Number,Thousands,Undefined,186.0
2015,Food and beverage serving activities,Other food services activities,,,Number,Thousands,Undefined,112.1
2015,Food and beverage serving activities,Beverage serving activities,,,Number,Thousands,Undefined,520.6
2015,Food and beverage serving activities,Beverage serving activities,Licensed clubs,,Number,Thousands,Undefined,87.3
2015,Food and beverage serving activities,Beverage serving activities,Public houses and bars,,Number,Thousands,Undefined,433.3
2015,Railway passenger transport,,,,Number,Thousands,Undefined,68.7
2015,Railway passenger transport,Passenger rail transport; interurban,,,Number,Thousands,Undefined,49.3
2015,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,Number,Thousands,Undefined,19.4
2015,Road passenger transport,,,,Number,Thousands,Undefined,222.4
2015,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not including underground; metro and the like),,,Number,Thousands,Undefined,119.2
2015,Road passenger transport,Taxi operation,,,Number,Thousands,Undefined,39.7
2015,Road passenger transport,Other passenger land transport,,,Number,Thousands,Undefined,63.5
2015,Water passenger transport,,,,Number,Thousands,Undefined,10.1
2015,Water passenger transport,Sea and coastal passenger water transport,,,Number,Thousands,Undefined,8.1
2015,Water passenger transport,Inland passenger water transport,,,Number,Thousands,Undefined,2.0
2015,Air passenger transport,,,,Number,Thousands,Undefined,72.7
2015,Air passenger transport,Scheduled passenger air transport,,,Number,Thousands,Undefined,58.7
2015,Air passenger transport,Non-scheduled passenger air transport,,,Number,Thousands,Undefined,14.0
2015,Renting and leasing of motor vehicles,,,,Number,Thousands,Undefined,39.8
2015,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,Number,Thousands,Undefined,31.7
2015,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,Number,Thousands,Undefined,8.1
2015,Travel agencies and other reservation service activities,,,,Number,Thousands,Undefined,87.7
2015,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,Number,Thousands,Undefined,87.0
2015,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,Number,Thousands,Undefined,58.9
2015,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,Number,Thousands,Undefined,28.1
2015,Travel agencies and other reservation service activities,Activities of tourist guides,,,Number,Thousands,Undefined,0.7
2015,Cultural activities,,,,Number,Thousands,Undefined,158.3
2015,Cultural activities,Creative; arts and entertainment activities,,,Number,Thousands,Undefined,95.4
2015,Cultural activities,Creative; arts and entertainment activities,Performing arts,,Number,Thousands,Undefined,45.0
2015,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,Number,Thousands,Undefined,7.5
2015,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,Number,Thousands,Undefined,26.4
2015,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,Number,Thousands,Undefined,16.5
2015,Cultural activities,Museums activities,,,Number,Thousands,Undefined,28.5
2015,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,Number,Thousands,Undefined,13.9
2015,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,Number,Thousands,Undefined,20.5
2015,Sport and recreational activities,,,,Number,Thousands,Undefined,359.5
2015,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,Number,Thousands,Undefined,12.3
2015,Sport and recreational activities,Gambling and betting activities,,,Number,Thousands,Undefined,92.6
2015,Sport and recreational activities,Operation of sports facilities,,,Number,Thousands,Undefined,145.4
2015,Sport and recreational activities,Activities of racehorse owners,,,Number,Thousands,Undefined,1.1
2015,Sport and recreational activities,Other sports activities,,,Number,Thousands,Undefined,35.3
2015,Sport and recreational activities,Amusement and recreation activities,,,Number,Thousands,Undefined,72.8
2015,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,Number,Thousands,Undefined,17.3
2015,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,Number,Thousands,Undefined,55.5
2016,Accommodation,,,,Number,Thousands,Undefined,1006.3
2016,Accommodation,Accommodation,,,Number,Thousands,Undefined,476.3
2016,Accommodation,Accommodation,Hotels and similar accommodation,,Number,Thousands,Undefined,384.8
2016,Accommodation,Accommodation,Holiday and other short-stay accommodation,,Number,Thousands,Undefined,44.3
2016,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,Number,Thousands,Undefined,25.8
2016,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,Number,Thousands,Undefined,2.7
2016,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,Number,Thousands,Undefined,15.8
2016,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,Number,Thousands,Undefined,37.7
2016,Accommodation,Accommodation,Other accommodation,,Number,Thousands,Undefined,9.6
2016,Accommodation,Real estate activities,,,Number,Thousands,Undefined,530.0
2016,Accommodation,Real estate activities,Buying and selling of own real estate,,Number,Thousands,Undefined,10.0
2016,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,Number,Thousands,Undefined,264.5
2016,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,Number,Thousands,Undefined,104.8
2016,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,Number,Thousands,Undefined,8.6
2016,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,Number,Thousands,Undefined,151.1
2016,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,Number,Thousands,Undefined,255.5
2016,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,Number,Thousands,Undefined,158.1
2016,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,Number,Thousands,Undefined,97.3
2016,Food and beverage serving activities,,,,Number,Thousands,Undefined,1633.4
2016,Food and beverage serving activities,Restaurants and mobile food service activities,,,Number,Thousands,Undefined,967.6
2016,Food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,Number,Thousands,Undefined,456.8
2016,Food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,Number,Thousands,Undefined,309.6
2016,Food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,Number,Thousands,Undefined,201.2
2016,Food and beverage serving activities,Other food services activities,,,Number,Thousands,Undefined,127.4
2016,Food and beverage serving activities,Beverage serving activities,,,Number,Thousands,Undefined,538.4
2016,Food and beverage serving activities,Beverage serving activities,Licensed clubs,,Number,Thousands,Undefined,87.0
2016,Food and beverage serving activities,Beverage serving activities,Public houses and bars,,Number,Thousands,Undefined,451.4
2016,Railway passenger transport,,,,Number,Thousands,Undefined,69.7
2016,Railway passenger transport,Passenger rail transport; interurban,,,Number,Thousands,Undefined,50.3
2016,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,Number,Thousands,Undefined,19.4
2016,Road passenger transport,,,,Number,Thousands,Undefined,237.8
2016,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not including underground; metro and the like),,,Number,Thousands,Undefined,119.6
2016,Road passenger transport,Taxi operation,,,Number,Thousands,Undefined,49.1
2016,Road passenger transport,Other passenger land transport,,,Number,Thousands,Undefined,69.1
2016,Water passenger transport,,,,Number,Thousands,Undefined,7.7
2016,Water passenger transport,Sea and coastal passenger water transport,,,Number,Thousands,Undefined,6.3
2016,Water passenger transport,Inland passenger water transport,,,Number,Thousands,Undefined,1.4
2016,Air passenger transport,,,,Number,Thousands,Undefined,73.6
2016,Air passenger transport,Scheduled passenger air transport,,,Number,Thousands,Undefined,60.5
2016,Air passenger transport,Non-scheduled passenger air transport,,,Number,Thousands,Undefined,13.1
2016,Renting and leasing of motor vehicles,,,,Number,Thousands,Undefined,41.7
2016,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,Number,Thousands,Undefined,33.9
2016,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,Number,Thousands,Undefined,7.8
2016,Travel agencies and other reservation service activities,,,,Number,Thousands,Undefined,89.5
2016,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,Number,Thousands,Undefined,88.4
2016,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,Number,Thousands,Undefined,59.7
2016,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,Number,Thousands,Undefined,28.7
2016,Travel agencies and other reservation service activities,Activities of tourist guides,,,Number,Thousands,Undefined,1.1
2016,Cultural activities,,,,Number,Thousands,Undefined,175.5
2016,Cultural activities,Creative; arts and entertainment activities,,,Number,Thousands,Undefined,102.0
2016,Cultural activities,Creative; arts and entertainment activities,Performing arts,,Number,Thousands,Undefined,47.8
2016,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,Number,Thousands,Undefined,8.6
2016,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,Number,Thousands,Undefined,27.6
2016,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,Number,Thousands,Undefined,18.0
2016,Cultural activities,Museums activities,,,Number,Thousands,Undefined,31.5
2016,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,Number,Thousands,Undefined,16.3
2016,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,Number,Thousands,Undefined,25.7
2016,Sport and recreational activities,,,,Number,Thousands,Undefined,373.8
2016,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,Number,Thousands,Undefined,8.0
2016,Sport and recreational activities,Gambling and betting activities,,,Number,Thousands,Undefined,92.7
2016,Sport and recreational activities,Operation of sports facilities,,,Number,Thousands,Undefined,162.7
2016,Sport and recreational activities,Activities of racehorse owners,,,Number,Thousands,Undefined,1.3
2016,Sport and recreational activities,Other sports activities,,,Number,Thousands,Undefined,40.9
2016,Sport and recreational activities,Amusement and recreation activities,,,Number,Thousands,Undefined,68.2
2016,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,Number,Thousands,Undefined,17.3
2016,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,Number,Thousands,Undefined,50.9
