Year,Units,Disability status,Age,Sex,Region,Country of birth,Nationality,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015,Headcount (ONS data),,,,,Other country of birth,,"Rate per 1,000,000 population",Units,Undefined,,17730.1
2016,Headcount (ONS data),,,,,Other country of birth,,"Rate per 1,000,000 population",Units,Undefined,,17104.5
2017,Headcount (ONS data),,,,,Other country of birth,,"Rate per 1,000,000 population",Units,Undefined,,15708.5
2012,Headcount (ONS data),,,,,,UK nationality,"Rate per 1,000,000 population",Units,Undefined,,7781.6
2013,Headcount (ONS data),,,,,,UK nationality,"Rate per 1,000,000 population",Units,Undefined,,7993.3
2014,Headcount (ONS data),,,,,,UK nationality,"Rate per 1,000,000 population",Units,Undefined,,8650.9
2015,Headcount (ONS data),,,,,,UK nationality,"Rate per 1,000,000 population",Units,Undefined,,9181.0
2016,Headcount (ONS data),,,,,,UK nationality,"Rate per 1,000,000 population",Units,Undefined,,9018.0
2017,Headcount (ONS data),,,,,,UK nationality,"Rate per 1,000,000 population",Units,Undefined,,9099.2
2012,Headcount (ONS data),,,,,,European Economic Area nationality,"Rate per 1,000,000 population",Units,Undefined,,15871.8
2013,Headcount (ONS data),,,,,,European Economic Area nationality,"Rate per 1,000,000 population",Units,Undefined,,15387.5
2014,Headcount (ONS data),,,,,,European Economic Area nationality,"Rate per 1,000,000 population",Units,Undefined,,16600.7
2015,Headcount (ONS data),,,,,,European Economic Area nationality,"Rate per 1,000,000 population",Units,Undefined,,16033.3
2016,Headcount (ONS data),,,,,,European Economic Area nationality,"Rate per 1,000,000 population",Units,Undefined,,17210.2
2017,Headcount (ONS data),,,,,,European Economic Area nationality,"Rate per 1,000,000 population",Units,Undefined,,16748.1
2012,Headcount (ONS data),,,,,,Other nationality,"Rate per 1,000,000 population",Units,Undefined,,13121.0
2013,Headcount (ONS data),,,,,,Other nationality,"Rate per 1,000,000 population",Units,Undefined,,14672.5
2014,Headcount (ONS data),,,,,,Other nationality,"Rate per 1,000,000 population",Units,Undefined,,17891.0
2015,Headcount (ONS data),,,,,,Other nationality,"Rate per 1,000,000 population",Units,Undefined,,20786.6
2016,Headcount (ONS data),,,,,,Other nationality,"Rate per 1,000,000 population",Units,Undefined,,19958.5
2017,Headcount (ONS data),,,,,,Other nationality,"Rate per 1,000,000 population",Units,Undefined,,16571.2
2012,Headcount (ONS data),,,Male,,,,"Rate per 1,000,000 population",Units,Undefined,,10275.6
2013,Headcount (ONS data),,,Male,,,,"Rate per 1,000,000 population",Units,Undefined,,10495.1
2014,Headcount (ONS data),,,Male,,,,"Rate per 1,000,000 population",Units,Undefined,,11265.9
2015,Headcount (ONS data),,,Male,,,,"Rate per 1,000,000 population",Units,Undefined,,11548.5
2016,Headcount (ONS data),,,Male,,,,"Rate per 1,000,000 population",Units,Undefined,,11548.9
2017,Headcount (ONS data),,,Male,,,,"Rate per 1,000,000 population",Units,Undefined,,11531.7
2012,Headcount (ONS data),,,Female,,,,"Rate per 1,000,000 population",Units,Undefined,,6397.0
2013,Headcount (ONS data),,,Female,,,,"Rate per 1,000,000 population",Units,Undefined,,6660.9
2014,Headcount (ONS data),,,Female,,,,"Rate per 1,000,000 population",Units,Undefined,,7533.2
2015,Headcount (ONS data),,,Female,,,,"Rate per 1,000,000 population",Units,Undefined,,8392.7
2016,Headcount (ONS data),,,Female,,,,"Rate per 1,000,000 population",Units,Undefined,,8253.5
2017,Headcount (ONS data),,,Female,,,,"Rate per 1,000,000 population",Units,Undefined,,8162.0
2000,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,2893.16262
2001,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,3079.38906
2002,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,3338.94652
2003,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,3636.94298
2004,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,3823.53551
2005,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,4123.61395
2006,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,4177.58715
2007,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,4113.85164
2008,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,4058.42521
2009,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,4083.44176
2010,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,4053.03668
2011,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,3939.04069
2012,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,3986.84956
2013,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,4141.30419
2014,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,4254.10877
2015,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,4350.08719
2016,Full time equivalent (World Bank Data),,,,,,,"Rate per 1,000,000 population",Units,Undefined,,4429.5838
