Year,Series,Industry sector,Units,Unit multiplier,Observation status,Value
2016,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2017,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2018,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
2019,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
1990,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,14.2
1991,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.3
1992,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.3
1993,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.4
1994,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.5
1995,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.6
1996,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.0
1997,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.4
1998,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.7
1999,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.7
2000,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.8
2001,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.6
2002,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.8
2003,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.5
2004,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.3
2005,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,16.0
2006,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,14.7
2007,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.3
2008,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.7
2009,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.7
2010,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.4
2011,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,14.5
2012,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.7
2013,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.7
2014,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.1
2015,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.9
2016,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.3
2017,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.1
2018,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.1
2019,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.0
1990,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
1991,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
1992,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
1993,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
1994,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
1995,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
1996,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
1997,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
1998,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
1999,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2000,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2001,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
2002,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2003,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2004,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2005,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2006,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2007,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2008,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2009,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.3
2010,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2011,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2012,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2013,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2014,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2015,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.3
2016,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.3
2017,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.3
2018,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2019,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1990,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.7
1991,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.8
1992,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.9
1993,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.6
1994,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.6
1995,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.6
1996,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.6
1997,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.5
1998,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.5
1999,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
2000,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
2001,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2002,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2003,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2004,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2005,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2006,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2007,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2008,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2009,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2010,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2011,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2012,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2013,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2014,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2015,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2016,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2017,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2018,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2019,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
1990,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.2
1991,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.4
1992,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.2
1993,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.4
1994,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.1
1995,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.1
1996,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.1
1997,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.0
1998,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.8
1999,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.1
2000,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.2
2001,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.5
2002,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2003,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.5
2004,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.8
2005,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.6
2006,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.6
2007,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.6
2008,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
2009,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
2010,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
2011,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2012,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2013,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2014,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2015,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2016,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2017,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2018,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2019,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.3
1990,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,21.5
1991,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,22.6
1992,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,21.6
1993,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,21.4
1994,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.4
1995,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.1
1996,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.2
1997,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,19.7
1998,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,18.9
1999,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,18.2
2000,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,17.2
2001,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,16.2
2002,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,15.0
2003,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,14.9
2004,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,14.4
2005,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,14.3
2006,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.3
2007,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.0
2008,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.5
2009,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.8
2010,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.1
2011,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.9
2012,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.1
2013,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.8
2014,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,9.9
2015,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,9.6
2016,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,9.3
2017,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,9.1
2018,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,8.7
2019,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,8.0
1990,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.5
1991,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.1
1992,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.2
1993,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.1
1994,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.3
1995,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.1
1996,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.1
1997,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.6
1998,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.0
1999,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.0
2000,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.5
2001,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.1
2002,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.1
2003,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.3
2004,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,6.5
2005,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,7.1
2006,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,7.5
2007,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,8.0
2008,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,8.9
2009,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,9.5
2010,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.5
2011,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.4
2012,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.2
2013,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,14.5
2014,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,14.0
2015,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.1
2016,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.7
2017,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,13.0
2018,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.0
2019,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,12.0
1990,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1991,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1992,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1993,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1994,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1995,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1996,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
1997,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
1998,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
1999,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2000,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2001,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2002,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2003,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2004,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2005,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2006,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2007,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2008,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2009,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2010,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2011,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2012,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2013,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.7
2014,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
2015,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2016,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2017,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2018,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
2019,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.4
1990,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
1991,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
1992,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
1993,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
1994,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
1995,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.0
1996,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.1
1997,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.0
1998,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
1999,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
2000,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
2001,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
2002,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
2003,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.1
2004,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.1
2005,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.5
2006,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.4
2007,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
2008,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2009,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.8
2010,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.8
2011,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.6
