Year,Series,City,Urbanisation,Value
2017,PM10,Southampton,,18.14
2019,PM10,Southampton,,16.85
2013,PM10,Speke,,14.02
2014,PM10,Speke,,14.47
2015,PM10,Speke,,13.94
2017,PM10,Speke,,11.49
2018,PM10,Speke,,13.98
2019,PM10,Speke,,16.71
2010,PM10,Stanford-Le-Hope,,20.64
2013,PM10,Stanford-Le-Hope,,24.33
2014,PM10,Stanford-Le-Hope,,19.16
2016,PM10,Stanford-Le-Hope,,20.05
2017,PM10,Stanford-Le-Hope,,18.61
2018,PM10,Stanford-Le-Hope,,18.27
2019,PM10,Stanford-Le-Hope,,17.29
2016,PM10,Stockbridge,,14.92
2017,PM10,Stockbridge,,13.33
2018,PM10,Stockbridge,,12.27
2019,PM10,Stockbridge,,11.91
2010,PM10,Stockton-On-Tees,,14.42
2013,PM10,Stockton-On-Tees,,16.78
2014,PM10,Stockton-On-Tees,,16.73
2015,PM10,Stockton-On-Tees,,15.84
2017,PM10,Stockton-On-Tees,,14.11
2018,PM10,Stockton-On-Tees,,15.73
2019,PM10,Stockton-On-Tees,,13.59
2010,PM10,Stoke - On - Trent,,22.11
2013,PM10,Stoke-On-Trent,,20.29
2014,PM10,Stoke-On-Trent,,18.26
2016,PM10,Stoke-On-Trent,,20.44
2017,PM10,Stoke-On-Trent,,18.37
2018,PM10,Stoke-On-Trent,,19.18
2019,PM10,Stoke-On-Trent,,19.68
2010,PM10,Storrington,,20.38
2015,PM10,Storrington,,15.76
2016,PM10,Storrington,,18.75
2010,PM10,Swansea,,15.75
2013,PM10,Swansea,,19.07
2014,PM10,Swansea,,20.21
2015,PM10,Swansea,,20.22
2016,PM10,Swansea,,19.14
2017,PM10,Swansea,,18.9
2018,PM10,Swansea,,19.69
2019,PM10,Swansea,,18.36
2010,PM10,Thurrock,,24.2
2013,PM10,Warrington,,17.53
2014,PM10,Warrington,,15.53
2015,PM10,Warrington,,15.39
2016,PM10,Warrington,,16.15
2019,PM10,Warrington,,16.98
2010,PM10,Wrexham,,14.28
2013,PM10,Wrexham,,17.09
2014,PM10,Wrexham,,14.06
2015,PM10,Wrexham,,13.29
2016,PM10,Wrexham,,12.2
2017,PM10,Wrexham,,11.51
2019,PM10,Wrexham,,12.09
2010,PM10,York,,19.16
2013,PM10,York,,15.26
2014,PM10,York,,16.71
2015,PM10,York,,16.51
2016,PM10,York,,16.34
2017,PM10,York,,14.85
2018,PM10,York,,16.1
2019,PM10,York,,17.92
2019,PM2.5,,City,10.06
2019,PM2.5,,Town,8.83
2019,PM2.5,,Rural,7.82
2019,PM2.5,,,9.52
2019,PM2.5,,Urban,9.71
2018,PM2.5,,,10.07
2018,PM2.5,,Urban,10.28
2018,PM2.5,,City,10.67
2018,PM2.5,,Rural,8.2
2018,PM2.5,,Town,9.3
2017,PM2.5,,,10.09
2017,PM2.5,,Urban,10.31
2017,PM2.5,,City,10.72
2017,PM2.5,,Rural,8.18
2017,PM2.5,,Town,9.29
2016,PM2.5,,,10.19
2016,PM2.5,,Urban,10.42
2016,PM2.5,,city,10.84
2016,PM2.5,,Rural,8.19
2016,PM2.5,,Town,9.35
2015,PM2.5,,Town,10.2
2015,PM2.5,,,11.08
2015,PM2.5,,Urban,11.33
2015,PM2.5,,City,11.78
2015,PM2.5,,Rural,8.96
2014,PM2.5,,Town,10.06
2014,PM2.5,,,10.95
2014,PM2.5,,Urban,11.2
2014,PM2.5,,City,11.66
2014,PM2.5,,Rural,8.81
2013,PM2.5,,Town,10.83
2013,PM2.5,,,11.82
2013,PM2.5,,Urban,12.09
2013,PM2.5,,City,12.6
2013,PM2.5,,Rural,9.47
2012,PM2.5,,Town,11.11
2012,PM2.5,,,12.14
2012,PM2.5,,Urban,12.42
2012,PM2.5,,City,12.94
2012,PM2.5,,Rural,9.7
2011,PM2.5,,Rural,10.76
2011,PM2.5,,Town,12.3
2011,PM2.5,,,13.41
2011,PM2.5,,Urban,13.72
2011,PM2.5,,City,14.29
2010,PM2.5,,Rural,10.43
2010,PM2.5,,Town,12.02
2010,PM2.5,,,13.17
2010,PM2.5,,Urban,13.49
2010,PM2.5,,City,14.08
