Year,Industry sector,Observation status,Unit multiplier,Unit measure,Value
2012,Education,Undefined,Thousand,Tonnes per million GBP (£),0.03
2012,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2012,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2012,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2012,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
2013,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.75
2013,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),1.09
2013,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.52
2013,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.13
2013,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.18
2013,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.12
2013,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.07
2013,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.09
2013,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.06
2013,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.01
2013,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2013,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2013,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.02
2013,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2013,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.06
2013,Education,Undefined,Thousand,Tonnes per million GBP (£),0.03
2013,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2013,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2013,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2013,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
2014,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.77
2014,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),1.09
2014,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.5
2014,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),4.74
2014,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.19
2014,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.11
2014,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.07
2014,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.08
2014,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.05
2014,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.01
2014,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2014,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2014,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.01
2014,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2014,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.06
2014,Education,Undefined,Thousand,Tonnes per million GBP (£),0.03
2014,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2014,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2014,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2014,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
2015,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.66
2015,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),1.1
2015,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.5
2015,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),4.15
2015,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.2
2015,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.12
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.07
2015,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.09
2015,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.05
2015,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.01
2015,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2015,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2015,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.01
2015,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2015,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.06
2015,Education,Undefined,Thousand,Tonnes per million GBP (£),0.02
2015,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2015,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2015,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2015,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
2016,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.73
2016,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),1.07
2016,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.46
2016,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),3.35
2016,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.21
2016,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.11
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.07
2016,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.1
2016,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.06
2016,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.01
2016,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2016,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2016,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.01
2016,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2016,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.06
2016,Education,Undefined,Thousand,Tonnes per million GBP (£),0.03
2016,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.04
2016,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2016,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2016,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
2017,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.74
2017,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),1.05
2017,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.45
2017,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),3.1
2017,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.21
2017,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.11
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.07
2017,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.07
2017,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.05
2017,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.01
2017,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2017,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
2017,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.01
2017,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2017,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.06
2017,Education,Undefined,Thousand,Tonnes per million GBP (£),0.02
2017,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2017,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.05
2017,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.03
2017,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.01
