Year,Industry sector,Unit measure,Unit multiplier,Observation status,Value
2004,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2005,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2006,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2007,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2008,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2009,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2010,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2011,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2012,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2013,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2014,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2015,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2016,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2017,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2018,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
1990,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
1991,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
1992,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
1993,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
1994,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
1995,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
1996,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
1997,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
1998,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
1999,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2000,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2001,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2002,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2003,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2004,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2005,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2006,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2007,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2008,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.5
2009,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.5
2010,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2011,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2012,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2013,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.5
2014,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.5
2015,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.5
2016,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.5
2017,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.4
2018,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.4
1990,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
1991,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
1992,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
1993,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
1994,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
1995,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
1996,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
1997,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
1998,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
1999,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2000,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2001,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2002,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2003,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2004,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
2005,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2006,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2007,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2008,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2009,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2010,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2011,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2012,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2013,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2014,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
2015,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
2016,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
2017,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
2018,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
1990,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.0
1991,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
1992,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
1993,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
1994,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.0
1995,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.0
1996,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.0
1997,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.9
1998,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.8
1999,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2000,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2001,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
2002,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2003,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2004,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2005,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2006,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2007,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2008,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2009,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2010,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2011,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2012,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2013,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2014,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2015,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2016,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2017,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.5
2018,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.5
1990,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.2
1991,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.3
1992,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.3
1993,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
1994,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.3
1995,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.3
1996,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.2
1997,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
1998,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.0
1999,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.8
2000,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.7
2001,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2002,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2003,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2004,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2005,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
2006,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2007,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2008,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2009,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2010,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2011,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2012,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2013,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2014,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2015,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2016,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2017,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2018,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
1990,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
1991,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
1992,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
1993,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
1994,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
1995,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
1996,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
1997,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
1998,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
1999,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
2000,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
2001,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
2002,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.3
2003,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
2004,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
2005,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
2006,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.0
2007,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.0
2008,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.8
2009,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
2010,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
2011,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.4
2012,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
2013,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2014,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2015,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2016,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2017,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2018,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
1990,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.8
1991,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.0
1992,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.0
1993,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.7
1994,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
1995,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
1996,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.7
1997,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.8
1998,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.8
1999,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2000,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
2001,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.4
2002,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2003,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2004,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2005,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2006,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2007,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2008,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2009,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2010,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2011,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2012,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2013,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2014,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2015,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2016,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2017,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
2018,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.6
1990,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
1991,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
1992,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
1993,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.3
1994,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
1995,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.3
1996,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
1997,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
1998,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
1999,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.9
2000,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2001,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2002,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2003,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2004,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2005,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.4
2006,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2007,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2008,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2009,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2010,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2011,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2012,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2013,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2014,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2015,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2016,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2017,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2018,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
1990,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,3.1
1991,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,3.1
1992,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.8
1993,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.9
1994,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
1995,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
1996,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
1997,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
1998,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
1999,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
2000,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
2001,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.7
2002,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
2003,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.2
2004,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.2
2005,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
2006,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.2
2007,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.2
2008,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.3
2009,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
2010,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
2011,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.7
2012,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.0
2013,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2014,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2015,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2016,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2017,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2018,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
1990,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.7
1991,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.8
1992,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.7
1993,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.7
1994,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
1995,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
1996,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
1997,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
1998,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
1999,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2000,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
2001,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2002,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2003,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
2004,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.4
2005,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.4
2006,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2007,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2008,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
2009,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.4
2010,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.4
2011,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.2
2012,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2013,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.3
2014,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2015,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2016,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2017,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2018,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
1990,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
1991,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
1992,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
1993,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
1994,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
1995,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
1996,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
1997,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
1998,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
1999,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
2000,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
2001,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
2002,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
2003,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2004,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.3
2005,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2006,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2007,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2008,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2009,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2010,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2011,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2012,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2013,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2014,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2015,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2016,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2017,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
2018,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
2018,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
