Year,Sex,Country,Region,Health Board,Birth weight,Age,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2010,,England and Wales,,,1000 to 1499,,"Rate per 1,000 live births",Units,Undefined,K04000001,33.1
2011,,England and Wales,,,1000 to 1499,,"Rate per 1,000 live births",Units,Undefined,K04000001,37.7
2012,,England and Wales,,,1000 to 1499,,"Rate per 1,000 live births",Units,Undefined,K04000001,39.5
2013,,England and Wales,,,1000 to 1499,,"Rate per 1,000 live births",Units,Undefined,K04000001,31.7
2014,,England and Wales,,,1000 to 1499,,"Rate per 1,000 live births",Units,Undefined,K04000001,29.8
2015,,England and Wales,,,1000 to 1499,,"Rate per 1,000 live births",Units,Undefined,K04000001,29.3
2016,,England and Wales,,,1000 to 1499,,"Rate per 1,000 live births",Units,Undefined,K04000001,26.6
2008,,England and Wales,,,1500 to 1999,,"Rate per 1,000 live births",Units,Undefined,K04000001,12.9
2009,,England and Wales,,,1500 to 1999,,"Rate per 1,000 live births",Units,Undefined,K04000001,14.0
2010,,England and Wales,,,1500 to 1999,,"Rate per 1,000 live births",Units,Undefined,K04000001,11.6
2011,,England and Wales,,,1500 to 1999,,"Rate per 1,000 live births",Units,Undefined,K04000001,12.4
2012,,England and Wales,,,1500 to 1999,,"Rate per 1,000 live births",Units,Undefined,K04000001,11.0
2013,,England and Wales,,,1500 to 1999,,"Rate per 1,000 live births",Units,Undefined,K04000001,10.7
2014,,England and Wales,,,1500 to 1999,,"Rate per 1,000 live births",Units,Undefined,K04000001,11.4
2015,,England and Wales,,,1500 to 1999,,"Rate per 1,000 live births",Units,Undefined,K04000001,11.9
2016,,England and Wales,,,1500 to 1999,,"Rate per 1,000 live births",Units,Undefined,K04000001,12.6
2008,,England and Wales,,,2000 to 2499,,"Rate per 1,000 live births",Units,Undefined,K04000001,4.3
2009,,England and Wales,,,2000 to 2499,,"Rate per 1,000 live births",Units,Undefined,K04000001,4.7
2010,,England and Wales,,,2000 to 2499,,"Rate per 1,000 live births",Units,Undefined,K04000001,4.3
2011,,England and Wales,,,2000 to 2499,,"Rate per 1,000 live births",Units,Undefined,K04000001,3.7
2012,,England and Wales,,,2000 to 2499,,"Rate per 1,000 live births",Units,Undefined,K04000001,3.9
2013,,England and Wales,,,2000 to 2499,,"Rate per 1,000 live births",Units,Undefined,K04000001,2.9
2014,,England and Wales,,,2000 to 2499,,"Rate per 1,000 live births",Units,Undefined,K04000001,3.6
2015,,England and Wales,,,2000 to 2499,,"Rate per 1,000 live births",Units,Undefined,K04000001,3.6
2016,,England and Wales,,,2000 to 2499,,"Rate per 1,000 live births",Units,Undefined,K04000001,2.8
2008,,England and Wales,,,2500 to 2999,,"Rate per 1,000 live births",Units,Undefined,K04000001,1.5
2009,,England and Wales,,,2500 to 2999,,"Rate per 1,000 live births",Units,Undefined,K04000001,1.7
2010,,England and Wales,,,2500 to 2999,,"Rate per 1,000 live births",Units,Undefined,K04000001,1.5
2011,,England and Wales,,,2500 to 2999,,"Rate per 1,000 live births",Units,Undefined,K04000001,1.3
2012,,England and Wales,,,2500 to 2999,,"Rate per 1,000 live births",Units,Undefined,K04000001,1.4
2013,,England and Wales,,,2500 to 2999,,"Rate per 1,000 live births",Units,Undefined,K04000001,1.3
2014,,England and Wales,,,2500 to 2999,,"Rate per 1,000 live births",Units,Undefined,K04000001,1.1
2015,,England and Wales,,,2500 to 2999,,"Rate per 1,000 live births",Units,Undefined,K04000001,1.1
2016,,England and Wales,,,2500 to 2999,,"Rate per 1,000 live births",Units,Undefined,K04000001,1.1
2008,,England and Wales,,,3000 to 3499,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.8
2009,,England and Wales,,,3000 to 3499,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.6
2010,,England and Wales,,,3000 to 3499,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.6
2011,,England and Wales,,,3000 to 3499,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.7
2012,,England and Wales,,,3000 to 3499,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.6
2013,,England and Wales,,,3000 to 3499,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.6
2014,,England and Wales,,,3000 to 3499,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.6
2015,,England and Wales,,,3000 to 3499,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.6
2016,,England and Wales,,,3000 to 3499,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.4
2008,,England and Wales,,,3500 to 3999,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.5
2009,,England and Wales,,,3500 to 3999,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.5
2010,,England and Wales,,,3500 to 3999,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.4
2011,,England and Wales,,,3500 to 3999,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.4
2012,,England and Wales,,,3500 to 3999,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.3
2013,,England and Wales,,,3500 to 3999,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.4
2014,,England and Wales,,,3500 to 3999,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.4
2015,,England and Wales,,,3500 to 3999,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.3
2016,,England and Wales,,,3500 to 3999,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.3
2008,,England and Wales,,,4000 and over,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.7
2009,,England and Wales,,,4000 and over,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.6
2010,,England and Wales,,,4000 and over,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.5
2011,,England and Wales,,,4000 and over,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.5
2012,,England and Wales,,,4000 and over,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.5
2013,,England and Wales,,,4000 and over,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.4
