Year,Industry sector,Unit measure,Unit multiplier,Observation status,Value
1999,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.63
2000,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.68
2001,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.78
2002,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.6
2003,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.52
2004,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.54
2005,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.67
2006,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.58
2007,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.59
2008,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.88
2009,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.06
2010,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.8
2011,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.66
2012,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.9
2013,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.72
2014,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.54
2015,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.58
2016,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
2017,Construction,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.36
1990,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.91
1991,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.04
1992,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.8
1993,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.66
1994,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.51
1995,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.55
1996,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.54
1997,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.49
1998,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.46
1999,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.52
2000,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.68
2001,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.65
2002,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.27
2003,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.32
2004,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.2
2005,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.27
2006,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.15
2007,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.98
2008,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.12
2009,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.21
2010,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.25
2011,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.1
2012,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.11
2013,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.96
2014,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.68
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.59
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.42
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.33
1990,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,23.81
1991,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,24.47
1992,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,24.16
1993,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,24.44
1994,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,23.19
1995,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,22.87
1996,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,23.14
1997,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,21.1
1998,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,20.78
1999,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.6
2000,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.0
2001,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.85
2002,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.73
2003,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.56
2004,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.89
2005,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,19.81
2006,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.27
2007,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,17.98
2008,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,17.99
2009,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.62
2010,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.69
2011,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,18.66
2012,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,17.74
2013,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.93
2014,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.66
2015,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.72
