Year,Series,Gas,Observation status,Unit multiplier,Unit measure,Value
2013,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.274176152250947
2013,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.474545261330703
2013,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),568.605262331902
2014,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.9318042538585
2014,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),63.590298488424
2014,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),430.458521900048
2014,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2014,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.119501139595
2014,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.219211375113766
2014,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.438240022077305
2014,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),527.757914752754
2015,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.8987602353026
2015,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),62.5270467710533
2015,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),414.383882450623
2015,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2015,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.936217441056
2015,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.257223162132037
2015,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.417904349072407
2015,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),510.421371982878
2016,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.8676154859056
2016,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),60.5003215890112
2016,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),391.380992215842
2016,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2016,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.474176626825
2016,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.267231782823517
2016,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.448321671719292
2016,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),484.938996945765
2017,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.7550379029992
2017,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),60.8807503512271
2017,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),378.904440989997
2017,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2017,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.8343482709444
2017,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.386917569562433
2017,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.453776025516496
2017,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),473.215608683885
2018,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.4259039850599
2018,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),60.4343795622175
2018,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),371.602236854865
2018,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2018,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.6547606268329
2018,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.134943971241611
2018,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.554988926727339
2018,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),464.807551500583
2019,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.8157237486117
2019,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),59.9902359963629
2019,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),358.173025866195
2019,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2019,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.7648360527736
2019,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.200858176567598
2019,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.490159711148694
2019,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),450.435177125297
2020,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.0313072378185
2020,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),57.5346348566369
2020,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),318.546515541256
2020,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2020,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),18.6079763163371
2020,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.15113515733409
2020,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.420266720926136
2020,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),406.292173403947
2021,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),10.297336988511
2021,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),56.9991724741622
2021,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),339.540032418074
2021,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0003375736382621
2021,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.0584218838416
2021,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.192877581764935
2021,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.421817518532655
2021,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),426.509996438525
