Year,Series,Industry sector,Observation status,Unit multiplier,Unit measure,Value
1999,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
1999,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.08
1999,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.24
1999,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
1999,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.07
1999,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1999,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1999,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1999,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1999,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1999,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.04
1999,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
1999,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.07
1999,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1999,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
2000,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.33
2000,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.67
2000,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.38
2000,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.84
2000,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),5.97
2000,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.14
2000,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
2000,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2000,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.25
2000,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
2000,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.06
2000,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2000,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.01
2000,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
2000,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2000,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
2000,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.04
2000,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2000,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.06
2000,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2000,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
2001,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.33
2001,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.65
2001,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.42
2001,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.79
2001,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),5.22
2001,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.14
2001,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
2001,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2001,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.32
2001,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
2001,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.05
2001,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2001,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2001,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2001,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2001,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.11
2001,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.04
2001,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2001,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.06
2001,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2001,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2002,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.31
2002,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.52
2002,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.42
2002,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.72
2002,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),5.9
2002,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.13
2002,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
2002,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2002,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.35
2002,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
2002,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.04
2002,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2002,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2002,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2002,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2002,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.11
2002,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2002,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2002,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.05
2002,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2002,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2003,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.31
2003,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.6
2003,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.43
2003,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.72
2003,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),5.3
2003,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.12
2003,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
2003,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2003,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.31
2003,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
2003,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.03
2003,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2003,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2003,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2003,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2003,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
2003,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2003,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2003,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.04
2003,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2003,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2004,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.31
2004,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.67
2004,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.44
2004,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.7
2004,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),6.75
2004,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.14
2004,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2004,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2004,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.3
2004,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
2004,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.03
2004,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2004,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2004,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2004,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2004,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.11
2004,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2004,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2004,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.04
2004,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2004,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2005,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.3
2005,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.6
2005,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.48
2005,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.69
2005,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),8.29
2005,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.15
2005,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2005,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2005,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.33
2005,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2005,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.03
2005,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2005,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2005,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2005,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2005,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.09
2005,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2005,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2005,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.04
2005,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2005,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2006,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.29
2006,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.59
2006,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.51
2006,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.63
2006,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),7.7
2006,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.15
2006,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2006,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2006,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.16
2006,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2006,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.02
2006,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2006,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2006,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2006,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2006,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.09
2006,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2006,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2006,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2006,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2006,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2007,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.28
2007,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.66
2007,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.55
2007,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.63
2007,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),7.48
2007,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.15
2007,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2007,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2007,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.19
2007,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2007,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.02
2007,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2007,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2007,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2007,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2007,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.09
2007,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2007,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2007,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2007,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2007,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2008,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.27
2008,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.52
2008,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.6
2008,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.59
2008,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),7.46
2008,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.13
2008,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.11
2008,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2008,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.12
2008,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.08
2008,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.02
2008,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2008,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.01
2008,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2008,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.05
2008,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.08
2008,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2008,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2008,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2008,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2008,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2009,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.25
2009,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.54
2009,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.65
2009,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.54
2009,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),6.45
2009,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.12
2009,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.12
2009,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2009,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.16
2009,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
2009,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.02
2009,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2009,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2009,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2009,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
