Year,Units,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,355.674838235883
2016,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,337.18779431757054
2017,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,336.87915565856963
2018,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,332.1896515803191
2019,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,324.92554427554785
2020,5) Woodland area under certification scheme (000s hectares),England,Hectares,Thousands,Undefined,E92000001,323.2939927320712
2004,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,126.65297993838952
2005,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,131.24059994865792
2006,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,131.13171995892634
2007,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,132.58784602268926
2008,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,129.9625714402746
2009,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,133.7378899897316
2010,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,133.4736
2011,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,133.604
2012,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,138.29493
2013,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,139.44096560000003
2014,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,141.12085099921853
2015,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,141.36183000000003
2016,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,141.22057878192695
2017,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,145.1034381276909
2018,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,144.76266716508837
2019,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,146.3293481533256
2020,5) Woodland area under certification scheme (000s hectares),Wales,Hectares,Thousands,Undefined,W92000004,145.9101592752798
2004,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,669.9088889754458
2005,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,718.6992353555786
2006,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,724.3698900932246
2007,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,764.3136214338381
2008,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,770.0120893555276
2009,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,780.7542623301167
2010,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,792.4653000000001
2011,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,791.775
2012,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,807.73675
2013,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,803.6983813100001
2014,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,821.768830913029
2015,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,813.32763
2016,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,806.3437594015235
2017,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,840.7053846993583
2018,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,833.2627673619146
2019,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,863.5891428742872
2020,5) Woodland area under certification scheme (000s hectares),Scotland,Hectares,Thousands,Undefined,S92000003,859.3057550219964
2004,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.12
2005,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,63.451
2006,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,63.431
2007,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.15642429113355
2008,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.43889410403138
2009,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.0595
2010,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.1495
2011,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,63.4555
2012,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.5545
2013,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.68292
2014,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,64.839
2015,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.121
2016,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.26133999999999
2017,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.34486
2018,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.34474989267777
2019,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.51241
2020,5) Woodland area under certification scheme (000s hectares),Northern Ireland,Hectares,Thousands,Undefined,N92000002,65.64980474400696
2004,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1159.944465802931
2005,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1257.0910681601365
2006,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1272.5100960396755
2007,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1324.920361082941
2008,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1309.6796327061245
2009,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1332.0497231684956
2010,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1347.25813
2011,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1324.0531299999998
2012,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1365.5598900000002
2013,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1362.561439289
2014,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1376.9699976506297
2015,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1375.4852982358834
2016,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1350.0134725010212
2017,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1388.032838485619
2018,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1375.559836
2019,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1400.3564453031604
2020,5) Woodland area under certification scheme (000s hectares),,Hectares,Thousands,Undefined,,1394.1597117733545
