Year,Units,Subject,Sex,Special educational needs,Free school meals,Ethnicity,Ethnic group,Region,Local Authority,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015/16,Attainment at age 7,Maths,,,,,,East Midlands,Derby,Percentage (%),Units,Undefined,E06000015,64.0
2015/16,Attainment at age 7,Maths,,,,,,East Midlands,Derbyshire,Percentage (%),Units,Undefined,,73.0
2015/16,Attainment at age 7,Maths,,,,,,East Midlands,Leicester,Percentage (%),Units,Undefined,E06000016,66.0
2015/16,Attainment at age 7,Maths,,,,,,East Midlands,Leicestershire,Percentage (%),Units,Undefined,,72.0
2015/16,Attainment at age 7,Maths,,,,,,East Midlands,Lincolnshire,Percentage (%),Units,Undefined,,71.0
2015/16,Attainment at age 7,Maths,,,,,,East Midlands,Northamptonshire,Percentage (%),Units,Undefined,,70.0
2015/16,Attainment at age 7,Maths,,,,,,East Midlands,Nottingham,Percentage (%),Units,Undefined,E06000018,68.0
2015/16,Attainment at age 7,Maths,,,,,,East Midlands,Nottinghamshire,Percentage (%),Units,Undefined,,71.0
2015/16,Attainment at age 7,Maths,,,,,,East Midlands,Rutland,Percentage (%),Units,Undefined,E06000017,78.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Birmingham,Percentage (%),Units,Undefined,E08000025,67.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Coventry,Percentage (%),Units,Undefined,E08000026,70.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Dudley,Percentage (%),Units,Undefined,E08000027,72.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,"Herefordshire, County of",Percentage (%),Units,Undefined,,74.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Sandwell,Percentage (%),Units,Undefined,E08000028,68.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Shropshire,Percentage (%),Units,Undefined,E06000051,69.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Solihull,Percentage (%),Units,Undefined,E08000029,76.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Staffordshire,Percentage (%),Units,Undefined,,75.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Stoke-on-Trent,Percentage (%),Units,Undefined,E06000021,70.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Telford and Wrekin,Percentage (%),Units,Undefined,E06000020,76.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Walsall,Percentage (%),Units,Undefined,E08000030,71.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Warwickshire,Percentage (%),Units,Undefined,,74.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Wolverhampton,Percentage (%),Units,Undefined,E08000031,71.0
2015/16,Attainment at age 7,Maths,,,,,,West Midlands,Worcestershire,Percentage (%),Units,Undefined,,70.0
2015/16,Attainment at age 7,Maths,,,,,,East of England,Bedford,Percentage (%),Units,Undefined,E06000055,71.0
2015/16,Attainment at age 7,Maths,,,,,,East of England,Cambridgeshire,Percentage (%),Units,Undefined,,71.0
2015/16,Attainment at age 7,Maths,,,,,,East of England,Central Bedfordshire,Percentage (%),Units,Undefined,E06000056,76.0
2015/16,Attainment at age 7,Maths,,,,,,East of England,Essex,Percentage (%),Units,Undefined,,74.0
2015/16,Attainment at age 7,Maths,,,,,,East of England,Hertfordshire,Percentage (%),Units,Undefined,,77.0
2015/16,Attainment at age 7,Maths,,,,,,East of England,Luton,Percentage (%),Units,Undefined,E06000032,69.0
2015/16,Attainment at age 7,Maths,,,,,,East of England,Norfolk,Percentage (%),Units,Undefined,,74.0
2015/16,Attainment at age 7,Maths,,,,,,East of England,Peterborough,Percentage (%),Units,Undefined,E06000031,69.0
2015/16,Attainment at age 7,Maths,,,,,,East of England,Southend-on-Sea,Percentage (%),Units,Undefined,E06000033,74.0
2015/16,Attainment at age 7,Maths,,,,,,East of England,Suffolk,Percentage (%),Units,Undefined,,71.0
2015/16,Attainment at age 7,Maths,,,,,,East of England,Thurrock,Percentage (%),Units,Undefined,E06000034,75.0
2015/16,Attainment at age 7,Maths,,,,,,London,Camden,Percentage (%),Units,Undefined,E09000007,74.0
2015/16,Attainment at age 7,Maths,,,,,,London,Hackney,Percentage (%),Units,Undefined,E09000012,82.0
2015/16,Attainment at age 7,Maths,,,,,,London,Hammersmith and Fulham,Percentage (%),Units,Undefined,E09000013,77.0
2015/16,Attainment at age 7,Maths,,,,,,London,Haringey,Percentage (%),Units,Undefined,E09000014,78.0
2015/16,Attainment at age 7,Maths,,,,,,London,Islington,Percentage (%),Units,Undefined,E09000019,73.0
2015/16,Attainment at age 7,Maths,,,,,,London,Kensington and Chelsea,Percentage (%),Units,Undefined,E09000020,80.0
2015/16,Attainment at age 7,Maths,,,,,,London,Lambeth,Percentage (%),Units,Undefined,E09000022,76.0
2015/16,Attainment at age 7,Maths,,,,,,London,Lewisham,Percentage (%),Units,Undefined,E09000023,78.0
2015/16,Attainment at age 7,Maths,,,,,,London,Newham,Percentage (%),Units,Undefined,E09000025,79.0
2015/16,Attainment at age 7,Maths,,,,,,London,Southwark,Percentage (%),Units,Undefined,E09000028,76.0
2015/16,Attainment at age 7,Maths,,,,,,London,Tower Hamlets,Percentage (%),Units,Undefined,E09000030,75.0
2015/16,Attainment at age 7,Maths,,,,,,London,Wandsworth,Percentage (%),Units,Undefined,E09000032,80.0
2015/16,Attainment at age 7,Maths,,,,,,London,Westminster,Percentage (%),Units,Undefined,E09000033,77.0
2015/16,Attainment at age 7,Maths,,,,,,London,Barking and Dagenham,Percentage (%),Units,Undefined,E09000002,75.0
2015/16,Attainment at age 7,Maths,,,,,,London,Barnet,Percentage (%),Units,Undefined,E09000003,74.0
2015/16,Attainment at age 7,Maths,,,,,,London,Bexley,Percentage (%),Units,Undefined,E09000004,80.0
2015/16,Attainment at age 7,Maths,,,,,,London,Brent,Percentage (%),Units,Undefined,E09000005,74.0
2015/16,Attainment at age 7,Maths,,,,,,London,Bromley,Percentage (%),Units,Undefined,E09000006,79.0
2015/16,Attainment at age 7,Maths,,,,,,London,Croydon,Percentage (%),Units,Undefined,E09000008,74.0
2015/16,Attainment at age 7,Maths,,,,,,London,Ealing,Percentage (%),Units,Undefined,E09000009,72.0
2015/16,Attainment at age 7,Maths,,,,,,London,Enfield,Percentage (%),Units,Undefined,E09000010,72.0
2015/16,Attainment at age 7,Maths,,,,,,London,Greenwich,Percentage (%),Units,Undefined,E09000011,82.0
2015/16,Attainment at age 7,Maths,,,,,,London,Harrow,Percentage (%),Units,Undefined,E09000015,77.0
2015/16,Attainment at age 7,Maths,,,,,,London,Havering,Percentage (%),Units,Undefined,E09000016,77.0
2015/16,Attainment at age 7,Maths,,,,,,London,Hillingdon,Percentage (%),Units,Undefined,E09000017,75.0
2015/16,Attainment at age 7,Maths,,,,,,London,Hounslow,Percentage (%),Units,Undefined,E09000018,79.0
2015/16,Attainment at age 7,Maths,,,,,,London,Kingston upon Thames,Percentage (%),Units,Undefined,E09000021,75.0
2015/16,Attainment at age 7,Maths,,,,,,London,Merton,Percentage (%),Units,Undefined,E09000024,73.0
2015/16,Attainment at age 7,Maths,,,,,,London,Redbridge,Percentage (%),Units,Undefined,E09000026,76.0
2015/16,Attainment at age 7,Maths,,,,,,London,Richmond upon Thames,Percentage (%),Units,Undefined,E09000027,79.0
2015/16,Attainment at age 7,Maths,,,,,,London,Sutton,Percentage (%),Units,Undefined,E09000029,76.0
2015/16,Attainment at age 7,Maths,,,,,,London,Waltham Forest,Percentage (%),Units,Undefined,E09000031,80.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Bracknell Forest,Percentage (%),Units,Undefined,E06000036,76.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Brighton and Hove,Percentage (%),Units,Undefined,E06000043,74.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Buckinghamshire,Percentage (%),Units,Undefined,,72.0
2015/16,Attainment at age 7,Maths,,,,,,South East,East Sussex,Percentage (%),Units,Undefined,,75.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Hampshire,Percentage (%),Units,Undefined,,77.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Isle of Wight,Percentage (%),Units,Undefined,E06000046,73.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Kent,Percentage (%),Units,Undefined,,78.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Medway,Percentage (%),Units,Undefined,E06000035,75.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Milton Keynes,Percentage (%),Units,Undefined,E06000042,72.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Oxfordshire,Percentage (%),Units,Undefined,,71.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Portsmouth,Percentage (%),Units,Undefined,E06000044,71.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Reading,Percentage (%),Units,Undefined,E06000038,74.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Slough,Percentage (%),Units,Undefined,E06000039,76.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Southampton,Percentage (%),Units,Undefined,E06000045,74.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Surrey,Percentage (%),Units,Undefined,,76.0
2015/16,Attainment at age 7,Maths,,,,,,South East,West Berkshire,Percentage (%),Units,Undefined,E06000037,72.0
2015/16,Attainment at age 7,Maths,,,,,,South East,West Sussex,Percentage (%),Units,Undefined,,65.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Windsor and Maidenhead,Percentage (%),Units,Undefined,E06000040,78.0
2015/16,Attainment at age 7,Maths,,,,,,South East,Wokingham,Percentage (%),Units,Undefined,E06000041,79.0
2015/16,Attainment at age 7,Maths,,,,,,South West,Bath and North East Somerset,Percentage (%),Units,Undefined,E06000022,73.0
2015/16,Attainment at age 7,Maths,,,,,,South West,"Bournemouth, Christchurch and Poole",Percentage (%),Units,Undefined,,71.0
2015/16,Attainment at age 7,Maths,,,,,,South West,"Bristol, City of",Percentage (%),Units,Undefined,,70.0
2015/16,Attainment at age 7,Maths,,,,,,South West,Cornwall,Percentage (%),Units,Undefined,E06000052,71.0
2015/16,Attainment at age 7,Maths,,,,,,South West,Devon,Percentage (%),Units,Undefined,,70.0
2015/16,Attainment at age 7,Maths,,,,,,South West,Dorset,Percentage (%),Units,Undefined,,68.0
2015/16,Attainment at age 7,Maths,,,,,,South West,Gloucestershire,Percentage (%),Units,Undefined,,69.0
2015/16,Attainment at age 7,Maths,,,,,,South West,North Somerset,Percentage (%),Units,Undefined,E06000024,76.0
2015/16,Attainment at age 7,Maths,,,,,,South West,Plymouth,Percentage (%),Units,Undefined,E06000026,69.0
2015/16,Attainment at age 7,Maths,,,,,,South West,Somerset,Percentage (%),Units,Undefined,,73.0
2015/16,Attainment at age 7,Maths,,,,,,South West,South Gloucestershire,Percentage (%),Units,Undefined,E06000025,75.0
2015/16,Attainment at age 7,Maths,,,,,,South West,Swindon,Percentage (%),Units,Undefined,E06000030,70.0
2015/16,Attainment at age 7,Maths,,,,,,South West,Torbay,Percentage (%),Units,Undefined,E06000027,70.0
2015/16,Attainment at age 7,Maths,,,,,,South West,Wiltshire,Percentage (%),Units,Undefined,E06000054,71.0
2016/17,Attainment at age 7,Reading,,,,,,North East,County Durham,Percentage (%),Units,Undefined,E06000047,77.0
2016/17,Attainment at age 7,Reading,,,,,,North East,Darlington,Percentage (%),Units,Undefined,E06000005,77.0
2016/17,Attainment at age 7,Reading,,,,,,North East,Gateshead,Percentage (%),Units,Undefined,E08000037,77.0
2016/17,Attainment at age 7,Reading,,,,,,North East,Hartlepool,Percentage (%),Units,Undefined,E06000001,74.0
2016/17,Attainment at age 7,Reading,,,,,,North East,Middlesbrough,Percentage (%),Units,Undefined,E06000002,68.0
2016/17,Attainment at age 7,Reading,,,,,,North East,Newcastle upon Tyne,Percentage (%),Units,Undefined,E08000021,74.0
2016/17,Attainment at age 7,Reading,,,,,,North East,North Tyneside,Percentage (%),Units,Undefined,E08000022,79.0
2016/17,Attainment at age 7,Reading,,,,,,North East,Northumberland,Percentage (%),Units,Undefined,E06000057,80.0
2016/17,Attainment at age 7,Reading,,,,,,North East,Redcar and Cleveland,Percentage (%),Units,Undefined,E06000003,78.0
2016/17,Attainment at age 7,Reading,,,,,,North East,South Tyneside,Percentage (%),Units,Undefined,E08000023,77.0
2016/17,Attainment at age 7,Reading,,,,,,North East,Stockton-on-Tees,Percentage (%),Units,Undefined,E06000004,78.0
2016/17,Attainment at age 7,Reading,,,,,,North East,Sunderland,Percentage (%),Units,Undefined,E08000024,76.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Blackburn with Darwen,Percentage (%),Units,Undefined,E06000008,74.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Blackpool,Percentage (%),Units,Undefined,E06000009,75.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Bolton,Percentage (%),Units,Undefined,E08000001,73.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Bury,Percentage (%),Units,Undefined,E08000002,73.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Cheshire East,Percentage (%),Units,Undefined,E06000049,77.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Cheshire West and Chester,Percentage (%),Units,Undefined,E06000050,74.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Cumbria,Percentage (%),Units,Undefined,,73.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Halton,Percentage (%),Units,Undefined,E06000006,66.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Knowsley,Percentage (%),Units,Undefined,E08000011,71.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Lancashire,Percentage (%),Units,Undefined,,75.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Liverpool,Percentage (%),Units,Undefined,E08000012,67.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Manchester,Percentage (%),Units,Undefined,E08000003,71.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Oldham,Percentage (%),Units,Undefined,E08000004,69.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Rochdale,Percentage (%),Units,Undefined,E08000005,71.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Salford,Percentage (%),Units,Undefined,E08000006,75.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Sefton,Percentage (%),Units,Undefined,E08000014,74.0
2016/17,Attainment at age 7,Reading,,,,,,North West,St. Helens,Percentage (%),Units,Undefined,E08000013,72.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Stockport,Percentage (%),Units,Undefined,E08000007,77.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Tameside,Percentage (%),Units,Undefined,E08000008,72.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Trafford,Percentage (%),Units,Undefined,E08000009,80.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Warrington,Percentage (%),Units,Undefined,E06000007,77.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Wigan,Percentage (%),Units,Undefined,E08000010,75.0
2016/17,Attainment at age 7,Reading,,,,,,North West,Wirral,Percentage (%),Units,Undefined,E08000015,73.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,Barnsley,Percentage (%),Units,Undefined,E08000016,73.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,Bradford,Percentage (%),Units,Undefined,E08000032,72.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,Calderdale,Percentage (%),Units,Undefined,E08000033,70.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,Doncaster,Percentage (%),Units,Undefined,E08000017,72.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,East Riding of Yorkshire,Percentage (%),Units,Undefined,E06000011,76.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,"Kingston upon Hull, City of",Percentage (%),Units,Undefined,,71.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,Kirklees,Percentage (%),Units,Undefined,E08000034,72.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,Leeds,Percentage (%),Units,Undefined,E08000035,68.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,North East Lincolnshire,Percentage (%),Units,Undefined,E06000012,73.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,North Lincolnshire,Percentage (%),Units,Undefined,E06000013,77.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,North Yorkshire,Percentage (%),Units,Undefined,,75.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,Rotherham,Percentage (%),Units,Undefined,E08000018,73.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,Sheffield,Percentage (%),Units,Undefined,E08000019,74.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,Wakefield,Percentage (%),Units,Undefined,E08000036,72.0
2016/17,Attainment at age 7,Reading,,,,,,Yorkshire and the Humber,York,Percentage (%),Units,Undefined,E06000014,77.0
2016/17,Attainment at age 7,Reading,,,,,,East Midlands,Derby,Percentage (%),Units,Undefined,E06000015,70.0
2016/17,Attainment at age 7,Reading,,,,,,East Midlands,Derbyshire,Percentage (%),Units,Undefined,,75.0
2016/17,Attainment at age 7,Reading,,,,,,East Midlands,Leicester,Percentage (%),Units,Undefined,E06000016,70.0
2016/17,Attainment at age 7,Reading,,,,,,East Midlands,Leicestershire,Percentage (%),Units,Undefined,,75.0
2016/17,Attainment at age 7,Reading,,,,,,East Midlands,Lincolnshire,Percentage (%),Units,Undefined,,74.0
2016/17,Attainment at age 7,Reading,,,,,,East Midlands,Northamptonshire,Percentage (%),Units,Undefined,,75.0
2016/17,Attainment at age 7,Reading,,,,,,East Midlands,Nottingham,Percentage (%),Units,Undefined,E06000018,70.0
2016/17,Attainment at age 7,Reading,,,,,,East Midlands,Nottinghamshire,Percentage (%),Units,Undefined,,73.0
2016/17,Attainment at age 7,Reading,,,,,,East Midlands,Rutland,Percentage (%),Units,Undefined,E06000017,79.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Birmingham,Percentage (%),Units,Undefined,E08000025,72.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Coventry,Percentage (%),Units,Undefined,E08000026,72.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Dudley,Percentage (%),Units,Undefined,E08000027,73.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,"Herefordshire, County of",Percentage (%),Units,Undefined,,78.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Sandwell,Percentage (%),Units,Undefined,E08000028,71.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Shropshire,Percentage (%),Units,Undefined,E06000051,74.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Solihull,Percentage (%),Units,Undefined,E08000029,79.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Staffordshire,Percentage (%),Units,Undefined,,79.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Stoke-on-Trent,Percentage (%),Units,Undefined,E06000021,72.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Telford and Wrekin,Percentage (%),Units,Undefined,E06000020,77.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Walsall,Percentage (%),Units,Undefined,E08000030,71.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Warwickshire,Percentage (%),Units,Undefined,,77.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Wolverhampton,Percentage (%),Units,Undefined,E08000031,73.0
2016/17,Attainment at age 7,Reading,,,,,,West Midlands,Worcestershire,Percentage (%),Units,Undefined,,77.0
2016/17,Attainment at age 7,Reading,,,,,,East of England,Bedford,Percentage (%),Units,Undefined,E06000055,73.0
2016/17,Attainment at age 7,Reading,,,,,,East of England,Cambridgeshire,Percentage (%),Units,Undefined,,73.0
2016/17,Attainment at age 7,Reading,,,,,,East of England,Central Bedfordshire,Percentage (%),Units,Undefined,E06000056,79.0
2016/17,Attainment at age 7,Reading,,,,,,East of England,Essex,Percentage (%),Units,Undefined,,78.0
2016/17,Attainment at age 7,Reading,,,,,,East of England,Hertfordshire,Percentage (%),Units,Undefined,,79.0
2016/17,Attainment at age 7,Reading,,,,,,East of England,Luton,Percentage (%),Units,Undefined,E06000032,71.0
2016/17,Attainment at age 7,Reading,,,,,,East of England,Norfolk,Percentage (%),Units,Undefined,,75.0
2016/17,Attainment at age 7,Reading,,,,,,East of England,Peterborough,Percentage (%),Units,Undefined,E06000031,69.0
2016/17,Attainment at age 7,Reading,,,,,,East of England,Southend-on-Sea,Percentage (%),Units,Undefined,E06000033,78.0
2016/17,Attainment at age 7,Reading,,,,,,East of England,Suffolk,Percentage (%),Units,Undefined,,74.0
2016/17,Attainment at age 7,Reading,,,,,,East of England,Thurrock,Percentage (%),Units,Undefined,E06000034,77.0
2016/17,Attainment at age 7,Reading,,,,,,London,Camden,Percentage (%),Units,Undefined,E09000007,74.0
2016/17,Attainment at age 7,Reading,,,,,,London,Hackney,Percentage (%),Units,Undefined,E09000012,80.0
2016/17,Attainment at age 7,Reading,,,,,,London,Hammersmith and Fulham,Percentage (%),Units,Undefined,E09000013,79.0
2016/17,Attainment at age 7,Reading,,,,,,London,Haringey,Percentage (%),Units,Undefined,E09000014,79.0
2016/17,Attainment at age 7,Reading,,,,,,London,Islington,Percentage (%),Units,Undefined,E09000019,76.0
2016/17,Attainment at age 7,Reading,,,,,,London,Kensington and Chelsea,Percentage (%),Units,Undefined,E09000020,82.0
2016/17,Attainment at age 7,Reading,,,,,,London,Lambeth,Percentage (%),Units,Undefined,E09000022,79.0
2016/17,Attainment at age 7,Reading,,,,,,London,Lewisham,Percentage (%),Units,Undefined,E09000023,80.0
2016/17,Attainment at age 7,Reading,,,,,,London,Newham,Percentage (%),Units,Undefined,E09000025,78.0
2016/17,Attainment at age 7,Reading,,,,,,London,Southwark,Percentage (%),Units,Undefined,E09000028,79.0
2016/17,Attainment at age 7,Reading,,,,,,London,Tower Hamlets,Percentage (%),Units,Undefined,E09000030,76.0
2016/17,Attainment at age 7,Reading,,,,,,London,Wandsworth,Percentage (%),Units,Undefined,E09000032,82.0
2016/17,Attainment at age 7,Reading,,,,,,London,Westminster,Percentage (%),Units,Undefined,E09000033,76.0
2016/17,Attainment at age 7,Reading,,,,,,London,Barking and Dagenham,Percentage (%),Units,Undefined,E09000002,76.0
2016/17,Attainment at age 7,Reading,,,,,,London,Barnet,Percentage (%),Units,Undefined,E09000003,78.0
2016/17,Attainment at age 7,Reading,,,,,,London,Bexley,Percentage (%),Units,Undefined,E09000004,81.0
2016/17,Attainment at age 7,Reading,,,,,,London,Brent,Percentage (%),Units,Undefined,E09000005,74.0
2016/17,Attainment at age 7,Reading,,,,,,London,Bromley,Percentage (%),Units,Undefined,E09000006,80.0
2016/17,Attainment at age 7,Reading,,,,,,London,Croydon,Percentage (%),Units,Undefined,E09000008,77.0
2016/17,Attainment at age 7,Reading,,,,,,London,Ealing,Percentage (%),Units,Undefined,E09000009,75.0
2016/17,Attainment at age 7,Reading,,,,,,London,Enfield,Percentage (%),Units,Undefined,E09000010,72.0
2016/17,Attainment at age 7,Reading,,,,,,London,Greenwich,Percentage (%),Units,Undefined,E09000011,80.0
2016/17,Attainment at age 7,Reading,,,,,,London,Harrow,Percentage (%),Units,Undefined,E09000015,78.0
2016/17,Attainment at age 7,Reading,,,,,,London,Havering,Percentage (%),Units,Undefined,E09000016,77.0
2016/17,Attainment at age 7,Reading,,,,,,London,Hillingdon,Percentage (%),Units,Undefined,E09000017,77.0
2016/17,Attainment at age 7,Reading,,,,,,London,Hounslow,Percentage (%),Units,Undefined,E09000018,80.0
2016/17,Attainment at age 7,Reading,,,,,,London,Kingston upon Thames,Percentage (%),Units,Undefined,E09000021,80.0
2016/17,Attainment at age 7,Reading,,,,,,London,Merton,Percentage (%),Units,Undefined,E09000024,77.0
2016/17,Attainment at age 7,Reading,,,,,,London,Redbridge,Percentage (%),Units,Undefined,E09000026,79.0
2016/17,Attainment at age 7,Reading,,,,,,London,Richmond upon Thames,Percentage (%),Units,Undefined,E09000027,83.0
2016/17,Attainment at age 7,Reading,,,,,,London,Sutton,Percentage (%),Units,Undefined,E09000029,78.0
2016/17,Attainment at age 7,Reading,,,,,,London,Waltham Forest,Percentage (%),Units,Undefined,E09000031,81.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Bracknell Forest,Percentage (%),Units,Undefined,E06000036,75.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Brighton and Hove,Percentage (%),Units,Undefined,E06000043,76.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Buckinghamshire,Percentage (%),Units,Undefined,,78.0
2016/17,Attainment at age 7,Reading,,,,,,South East,East Sussex,Percentage (%),Units,Undefined,,77.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Hampshire,Percentage (%),Units,Undefined,,82.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Isle of Wight,Percentage (%),Units,Undefined,E06000046,72.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Kent,Percentage (%),Units,Undefined,,79.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Medway,Percentage (%),Units,Undefined,E06000035,79.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Milton Keynes,Percentage (%),Units,Undefined,E06000042,77.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Oxfordshire,Percentage (%),Units,Undefined,,76.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Portsmouth,Percentage (%),Units,Undefined,E06000044,74.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Reading,Percentage (%),Units,Undefined,E06000038,75.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Slough,Percentage (%),Units,Undefined,E06000039,77.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Southampton,Percentage (%),Units,Undefined,E06000045,73.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Surrey,Percentage (%),Units,Undefined,,80.0
2016/17,Attainment at age 7,Reading,,,,,,South East,West Berkshire,Percentage (%),Units,Undefined,E06000037,78.0
2016/17,Attainment at age 7,Reading,,,,,,South East,West Sussex,Percentage (%),Units,Undefined,,73.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Windsor and Maidenhead,Percentage (%),Units,Undefined,E06000040,81.0
2016/17,Attainment at age 7,Reading,,,,,,South East,Wokingham,Percentage (%),Units,Undefined,E06000041,82.0
2016/17,Attainment at age 7,Reading,,,,,,South West,Bath and North East Somerset,Percentage (%),Units,Undefined,E06000022,76.0
2016/17,Attainment at age 7,Reading,,,,,,South West,"Bournemouth, Christchurch and Poole",Percentage (%),Units,Undefined,,75.0
2016/17,Attainment at age 7,Reading,,,,,,South West,"Bristol, City of",Percentage (%),Units,Undefined,,73.0
2016/17,Attainment at age 7,Reading,,,,,,South West,Cornwall,Percentage (%),Units,Undefined,E06000052,74.0
2016/17,Attainment at age 7,Reading,,,,,,South West,Devon,Percentage (%),Units,Undefined,,77.0
2016/17,Attainment at age 7,Reading,,,,,,South West,Dorset,Percentage (%),Units,Undefined,,76.0
2016/17,Attainment at age 7,Reading,,,,,,South West,Gloucestershire,Percentage (%),Units,Undefined,,75.0
2016/17,Attainment at age 7,Reading,,,,,,South West,North Somerset,Percentage (%),Units,Undefined,E06000024,79.0
2016/17,Attainment at age 7,Reading,,,,,,South West,Plymouth,Percentage (%),Units,Undefined,E06000026,73.0
2016/17,Attainment at age 7,Reading,,,,,,South West,Somerset,Percentage (%),Units,Undefined,,76.0
2016/17,Attainment at age 7,Reading,,,,,,South West,South Gloucestershire,Percentage (%),Units,Undefined,E06000025,82.0
