Year,Units,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2011 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,16.902032499834196
2011 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,6.756373289330517
2011 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,19.55443385826175
2011 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,16.458923774947955
2011 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,6.357765345719527
2011 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,19.089688091782048
2012 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,16.212337633731785
2012 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,6.217492000261588
2012 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,18.80545024659661
2012 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,16.202181952755694
2012 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,6.124519515798067
2012 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,18.806752589823624
2012 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,15.021447019630422
2012 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.893514122890577
2012 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,17.640587254600565
2012 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.771644019153475
2012 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.563278313827738
2012 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,17.418772649258184
2013 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,15.01713476183926
2013 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,5.160489751180834
2013 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,17.579960640222634
2013 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.886032730114506
2013 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.699327099121232
2013 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,17.541965495766473
2013 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.943347075407624
2013 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.1610655543821045
2013 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,17.755004380632734
2013 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.215107902135713
2013 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.419811050523363
2013 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,16.76645844760893
2014 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.415610003033864
2014 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,3.675932202387103
2014 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.949658355040695
2014 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.214877046564595
2014 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,3.828858173867991
2014 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.654167462530605
2014 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.28393418377948
2014 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,3.737762850179164
2014 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.758591564965945
2014 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.348458555476766
2014 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.241923937978961
