Year,Country,Sustainably managed status,Observation status,Unit measure,Unit multiplier,GeoCode,Value
2015,Scotland,Certified,Normal value,percentage (%),Units,S92000003,10.4405379152102
2015,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.91611033827482
2015,Northern Ireland,,Normal value,percentage (%),Units,N92000002,7.97508837594184
2015,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.72132481936099
2015,Northern Ireland,Non-certified,Normal value,percentage (%),Units,N92000002,3.25376355658085
2015,,,Normal value,percentage (%),Units,,12.9768011513582
2015,,Certified,Normal value,percentage (%),Units,,5.66647593708687
2015,,Non-certified,Normal value,percentage (%),Units,,7.31032521427129
2016,England,,Normal value,percentage (%),Units,E92000001,10.0529144051533
2016,England,Certified,Normal value,percentage (%),Units,E92000001,2.58757254560073
2016,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.46534185955253
2016,Wales,,Normal value,percentage (%),Units,W92000004,14.9494723747687
2016,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.81023593951377
2016,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,8.13923643525496
2016,Scotland,,Normal value,percentage (%),Units,S92000003,18.4850164230899
2016,Scotland,Certified,Normal value,percentage (%),Units,S92000003,10.3508872466619
2016,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,8.13412917642793
2016,Northern Ireland,,Normal value,percentage (%),Units,N92000002,7.97508837594184
2016,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.73149958211262
2016,Northern Ireland,Non-certified,Normal value,percentage (%),Units,N92000002,3.24358879382922
2016,,,Normal value,percentage (%),Units,,13.0179973454894
2016,,Certified,Normal value,percentage (%),Units,,5.56154170930167
2016,,Non-certified,Normal value,percentage (%),Units,,7.45645563618778
2017,England,,Normal value,percentage (%),Units,E92000001,10.0529144051533
2017,England,Certified,Normal value,percentage (%),Units,E92000001,2.58520405856176
2017,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.4677103465915
2017,Wales,,Normal value,percentage (%),Units,W92000004,14.9494723747687
2017,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.99748335410929
2017,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,7.95198902065944
2017,Scotland,,Normal value,percentage (%),Units,S92000003,18.4850164230899
2017,Scotland,Certified,Normal value,percentage (%),Units,S92000003,10.7919811410748
2017,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.69303528201506
2017,Northern Ireland,,Normal value,percentage (%),Units,N92000002,7.97508837594184
2017,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.73755484921406
2017,Northern Ireland,Non-certified,Normal value,percentage (%),Units,N92000002,3.23753352672778
2017,,,Normal value,percentage (%),Units,,13.0179973454894
2017,,Certified,Normal value,percentage (%),Units,,5.7181670274867
2017,,Non-certified,Normal value,percentage (%),Units,,7.29983031800275
2018,England,,Normal value,percentage (%),Units,E92000001,10.0529144051533
2018,England,Certified,Normal value,percentage (%),Units,E92000001,2.54899971800635
2018,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.50391468714691
2018,Wales,,Normal value,percentage (%),Units,W92000004,14.9494723747687
2018,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.98086520665179
2018,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,7.96860716811694
