Year,Units,Water type,Geography (HydroBASINs ID),Unit measure,Observation status,Unit multiplier,Value
1984-1988,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,1.53865362503709
1985-1989,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,1.59024432776644
1986-1990,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,1.76617383525561
1998-2002,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,2.5114770983214
1999-2003,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,2.60903042711871
2009-2013,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,2.21360592983559
2010-2014,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,2.07519693342231
2011-2015,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,1.81057310669541
2012-2016,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,1.63766608482068
2013-2017,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,1.49091919705721
2014-2018,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,1.46903223226294
2015-2019,Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,1.38263083314651
1984-1988,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,1.48581223860521
1985-1989,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,1.57304742685665
1986-1990,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,1.62536769507914
1998-2002,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,1.32582894832329
1999-2003,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,1.15427683379298
2009-2013,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,1.7217745638158
2010-2014,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,1.89259711285298
2011-2015,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,2.2301774888941
2012-2016,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,2.55368767328177
2013-2017,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,2.91086209399586
2014-2018,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,3.04166276455209
2015-2019,Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,3.18747163953867
1984-1988,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,6.5356561348524
1985-1989,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,7.34745408143602
1986-1990,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,7.5663237293787
1998-2002,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,8.07910404741586
1999-2003,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,7.89567043771151
2009-2013,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,8.6303428893058
2010-2014,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,8.65327209051884
2011-2015,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,8.83337054368311
2012-2016,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,8.80231189840362
2013-2017,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,8.72706242896809
2014-2018,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,8.63388649312963
2015-2019,Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,8.58302535589343
2001-2005 (baseline),Spatial extent (square km),Ephemeral,2060052380 (Spey),square km,Undefined,Units,1.21681101891946
2001-2005 (baseline),Spatial extent (square km),Seasonal,2060052380 (Spey),square km,Undefined,Units,0.427316931697628
2001-2005 (baseline),Spatial extent (square km),Permanent,2060052380 (Spey),square km,Undefined,Units,7.63333953110592
1984-1988,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,2.27853725872525
1985-1989,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,2.35951902846405
1986-1990,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,2.58683079139881
1998-2002,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,3.65189218774468
1999-2003,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,3.50858468016315
2009-2013,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,4.04450264669711
2010-2014,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,3.74069073062428
2011-2015,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,3.4884695172808
2012-2016,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,3.3029514347389
2013-2017,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,2.78746130201294
2014-2018,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,2.4906323699459
2015-2019,Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,2.37984263863015
1984-1988,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,3.34432822056426
1985-1989,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,3.6161434785807
1986-1990,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,3.47116839272914
1998-2002,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,1.73157158615229
1999-2003,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,1.75366699823031
2009-2013,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,2.56108755185507
2010-2014,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,2.93879403001902
2011-2015,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,3.45730664835944
2012-2016,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,3.96570957343774
2013-2017,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,4.59063453013505
2014-2018,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,5.08673906547181
2015-2019,Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,5.34636015738859
1984-1988,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,10.6156990434297
1985-1989,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,11.1332736489932
1986-1990,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,11.347765903977
1998-2002,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,10.8047607297954
1999-2003,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,10.713252372227
2009-2013,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,11.1915346648027
2010-2014,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,11.2809585495336
2011-2015,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,11.73652008818
2012-2016,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,11.7053572192586
2013-2017,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,12.0131296337228
2014-2018,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,11.9958285091711
2015-2019,Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,11.9575784326021
2001-2005 (baseline),Spatial extent (square km),Ephemeral,"2060052390 (Dee, Scotland)",square km,Undefined,Units,1.8989547550075
2001-2005 (baseline),Spatial extent (square km),Seasonal,"2060052390 (Dee, Scotland)",square km,Undefined,Units,0.981265588276382
2001-2005 (baseline),Spatial extent (square km),Permanent,"2060052390 (Dee, Scotland)",square km,Undefined,Units,10.033610003544
1984-1988,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,5.73730303807098
1985-1989,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,5.61546560071622
1986-1990,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,6.10229423192588
1998-2002,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,8.22699739523999
1999-2003,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,9.05567957180775
2009-2013,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,7.18632433109345
2010-2014,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,6.22996819322578
2011-2015,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,5.11373298871807
2012-2016,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,4.89298731522159
2013-2017,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,3.44323645670598
2014-2018,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,3.42708179221497
2015-2019,Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,3.44354912763161
1984-1988,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,5.97389070513284
1985-1989,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,6.45550815424863
1986-1990,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,5.99911282646719
1998-2002,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,5.96075852625628
1999-2003,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,5.77774181111944
2009-2013,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,6.04882750364274
2010-2014,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,6.79319275393163
2011-2015,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,8.06857745958624
2012-2016,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,8.94218002580319
2013-2017,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,10.7160664105577
2014-2018,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,11.5320333028164
2015-2019,Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,11.9589333399465
1984-1988,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,93.3824028730177
1985-1989,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,97.501529647299
1986-1990,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,97.2408663189635
1998-2002,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,94.9522193669761
1999-2003,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,93.4029349304675
2009-2013,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,99.1838034508433
2010-2014,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,99.5530678140152
2011-2015,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,100.788951759398
2012-2016,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,100.296807722452
2013-2017,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,102.137084567083
2014-2018,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,101.396784038827
2015-2019,Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,100.99281320291
2001-2005 (baseline),Spatial extent (square km),Ephemeral,2060052660 (Tay),square km,Undefined,Units,3.27314347316195
2001-2005 (baseline),Spatial extent (square km),Seasonal,2060052660 (Tay),square km,Undefined,Units,3.15641299425918
2001-2005 (baseline),Spatial extent (square km),Permanent,2060052660 (Tay),square km,Undefined,Units,95.925355511186
1984-1988,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,7.44938480319218
1985-1989,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,7.6695051348374
1986-1990,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,7.55037751217145
1998-2002,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,8.29641034073038
1999-2003,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,7.90254919807542
2009-2013,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,7.67158960767495
2010-2014,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,7.09335684253875
2011-2015,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,6.62497579594139
2012-2016,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,6.27770262120566
2013-2017,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,5.70165855254888
2014-2018,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,5.45152181204296
2015-2019,Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,5.3574078634276
1984-1988,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,6.69209582131048
1985-1989,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,6.89481080476216
1986-1990,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,6.36076886378201
1998-2002,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,4.96312982620513
1999-2003,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,5.08017297603353
2009-2013,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,4.89548868262665
2010-2014,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,5.84892655852175
2011-2015,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,6.84843128412669
2012-2016,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,7.44709188307088
2013-2017,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,8.64149481898669
2014-2018,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,9.46329823519054
2015-2019,Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,9.77638605539046
1984-1988,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,63.548176938308
1985-1989,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,64.5514337150206
1986-1990,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,64.232092476308
1998-2002,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,62.964732991078
1999-2003,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,62.8143382758488
2009-2013,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,69.0792213891036
2010-2014,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,69.4610968129426
2011-2015,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,69.8760111312568
2012-2016,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,69.8977938724092
2013-2017,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,70.9213742592878
2014-2018,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,70.7955763235417
2015-2019,Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,70.7723344514031
2001-2005 (baseline),Spatial extent (square km),Ephemeral,2060052670 (Firth of Forth),square km,Undefined,Units,4.88652544942519
2001-2005 (baseline),Spatial extent (square km),Seasonal,2060052670 (Firth of Forth),square km,Undefined,Units,3.87920395067944
2001-2005 (baseline),Spatial extent (square km),Permanent,2060052670 (Firth of Forth),square km,Undefined,Units,68.4619047582632
1984-1988,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,1.0551601503675
1985-1989,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,1.06662475097403
1986-1990,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,1.14281223318646
1998-2002,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,2.03851021148144
1999-2003,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,2.06404500374142
2009-2013,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,1.94158222453539
2010-2014,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,1.89280556013673
2011-2015,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,1.76190066593863
2012-2016,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,1.56460531186458
2013-2017,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,1.12290551758786
2014-2018,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,1.07350351133794
2015-2019,Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,0.933948054864011
1984-1988,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,1.84632181585938
1985-1989,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,2.26644731626746
1986-1990,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,2.09802191099347
1998-2002,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,0.973761486061204
1999-2003,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,1.10477060390118
2009-2013,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,1.24870345333397
2010-2014,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,1.59722731177223
2011-2015,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,1.89874630772375
2012-2016,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,2.16420392358567
2013-2017,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,2.53503164138571
2014-2018,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,2.83894778110041
2015-2019,Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,2.92858011311503
1984-1988,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,9.48945836930179
1985-1989,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,9.59274399840236
1986-1990,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,9.42067076566266
1998-2002,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,8.4711933881589
1999-2003,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,9.11810953329236
2009-2013,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,9.56158112948099
2010-2014,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,9.53615056086289
2011-2015,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,9.71385187026398
2012-2016,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,9.67977073937005
2013-2017,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,10.1733739073017
2014-2018,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,10.0347564636047
2015-2019,Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,10.1179269298229
2001-2005 (baseline),Spatial extent (square km),Ephemeral,2060052940 (Tweed),square km,Undefined,Units,1.63683229568567
2001-2005 (baseline),Spatial extent (square km),Seasonal,2060052940 (Tweed),square km,Undefined,Units,0.61179277782075
2001-2005 (baseline),Spatial extent (square km),Permanent,2060052940 (Tweed),square km,Undefined,Units,9.01378166777301
1984-1988,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.134761168947569
1985-1989,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.14622576955409
1986-1990,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.196148894013399
1998-2002,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.144558191284051
1999-2003,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.165819814227055
2009-2013,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.209385296531837
2010-2014,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.200943181539762
2011-2015,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.203548772586699
2012-2016,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.189270133649485
2013-2017,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.179890005880513
2014-2018,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.183642056988102
2015-2019,Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.194689763027114
1984-1988,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.189270133649486
1985-1989,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.213762689490691
1986-1990,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.19031237006826
1998-2002,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.0777508368405928
1999-2003,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.107767245701304
2009-2013,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.126110606671739
2010-2014,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.17467882378664
2011-2015,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.205007903572984
2012-2016,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.231897603177371
2013-2017,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.273691283570236
2014-2018,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.2710856925233
2015-2019,Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.26941811425326
1984-1988,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.134344274380059
1985-1989,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.140806140176462
1986-1990,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.126840172164881
1998-2002,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.107663022059426
1999-2003,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.135594958082588
2009-2013,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.126527501239248
2010-2014,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.14872713695915
2011-2015,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.211157098443754
2012-2016,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.225539961022845
2013-2017,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.235858101568715
2014-2018,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.236587667061857
2015-2019,Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.232627168670513
2001-2005 (baseline),Spatial extent (square km),Ephemeral,2060052950 (Northumberland Coast),square km,Undefined,Units,0.155814344606818
2001-2005 (baseline),Spatial extent (square km),Seasonal,2060052950 (Northumberland Coast),square km,Undefined,Units,0.059407475870158
2001-2005 (baseline),Spatial extent (square km),Permanent,2060052950 (Northumberland Coast),square km,Undefined,Units,0.147997571466007
1984-1988,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,7.55329577414402
1985-1989,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,7.70619185677827
1986-1990,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,7.42197398537841
1998-2002,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,7.12118455492003
1999-2003,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,7.53953825341619
2009-2013,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,6.34398885743973
2010-2014,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,6.32991866578627
2011-2015,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,6.09531124792009
2012-2016,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,5.653924124569
2013-2017,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,5.2394267008223
2014-2018,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,5.26923466239926
2015-2019,Spatial extent (square km),Ephemeral,2060052960 (Northumbria & East Humber),square km,Undefined,Units,5.14468741035568
1984-1988,Spatial extent (square km),Seasonal,2060052960 (Northumbria & East Humber),square km,Undefined,Units,5.24849415766564
1985-1989,Spatial extent (square km),Seasonal,2060052960 (Northumbria & East Humber),square km,Undefined,Units,6.39537111288533
1986-1990,Spatial extent (square km),Seasonal,2060052960 (Northumbria & East Humber),square km,Undefined,Units,6.52450420517151
1998-2002,Spatial extent (square km),Seasonal,2060052960 (Northumbria & East Humber),square km,Undefined,Units,3.43104229060632
1999-2003,Spatial extent (square km),Seasonal,2060052960 (Northumbria & East Humber),square km,Undefined,Units,4.20427748969527
2009-2013,Spatial extent (square km),Seasonal,2060052960 (Northumbria & East Humber),square km,Undefined,Units,4.59313589754011
2010-2014,Spatial extent (square km),Seasonal,2060052960 (Northumbria & East Humber),square km,Undefined,Units,5.38356799753884
2011-2015,Spatial extent (square km),Seasonal,2060052960 (Northumbria & East Humber),square km,Undefined,Units,6.07540453232149
2012-2016,Spatial extent (square km),Seasonal,2060052960 (Northumbria & East Humber),square km,Undefined,Units,7.20456346842201
