Year,Units,Country,Region,Sector performing research and development,Product groups of UK business performing research and development,Sector funding research and development,Sector funding research and development for business,Value
2012,Performing research and development,,West Midlands,Private non-profit,,,,0.000281693
2012,Performing research and development,,West Midlands,,,,,0.103491351
2012,Performing research and development,,East of England,Government,,,,0.012024601000000001
2012,Performing research and development,,East of England,Higher education,,,,0.036643689
2012,Performing research and development,,East of England,Business,,,,0.20550099800000002
2012,Performing research and development,,East of England,Private non-profit,,,,0.014309997
2012,Performing research and development,,East of England,,,,,0.268473434
2012,Performing research and development,,London,Government,,,,0.018635282
2012,Performing research and development,,London,Higher education,,,,0.09955913599999999
2012,Performing research and development,,London,Business,,,,0.089472149
2012,Performing research and development,,London,Private non-profit,,,,0.008169093
2012,Performing research and development,,London,,,,,0.21581594
2012,Performing research and development,,South East,Government,,,,0.045989824000000006
2012,Performing research and development,,South East,Higher education,,,,0.058242379000000004
2012,Performing research and development,,South East,Business,,,,0.23553400600000002
2012,Performing research and development,,South East,Private non-profit,,,,0.001633819
2012,Performing research and development,,South East,,,,,0.34141888
2012,Performing research and development,,South West,Government,,,,0.019205168
2012,Performing research and development,,South West,Higher education,,,,0.020458918
2012,Performing research and development,,South West,Business,,,,0.077903457
2012,Performing research and development,,South West,Private non-profit,,,,0.000619724
2012,Performing research and development,,South West,,,,,0.11819441800000001
2012,Performing research and development,England,,Government,,,,0.108620328
2012,Performing research and development,England,,Higher education,,,,0.328767404
2012,Performing research and development,England,,Business,,,,0.9127868809999999
2012,Performing research and development,England,,Private non-profit,,,,0.028893235
2012,Performing research and development,England,,,,,,1.3791248369999998
2012,Performing research and development,Wales,,Government,,,,0.0017666479999999998
2012,Performing research and development,Wales,,Higher education,,,,0.014874031999999999
2012,Performing research and development,Wales,,Business,,,,0.015272953
2012,Performing research and development,Wales,,Private non-profit,,,,0.000112677
2012,Performing research and development,Wales,,,,,,0.03202761
2012,Performing research and development,Scotland,,Government,,,,0.013506305
2012,Performing research and development,Scotland,,Higher education,,,,0.05488005
2012,Performing research and development,Scotland,,Business,,,,0.040404938
2012,Performing research and development,Scotland,,Private non-profit,,,,0.000619724
2012,Performing research and development,Scotland,,,,,,0.10941816900000001
2012,Performing research and development,Northern Ireland,,Government,,,,0.001196761
2012,Performing research and development,Northern Ireland,,Higher education,,,,0.00792142
2012,Performing research and development,Northern Ireland,,Business,,,,0.023650281000000002
2012,Performing research and development,Northern Ireland,,,,,,0.032768462000000005
2013,Performing research and development,,North West,Higher education,,,,0.033337987
2013,Performing research and development,,North West,Business,,,,0.10247103199999999
2013,Performing research and development,,North West,,,,,0.142901019
2013,Performing research and development,,North East,Higher education,,,,0.013904788000000001
2013,Performing research and development,,North East,Business,,,,0.018037135
2013,Performing research and development,,North East,,,,,0.032891247
2013,Performing research and development,,Yorkshire and the Humber,Government,,,,0.004188189
2013,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.029540695
2013,Performing research and development,,Yorkshire and the Humber,Business,,,,0.036856066
2013,Performing research and development,,Yorkshire and the Humber,Private non-profit,,,,0.00016752799999999999
2013,Performing research and development,,Yorkshire and the Humber,,,,,0.070752478
2013,Performing research and development,,East Midlands,Government,,,,0.004914142
2013,Performing research and development,,East Midlands,Higher education,,,,0.018818931
2013,Performing research and development,,East Midlands,Business,,,,0.074828982
2013,Performing research and development,,East Midlands,Private non-profit,,,,0.000111685
2013,Performing research and development,,East Midlands,,,,,0.09867374
2013,Performing research and development,,West Midlands,Government,,,,0.00022337
2013,Performing research and development,,West Midlands,Higher education,,,,0.020661733999999998
2013,Performing research and development,,West Midlands,Business,,,,0.094038811
2013,Performing research and development,,West Midlands,,,,,0.114923915
2013,Performing research and development,,East of England,Government,,,,0.012061985
2013,Performing research and development,,East of England,Higher education,,,,0.038866397000000004
2013,Performing research and development,,East of England,Business,,,,0.231020522
2013,Performing research and development,,East of England,Private non-profit,,,,0.014519056
2013,Performing research and development,,East of England,,,,,0.29646796
2013,Performing research and development,,London,Government,,,,0.018763088
2013,Performing research and development,,London,Higher education,,,,0.104146307
2013,Performing research and development,,London,Business,,,,0.07209269900000001
2013,Performing research and development,,London,Private non-profit,,,,0.005472566999999999
2013,Performing research and development,,London,,,,,0.20047466100000003
2013,Performing research and development,,South East,Government,,,,0.047298618
2013,Performing research and development,,South East,Higher education,,,,0.061426775999999995
2013,Performing research and development,,South East,Business,,,,0.239452743
2013,Performing research and development,,South East,Private non-profit,,,,0.00111685
2013,Performing research and development,,South East,,,,,0.349294988
2013,Performing research and development,,South West,Government,,,,0.020382521
2013,Performing research and development,,South West,Higher education,,,,0.021387687000000002
2013,Performing research and development,,South West,Business,,,,0.08097166
2013,Performing research and development,,South West,Private non-profit,,,,0.000837638
2013,Performing research and development,,South West,,,,,0.12357950599999999
2013,Performing research and development,England,,Government,,,,0.11257852900000001
2013,Performing research and development,England,,Higher education,,,,0.34203546
2013,Performing research and development,England,,Business,,,,0.949825492
2013,Performing research and development,England,,Private non-profit,,,,0.025408347999999997
2013,Performing research and development,England,,,,,,1.429847829
2013,Performing research and development,Wales,,Government,,,,0.001005165
2013,Performing research and development,Wales,,Higher education,,,,0.015747592
2013,Performing research and development,Wales,,Business,,,,0.020494206
2013,Performing research and development,Wales,,Private non-profit,,,,5.58425e-05
2013,Performing research and development,Wales,,,,,,0.037302806
2013,Performing research and development,Scotland,,Government,,,,0.014407371
2013,Performing research and development,Scotland,,Higher education,,,,0.057908697
2013,Performing research and development,Scotland,,Business,,,,0.044729862
2013,Performing research and development,Scotland,,Private non-profit,,,,0.001786961
2013,Performing research and development,Scotland,,,,,,0.118832891
2013,Performing research and development,Northern Ireland,,Government,,,,0.001284378
2013,Performing research and development,Northern Ireland,,Higher education,,,,0.008320536
2013,Performing research and development,Northern Ireland,,Business,,,,0.024626553
2013,Performing research and development,Northern Ireland,,,,,,0.034231467
2014,Performing research and development,,North West,Higher education,,,,0.033975564
2014,Performing research and development,,North West,Business,,,,0.103660691
2014,Performing research and development,,North West,,,,,0.144734817
2014,Performing research and development,,North East,Higher education,,,,0.013980375
2014,Performing research and development,,North East,Business,,,,0.015280875
2014,Performing research and development,,North East,,,,,0.030236626000000003
2014,Performing research and development,,Yorkshire and the Humber,Government,,,,0.0038473129999999998
2014,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.029478001
2014,Performing research and development,,Yorkshire and the Humber,Business,,,,0.037931251
2014,Performing research and development,,Yorkshire and the Humber,Private non-profit,,,,0.00016256299999999998
2014,Performing research and development,,Yorkshire and the Humber,,,,,0.071419127
2014,Performing research and development,,East Midlands,Government,,,,0.0047143129999999995
2014,Performing research and development,,East Midlands,Higher education,,,,0.018261188
2014,Performing research and development,,East Midlands,Business,,,,0.07981819
2014,Performing research and development,,East Midlands,Private non-profit,,,,0.000108375
2014,Performing research and development,,East Midlands,,,,,0.102902066
2014,Performing research and development,,West Midlands,Government,,,,0.00021675
2014,Performing research and development,,West Midlands,Higher education,,,,0.020266126000000002
2014,Performing research and development,,West Midlands,Business,,,,0.10425675300000001
2014,Performing research and development,,West Midlands,,,,,0.124739629
2014,Performing research and development,,East of England,Government,,,,0.011541938
2014,Performing research and development,,East of England,Higher education,,,,0.039556876
2014,Performing research and development,,East of England,Business,,,,0.22059732
2014,Performing research and development,,East of England,Private non-profit,,,,0.014793188
2014,Performing research and development,,East of England,,,,,0.286489322
2014,Performing research and development,,London,Government,,,,0.018152813
2014,Performing research and development,,London,Higher education,,,,0.103823253
2014,Performing research and development,,London,Business,,,,0.093365066
2014,Performing research and development,,London,Private non-profit,,,,0.005581313
2014,Performing research and development,,London,,,,,0.220922445
2014,Performing research and development,,South East,Government,,,,0.041507626
2014,Performing research and development,,South East,Higher education,,,,0.063724502
2014,Performing research and development,,South East,Business,,,,0.246769883
2014,Performing research and development,,South East,Private non-profit,,,,0.0030345
2014,Performing research and development,,South East,,,,,0.355036512
2014,Performing research and development,,South West,Government,,,,0.019290751000000002
2014,Performing research and development,,South West,Higher education,,,,0.021241501
2014,Performing research and development,,South West,Business,,,,0.08458669
2014,Performing research and development,,South West,Private non-profit,,,,0.000867
2014,Performing research and development,,South West,,,,,0.125985942
2014,Performing research and development,England,,Government,,,,0.104094191
2014,Performing research and development,England,,Higher education,,,,0.344361574
2014,Performing research and development,England,,Business,,,,0.98626672
2014,Performing research and development,England,,Private non-profit,,,,0.027798187999999998
2014,Performing research and development,England,,,,,,1.4625206730000002
2014,Performing research and development,Wales,,Government,,,,0.000921188
2014,Performing research and development,Wales,,Higher education,,,,0.015335063000000001
2014,Performing research and development,Wales,,Business,,,,0.020916376
2014,Performing research and development,Wales,,Private non-profit,,,,5.41875e-05
2014,Performing research and development,Wales,,,,,,0.037226814
2014,Performing research and development,Scotland,,Government,,,,0.013817813
2014,Performing research and development,Scotland,,Higher education,,,,0.056842689
2014,Performing research and development,Scotland,,Business,,,,0.047359877
2014,Performing research and development,Scotland,,Private non-profit,,,,0.001842375
2014,Performing research and development,Scotland,,,,,,0.119862754
2014,Performing research and development,Northern Ireland,,Government,,,,0.000975375
2014,Performing research and development,Northern Ireland,,Higher education,,,,0.00801975
2014,Performing research and development,Northern Ireland,,Business,,,,0.019399126000000003
2014,Performing research and development,Northern Ireland,,,,,,0.028394251000000002
2015,Performing research and development,,North West,Government,,,,0.007941815
2015,Performing research and development,,North West,Higher education,,,,0.033832132
2015,Performing research and development,,North West,Business,,,,0.11187370199999999
2015,Performing research and development,,North West,Private non-profit,,,,5.2945399999999996e-05
2015,Performing research and development,,North West,,,,,0.153700595
2015,Performing research and development,,North East,Government,,,,0.002488435
2015,Performing research and development,,North East,Higher education,,,,0.012971631
2015,Performing research and development,,North East,Business,,,,0.016201303
2015,Performing research and development,,North East,Private non-profit,,,,0.00185309
2015,Performing research and development,,North East,,,,,0.03351446
2015,Performing research and development,,Yorkshire and the Humber,Government,,,,0.005876943000000001
2015,Performing research and development,,Yorkshire and the Humber,Higher education,,,,0.028855261
2015,Performing research and development,,Yorkshire and the Humber,Business,,,,0.041244493
2015,Performing research and development,,Yorkshire and the Humber,Private non-profit,,,,0.000211782
2015,Performing research and development,,Yorkshire and the Humber,,,,,0.076188479
2015,Performing research and development,,East Midlands,Higher education,,,,0.018001448
2015,Performing research and development,,East Midlands,Business,,,,0.080212332
2015,Performing research and development,,East Midlands,,,,,0.10229057800000001
2015,Performing research and development,,West Midlands,Higher education,,,,0.021654682
2015,Performing research and development,,West Midlands,Business,,,,0.11467981
2015,Performing research and development,,West Midlands,,,,,0.140199509
2015,Performing research and development,,East of England,Government,,,,0.011965668
2015,Performing research and development,,East of England,Higher education,,,,0.040503257
2015,Performing research and development,,East of England,Business,,,,0.221206023
2015,Performing research and development,,East of England,Private non-profit,,,,0.013818758
2015,Performing research and development,,East of England,,,,,0.287493706
2015,Performing research and development,,London,Government,,,,0.022713591
2015,Performing research and development,,London,Higher education,,,,0.106314431
2015,Performing research and development,,London,Business,,,,0.10123167
2015,Performing research and development,,London,Private non-profit,,,,0.010059631999999999
2015,Performing research and development,,London,,,,,0.240319325
2015,Performing research and development,,South East,Government,,,,0.031343697000000004
2015,Performing research and development,,South East,Higher education,,,,0.060251904
2015,Performing research and development,,South East,Business,,,,0.24932004800000002
2015,Performing research and development,,South East,Private non-profit,,,,0.004659198
2015,Performing research and development,,South East,,,,,0.345574847
2015,Performing research and development,,South West,Government,,,,0.011436213999999998
2015,Performing research and development,,South West,Higher education,,,,0.020860501
2015,Performing research and development,,South West,Business,,,,0.07793567900000001
2015,Performing research and development,,South West,Private non-profit,,,,0.0010059630000000001
2015,Performing research and development,,South West,,,,,0.111238357
2015,Performing research and development,England,,Government,,,,0.10149639699999999
2015,Performing research and development,England,,Higher education,,,,0.343298193
2015,Performing research and development,England,,Business,,,,1.013958005
2015,Performing research and development,England,,Private non-profit,,,,0.03176726
2015,Performing research and development,England,,,,,,1.490519855
2015,Performing research and development,Wales,,Government,,,,0.0006882910000000001
2015,Performing research and development,Wales,,Higher education,,,,0.015142393999999998
2015,Performing research and development,Wales,,Business,,,,0.019166247
2015,Performing research and development,Wales,,,,,,0.035102823
2015,Performing research and development,Scotland,,Government,,,,0.008206541999999999
2015,Performing research and development,Scotland,,Higher education,,,,0.057816414000000003
2015,Performing research and development,Scotland,,Business,,,,0.046115473
2015,Performing research and development,Scotland,,Private non-profit,,,,0.0016942539999999999
2015,Performing research and development,Scotland,,,,,,0.113832683
2015,Performing research and development,Northern Ireland,,Government,,,,0.000635345
2015,Performing research and development,Northern Ireland,,Higher education,,,,0.007782979000000001
2015,Performing research and development,Northern Ireland,,Business,,,,0.026525662000000002
2015,Performing research and development,Northern Ireland,,,,,,0.034943986
2005,Performing research and development,,,,Extractive Industries,,,0.003520505
2005,Performing research and development,,,,Food products and beverages; Tobacco products,,,0.016468802
2005,Performing research and development,,,,"Textiles, clothing and leather products",,,0.001074052
2005,Performing research and development,,,,"Pulp, paper and paper products; Printing; Wood and straw products",,,0.003102818
2005,Performing research and development,,,,Refined petroleum products and coke oven products,,,0.014619046
2005,Performing research and development,,,,Chemicals and chemical products,,,0.038009518
2005,Performing research and development,,,,Pharmaceuticals,,,0.20132514199999998
2005,Performing research and development,,,,Rubber and plastic products,,,0.003281827
2005,Performing research and development,,,,Other nonmetallic mineral products,,,0.002625461
2005,Performing research and development,,,,Casting of iron and steel,,,0.002028766
2005,Performing research and development,,,,Nonferrous metals,,,0.000477357
2005,Performing research and development,,,,Fabricated metal products except machinery and equipment,,,0.004415548
2005,Performing research and development,,,,Machinery and equipment,,,0.054000964000000005
2005,Performing research and development,,,,Computers and peripheral equipment,,,0.005489600999999999
2005,Performing research and development,,,,Electrical equipment,,,0.023509812
2005,Performing research and development,,,,Consumer electronics and communication equipment,,,0.047019624
2005,Performing research and development,,,,Precision instruments and optical products; photographic equipment,,,0.028343048
2005,Performing research and development,,,,Motor vehicles and parts,,,0.044394163
2005,Performing research and development,,,,Other transport equipment,,,0.001253061
2005,Performing research and development,,,,Shipbuilding,,,0.007578036
2005,Performing research and development,,,,Aerospace,,,0.129423306
2005,Performing research and development,,,,Other manufactured goods,,,0.001551409
2005,Performing research and development,,,,"Sewerage, waste management, remediation activities",,,5.96696e-05
2005,Performing research and development,,,,"Electricity, gas and water supply",,,0.0008950439999999999
2005,Performing research and development,,,,Wholesale and retail trade,,,0.003580174
2005,Performing research and development,,,,"Transport and storage, incl. postal and courier activities",,,0.000477357
2005,Performing research and development,,,,Telecommunications,,,0.06945538400000001
2005,Performing research and development,,,,Miscellaneous business activities; Technical testing and analysis,,,0.026135272999999997
2005,Performing research and development,,,,Computer programming and information service activities,,,0.063786774
2005,Performing research and development,,,,Research and development services,,,0.010680853999999998
2005,Performing research and development,,,,Public administration,,,0.001909426
2006,Performing research and development,,,,"Agriculture, hunting and forestry; Fishing",,,0.005125054
2006,Performing research and development,,,,Extractive Industries,,,0.003436116
2006,Performing research and development,,,,Food products and beverages; Tobacco products,,,0.018287125
2006,Performing research and development,,,,"Textiles, clothing and leather products",,,0.000990067
2006,Performing research and development,,,,"Pulp, paper and paper products; Printing; Wood and straw products",,,0.003203159
2006,Performing research and development,,,,Refined petroleum products and coke oven products,,,0.016248751000000002
2006,Performing research and development,,,,Chemicals and chemical products,,,0.039835649
2006,Performing research and development,,,,Pharmaceuticals,,,0.20506040899999997
2006,Performing research and development,,,,Rubber and plastic products,,,0.005241533
2006,Performing research and development,,,,Other nonmetallic mineral products,,,0.002970202
2006,Performing research and development,,,,Casting of iron and steel,,,0.0022130920000000003
2006,Performing research and development,,,,Nonferrous metals,,,0.000349436
2006,Performing research and development,,,,Fabricated metal products except machinery and equipment,,,0.003960269000000001
2006,Performing research and development,,,,Machinery and equipment,,,0.054104266
2006,Performing research and development,,,,Computers and peripheral equipment,,,0.00390203
2006,Performing research and development,,,,Electrical equipment,,,0.026673578
2006,Performing research and development,,,,Consumer electronics and communication equipment,,,0.043562961
2006,Performing research and development,,,,Precision instruments and optical products; photographic equipment,,,0.026906535
2006,Performing research and development,,,,Motor vehicles and parts,,,0.043912397
2006,Performing research and development,,,,Other transport equipment,,,0.001455981
2006,Performing research and development,,,,Shipbuilding,,,0.00780406
2006,Performing research and development,,,,Aerospace,,,0.106694311
2006,Performing research and development,,,,Other manufactured goods,,,0.0013977420000000002
2006,Performing research and development,,,,"Sewerage, waste management, remediation activities",,,5.82393e-05
2006,Performing research and development,,,,"Electricity, gas and water supply",,,0.0012230239999999999
2006,Performing research and development,,,,Construction,,,0.000990067
2006,Performing research and development,,,,Wholesale and retail trade,,,0.004076748
2006,Performing research and development,,,,"Transport and storage, incl. postal and courier activities",,,0.000931828
2006,Performing research and development,,,,Telecommunications,,,0.077458206
2006,Performing research and development,,,,Miscellaneous business activities; Technical testing and analysis,,,0.023237462
2006,Performing research and development,,,,Computer programming and information service activities,,,0.082408543
2006,Performing research and development,,,,Research and development services,,,0.0071051890000000005
2006,Performing research and development,,,,Public administration,,,0.0030284409999999998
2007,Performing research and development,,,,Extractive Industries,,,0.004665663
2007,Performing research and development,,,,Food products and beverages; Tobacco products,,,0.01866265
2007,Performing research and development,,,,"Textiles, clothing and leather products",,,0.0010810680000000001
2007,Performing research and development,,,,"Pulp, paper and paper products; Printing; Wood and straw products",,,0.0030156109999999996
2007,Performing research and development,,,,Refined petroleum products and coke oven products,,,0.015590141
2007,Performing research and development,,,,Chemicals and chemical products,,,0.038008081
2007,Performing research and development,,,,Pharmaceuticals,,,0.223894907
2007,Performing research and development,,,,Rubber and plastic products,,,0.004494968
2007,Performing research and development,,,,Other nonmetallic mineral products,,,0.00273112
2007,Performing research and development,,,,Fabricated metal products except machinery and equipment,,,0.005177748
2007,Performing research and development,,,,Machinery and equipment,,,0.058775969000000004
2007,Performing research and development,,,,Computers and peripheral equipment,,,0.004722561
2007,Performing research and development,,,,Electrical equipment,,,0.031123382999999998
2007,Performing research and development,,,,Consumer electronics and communication equipment,,,0.037951182
2007,Performing research and development,,,,Precision instruments and optical products; photographic equipment,,,0.030952688
2007,Performing research and development,,,,Motor vehicles and parts,,,0.053086137
2007,Performing research and development,,,,Other transport equipment,,,0.001593153
2007,Performing research and development,,,,Shipbuilding,,,0.007738172
2007,Performing research and development,,,,Aerospace,,,0.11777953199999999
2007,Performing research and development,,,,Other manufactured goods,,,0.001536255
2007,Performing research and development,,,,"Sewerage, waste management, remediation activities",,,0.000170695
2007,Performing research and development,,,,"Electricity, gas and water supply",,,0.001991441
2007,Performing research and development,,,,Wholesale and retail trade,,,0.0021052379999999997
2007,Performing research and development,,,,"Transport and storage, incl. postal and courier activities",,,0.001194865
2007,Performing research and development,,,,Telecommunications,,,0.08733892800000001
2007,Performing research and development,,,,Miscellaneous business activities; Technical testing and analysis,,,0.029018145
2007,Performing research and development,,,,Computer programming and information service activities,,,0.08523369
2007,Performing research and development,,,,Research and development services,,,0.008876139
2007,Performing research and development,,,,Public administration,,,0.005860527
2008,Performing research and development,,,,"Agriculture, hunting and forestry; Fishing",,,0.005030825
2008,Performing research and development,,,,Extractive Industries,,,0.005145162
2008,Performing research and development,,,,Food products and beverages; Tobacco products,,,0.017322046
2008,Performing research and development,,,,"Textiles, clothing and leather products",,,0.000857527
2008,Performing research and development,,,,"Pulp, paper and paper products; Printing; Wood and straw products",,,0.0032014340000000004
2008,Performing research and development,,,,Refined petroleum products and coke oven products,,,0.005373836
2008,Performing research and development,,,,Chemicals and chemical products,,,0.036016135
2008,Performing research and development,,,,Pharmaceuticals,,,0.248911512
2008,Performing research and development,,,,Rubber and plastic products,,,0.004459141
2008,Performing research and development,,,,Other nonmetallic mineral products,,,0.003029929
2008,Performing research and development,,,,Casting of iron and steel,,,0.002686918
2008,Performing research and development,,,,Nonferrous metals,,,0.00411613
2008,Performing research and development,,,,Fabricated metal products except machinery and equipment,,,0.004173298
2008,Performing research and development,,,,Machinery and equipment,,,0.04516309
2008,Performing research and development,,,,Computers and peripheral equipment,,,0.007031722
2008,Performing research and development,,,,Electrical equipment,,,0.032986206000000004
2008,Performing research and development,,,,Consumer electronics and communication equipment,,,0.040017928
2008,Performing research and development,,,,Precision instruments and optical products; photographic equipment,,,0.033786565
2008,Performing research and development,,,,Motor vehicles and parts,,,0.06608675
2008,Performing research and development,,,,Other transport equipment,,,0.001715054
2008,Performing research and development,,,,Shipbuilding,,,0.00897545
2008,Performing research and development,,,,Aerospace,,,0.09901578800000001
2008,Performing research and development,,,,Other manufactured goods,,,0.002058065
2008,Performing research and development,,,,"Sewerage, waste management, remediation activities",,,0.000171505
2008,Performing research and development,,,,"Electricity, gas and water supply",,,0.002286739
2008,Performing research and development,,,,Construction,,,0.0012005380000000001
2008,Performing research and development,,,,Wholesale and retail trade,,,0.004230467
2008,Performing research and development,,,,"Transport and storage, incl. postal and courier activities",,,0.000686022
2008,Performing research and development,,,,Telecommunications,,,0.08026453
2008,Performing research and development,,,,Miscellaneous business activities; Technical testing and analysis,,,0.028241223
2008,Performing research and development,,,,Computer programming and information service activities,,,0.083751807
2008,Performing research and development,,,,Research and development services,,,0.021952692000000003
2008,Performing research and development,,,,Public administration,,,0.004058961
2009,Performing research and development,,,,Extractive Industries,,,0.008353405999999999
2009,Performing research and development,,,,Food products and beverages; Tobacco products,,,0.017303485
2009,Performing research and development,,,,"Textiles, clothing and leather products",,,0.000596672
2009,Performing research and development,,,,"Pulp, paper and paper products; Printing; Wood and straw products",,,0.001551347
2009,Performing research and development,,,,Refined petroleum products and coke oven products,,,0.005668383000000001
2009,Performing research and development,,,,Chemicals and chemical products,,,0.036396985
2009,Performing research and development,,,,Pharmaceuticals,,,0.26396764100000003
2009,Performing research and development,,,,Rubber and plastic products,,,0.003699366
2009,Performing research and development,,,,Other nonmetallic mineral products,,,0.00340103
2009,Performing research and development,,,,Casting of iron and steel,,,0.002565689
2009,Performing research and development,,,,Fabricated metal products except machinery and equipment,,,0.005549049
2009,Performing research and development,,,,Machinery and equipment,,,0.052089455
2009,Performing research and development,,,,Computers and peripheral equipment,,,0.009009745
2009,Performing research and development,,,,Electrical equipment,,,0.034427967999999996
2009,Performing research and development,,,,Consumer electronics and communication equipment,,,0.032637952000000005
2009,Performing research and development,,,,Precision instruments and optical products; photographic equipment,,,0.02971426
2009,Performing research and development,,,,Motor vehicles and parts,,,0.061994209
2009,Performing research and development,,,,Shipbuilding,,,0.010322424
2009,Performing research and development,,,,Aerospace,,,0.08747209800000001
2009,Performing research and development,,,,Other manufactured goods,,,0.005847384000000001
2009,Performing research and development,,,,"Sewerage, waste management, remediation activities",,,0.000537005
2009,Performing research and development,,,,"Electricity, gas and water supply",,,0.003938034
2009,Performing research and development,,,,Wholesale and retail trade,,,0.0045347059999999995
2009,Performing research and development,,,,"Transport and storage, incl. postal and courier activities",,,0.0014320129999999998
2009,Performing research and development,,,,Telecommunications,,,0.079357361
2009,Performing research and development,,,,Miscellaneous business activities; Technical testing and analysis,,,0.03311529
2009,Performing research and development,,,,Computer programming and information service activities,,,0.082639056
2009,Performing research and development,,,,Research and development services,,,0.030251264
2009,Performing research and development,,,,Public administration,,,0.004355705
2010,Performing research and development,,,,"Agriculture, hunting and forestry; Fishing",,,0.005984636999999999
2010,Performing research and development,,,,Extractive Industries,,,0.008918283
2010,Performing research and development,,,,Food products and beverages; Tobacco products,,,0.017953911
2010,Performing research and development,,,,"Textiles, clothing and leather products",,,0.000645402
2010,Performing research and development,,,,"Pulp, paper and paper products; Printing; Wood and straw products",,,0.001642842
2010,Performing research and development,,,,Refined petroleum products and coke oven products,,,0.004283123
2010,Performing research and development,,,,Chemicals and chemical products,,,0.03907616
2010,Performing research and development,,,,Pharmaceuticals,,,0.274178521
2010,Performing research and development,,,,Rubber and plastic products,,,0.004693833
2010,Performing research and development,,,,Other nonmetallic mineral products,,,0.0032856829999999997
2010,Performing research and development,,,,Casting of iron and steel,,,0.001642842
2010,Performing research and development,,,,Nonferrous metals,,,0.00504587
2010,Performing research and development,,,,Fabricated metal products except machinery and equipment,,,0.005456580999999999
2010,Performing research and development,,,,Machinery and equipment,,,0.047466386
2010,Performing research and development,,,,Computers and peripheral equipment,,,0.009211647
2010,Performing research and development,,,,Electrical equipment,,,0.030099203999999997
2010,Performing research and development,,,,Consumer electronics and communication equipment,,,0.027810961000000002
2010,Performing research and development,,,,Precision instruments and optical products; photographic equipment,,,0.028749727000000003
2010,Performing research and development,,,,Motor vehicles and parts,,,0.072578393
2010,Performing research and development,,,,Other transport equipment,,,0.0026989540000000004
2010,Performing research and development,,,,Shipbuilding,,,0.010854488999999998
2010,Performing research and development,,,,Aerospace,,,0.084312975
2010,Performing research and development,,,,Other manufactured goods,,,0.007979515999999999
2010,Performing research and development,,,,"Sewerage, waste management, remediation activities",,,0.000645402
2010,Performing research and development,,,,"Electricity, gas and water supply",,,0.003520375
2010,Performing research and development,,,,Construction,,,0.000821421
2010,Performing research and development,,,,Wholesale and retail trade,,,0.010385106
2010,Performing research and development,,,,"Transport and storage, incl. postal and courier activities",,,0.00099744
2010,Performing research and development,,,,Telecommunications,,,0.066241718
2010,Performing research and development,,,,Miscellaneous business activities; Technical testing and analysis,,,0.034206308
2010,Performing research and development,,,,Computer programming and information service activities,,,0.089534865
2010,Performing research and development,,,,Research and development services,,,0.03625986
2010,Performing research and development,,,,Public administration,,,0.004107104
2011,Performing research and development,,,,"Agriculture, hunting and forestry; Fishing",,,0.007691769
2011,Performing research and development,,,,Extractive Industries,,,0.011277406
2011,Performing research and development,,,,Food products and beverages; Tobacco products,,,0.021166824
2011,Performing research and development,,,,"Textiles, clothing and leather products",,,0.00080966
2011,Performing research and development,,,,"Pulp, paper and paper products; Printing; Wood and straw products",,,0.00121449
2011,Performing research and development,,,,Refined petroleum products and coke oven products,,,0.004163965
2011,Performing research and development,,,,Chemicals and chemical products,,,0.030246582
2011,Performing research and development,,,,Pharmaceuticals,,,0.284190638
2011,Performing research and development,,,,Rubber and plastic products,,,0.005609787
2011,Performing research and development,,,,Other nonmetallic mineral products,,,0.0034699709999999996
2011,Performing research and development,,,,Casting of iron and steel,,,0.0025446460000000002
2011,Performing research and development,,,,Nonferrous metals,,,0.00445313
2011,Performing research and development,,,,Fabricated metal products except machinery and equipment,,,0.006882109
2011,Performing research and development,,,,Machinery and equipment,,,0.056271365999999996
2011,Performing research and development,,,,Computers and peripheral equipment,,,0.010409913
2011,Performing research and development,,,,Electrical equipment,,,0.029436922
2011,Performing research and development,,,,Consumer electronics and communication equipment,,,0.029552587999999998
2011,Performing research and development,,,,Precision instruments and optical products; photographic equipment,,,0.034641879
2011,Performing research and development,,,,Motor vehicles and parts,,,0.0881951
2011,Performing research and development,,,,Other transport equipment,,,0.0028916429999999997
2011,Performing research and development,,,,Shipbuilding,,,0.013070225
2011,Performing research and development,,,,Aerospace,,,0.083163642
2011,Performing research and development,,,,Other manufactured goods,,,0.008443596
2011,Performing research and development,,,,"Sewerage, waste management, remediation activities",,,0.000578329
2011,Performing research and development,,,,"Electricity, gas and water supply",,,0.003354305
2011,Performing research and development,,,,Construction,,,0.0017928179999999998
2011,Performing research and development,,,,Wholesale and retail trade,,,0.01399555
2011,Performing research and development,,,,"Transport and storage, incl. postal and courier activities",,,0.001040991
2011,Performing research and development,,,,Telecommunications,,,0.059972668
2011,Performing research and development,,,,Miscellaneous business activities; Technical testing and analysis,,,0.032964726
2011,Performing research and development,,,,Computer programming and information service activities,,,0.106817279
2011,Performing research and development,,,,Research and development services,,,0.045283124
2011,Performing research and development,,,,Public administration,,,0.0038748009999999998
2012,Performing research and development,,,,"Agriculture, hunting and forestry; Fishing",,,0.007522499
2012,Performing research and development,,,,Extractive Industries,,,0.009802044000000001
2012,Performing research and development,,,,Food products and beverages; Tobacco products,,,0.020743861000000002
2012,Performing research and development,,,,"Textiles, clothing and leather products",,,0.001139773
