Year,Region,County,Local authority,Age,GeoCode,Value
2016,Yorkshire and The Humber,,,3,E12000003,96.0
2017,Yorkshire and The Humber,,,3,E12000003,96.0
2018,Yorkshire and The Humber,,,3,E12000003,95.0
2011,Yorkshire and The Humber,,,4,E12000003,98.0
2012,Yorkshire and The Humber,,,4,E12000003,98.0
2013,Yorkshire and The Humber,,,4,E12000003,98.0
2014,Yorkshire and The Humber,,,4,E12000003,99.0
2015,Yorkshire and The Humber,,,4,E12000003,99.0
2016,Yorkshire and The Humber,,,4,E12000003,98.0
2017,Yorkshire and The Humber,,,4,E12000003,98.0
2018,Yorkshire and The Humber,,,4,E12000003,98.0
2011,Yorkshire and The Humber,,,3 to 4,E12000003,96.0
2012,Yorkshire and The Humber,,,3 to 4,E12000003,97.0
2013,Yorkshire and The Humber,,,3 to 4,E12000003,97.0
2014,Yorkshire and The Humber,,,3 to 4,E12000003,98.0
2015,Yorkshire and The Humber,,,3 to 4,E12000003,97.0
2016,Yorkshire and The Humber,,,3 to 4,E12000003,97.0
2017,Yorkshire and The Humber,,,3 to 4,E12000003,97.0
2018,Yorkshire and The Humber,,,3 to 4,E12000003,97.0
2015,Yorkshire and The Humber,,Barnsley,2,E12000003,68.0
2016,Yorkshire and The Humber,,Barnsley,2,E12000003,71.0
2017,Yorkshire and The Humber,,Barnsley,2,E12000003,68.0
2018,Yorkshire and The Humber,,Barnsley,2,E12000003,75.0
2011,Yorkshire and The Humber,,Barnsley,3,E12000003,96.0
2012,Yorkshire and The Humber,,Barnsley,3,E12000003,97.0
2013,Yorkshire and The Humber,,Barnsley,3,E12000003,96.0
2014,Yorkshire and The Humber,,Barnsley,3,E12000003,97.0
2015,Yorkshire and The Humber,,Barnsley,3,E12000003,97.0
2016,Yorkshire and The Humber,,Barnsley,3,E12000003,97.0
2017,Yorkshire and The Humber,,Barnsley,3,E12000003,94.0
2018,Yorkshire and The Humber,,Barnsley,3,E12000003,96.0
2011,Yorkshire and The Humber,,Barnsley,4,E12000003,99.0
2012,Yorkshire and The Humber,,Barnsley,4,E12000003,98.0
2013,Yorkshire and The Humber,,Barnsley,4,E12000003,97.0
2014,Yorkshire and The Humber,,Barnsley,4,E12000003,98.0
2015,Yorkshire and The Humber,,Barnsley,4,E12000003,99.0
2016,Yorkshire and The Humber,,Barnsley,4,E12000003,98.0
2017,Yorkshire and The Humber,,Barnsley,4,E12000003,98.0
2018,Yorkshire and The Humber,,Barnsley,4,E12000003,95.0
2011,Yorkshire and The Humber,,Barnsley,3 to 4,E12000003,97.0
2012,Yorkshire and The Humber,,Barnsley,3 to 4,E12000003,97.0
2013,Yorkshire and The Humber,,Barnsley,3 to 4,E12000003,97.0
2014,Yorkshire and The Humber,,Barnsley,3 to 4,E12000003,98.0
2015,Yorkshire and The Humber,,Barnsley,3 to 4,E12000003,98.0
2016,Yorkshire and The Humber,,Barnsley,3 to 4,E12000003,97.0
2017,Yorkshire and The Humber,,Barnsley,3 to 4,E12000003,96.0
2018,Yorkshire and The Humber,,Barnsley,3 to 4,E12000003,96.0
2015,Yorkshire and The Humber,,Bradford,2,E12000003,71.0
2016,Yorkshire and The Humber,,Bradford,2,E12000003,67.0
2017,Yorkshire and The Humber,,Bradford,2,E12000003,71.0
2018,Yorkshire and The Humber,,Bradford,2,E12000003,72.0
2011,Yorkshire and The Humber,,Bradford,3,E12000003,89.0
2012,Yorkshire and The Humber,,Bradford,3,E12000003,93.0
2013,Yorkshire and The Humber,,Bradford,3,E12000003,93.0
2014,Yorkshire and The Humber,,Bradford,3,E12000003,93.0
2015,Yorkshire and The Humber,,Bradford,3,E12000003,93.0
2016,Yorkshire and The Humber,,Bradford,3,E12000003,91.0
2017,Yorkshire and The Humber,,Bradford,3,E12000003,92.0
2018,Yorkshire and The Humber,,Bradford,3,E12000003,91.0
2011,Yorkshire and The Humber,,Bradford,4,E12000003,94.0
2012,Yorkshire and The Humber,,Bradford,4,E12000003,95.0
2013,Yorkshire and The Humber,,Bradford,4,E12000003,97.0
2014,Yorkshire and The Humber,,Bradford,4,E12000003,98.0
2015,Yorkshire and The Humber,,Bradford,4,E12000003,99.0
2016,Yorkshire and The Humber,,Bradford,4,E12000003,97.0
2017,Yorkshire and The Humber,,Bradford,4,E12000003,94.0
2018,Yorkshire and The Humber,,Bradford,4,E12000003,95.0
2011,Yorkshire and The Humber,,Bradford,3 to 4,E12000003,91.0
2012,Yorkshire and The Humber,,Bradford,3 to 4,E12000003,94.0
2013,Yorkshire and The Humber,,Bradford,3 to 4,E12000003,95.0
2014,Yorkshire and The Humber,,Bradford,3 to 4,E12000003,95.0
2015,Yorkshire and The Humber,,Bradford,3 to 4,E12000003,96.0
2016,Yorkshire and The Humber,,Bradford,3 to 4,E12000003,94.0
2017,Yorkshire and The Humber,,Bradford,3 to 4,E12000003,93.0
2018,Yorkshire and The Humber,,Bradford,3 to 4,E12000003,93.0
2015,Yorkshire and The Humber,,Calderdale,2,E12000003,72.0
2016,Yorkshire and The Humber,,Calderdale,2,E12000003,83.0
2017,Yorkshire and The Humber,,Calderdale,2,E12000003,85.0
2018,Yorkshire and The Humber,,Calderdale,2,E12000003,90.0
2011,Yorkshire and The Humber,,Calderdale,3,E12000003,97.0
2012,Yorkshire and The Humber,,Calderdale,3,E12000003,104.0
2013,Yorkshire and The Humber,,Calderdale,3,E12000003,101.0
2014,Yorkshire and The Humber,,Calderdale,3,E12000003,115.0
2015,Yorkshire and The Humber,,Calderdale,3,E12000003,100.0
2016,Yorkshire and The Humber,,Calderdale,3,E12000003,103.0
2017,Yorkshire and The Humber,,Calderdale,3,E12000003,98.0
2018,Yorkshire and The Humber,,Calderdale,3,E12000003,100.0
2011,Yorkshire and The Humber,,Calderdale,4,E12000003,104.0
2012,Yorkshire and The Humber,,Calderdale,4,E12000003,105.0
2013,Yorkshire and The Humber,,Calderdale,4,E12000003,106.0
2014,Yorkshire and The Humber,,Calderdale,4,E12000003,112.0
2015,Yorkshire and The Humber,,Calderdale,4,E12000003,111.0
2016,Yorkshire and The Humber,,Calderdale,4,E12000003,101.0
2017,Yorkshire and The Humber,,Calderdale,4,E12000003,106.0
2018,Yorkshire and The Humber,,Calderdale,4,E12000003,100.0
2011,Yorkshire and The Humber,,Calderdale,3 to 4,E12000003,100.0
2012,Yorkshire and The Humber,,Calderdale,3 to 4,E12000003,105.0
2013,Yorkshire and The Humber,,Calderdale,3 to 4,E12000003,103.0
2014,Yorkshire and The Humber,,Calderdale,3 to 4,E12000003,113.0
2015,Yorkshire and The Humber,,Calderdale,3 to 4,E12000003,106.0
2016,Yorkshire and The Humber,,Calderdale,3 to 4,E12000003,102.0
2017,Yorkshire and The Humber,,Calderdale,3 to 4,E12000003,102.0
2018,Yorkshire and The Humber,,Calderdale,3 to 4,E12000003,100.0
2015,Yorkshire and The Humber,,Doncaster,2,E12000003,60.0
2016,Yorkshire and The Humber,,Doncaster,2,E12000003,74.0
2017,Yorkshire and The Humber,,Doncaster,2,E12000003,74.0
2018,Yorkshire and The Humber,,Doncaster,2,E12000003,72.0
2011,Yorkshire and The Humber,,Doncaster,3,E12000003,87.0
2012,Yorkshire and The Humber,,Doncaster,3,E12000003,87.0
2013,Yorkshire and The Humber,,Doncaster,3,E12000003,91.0
2014,Yorkshire and The Humber,,Doncaster,3,E12000003,91.0
2015,Yorkshire and The Humber,,Doncaster,3,E12000003,93.0
2016,Yorkshire and The Humber,,Doncaster,3,E12000003,93.0
2017,Yorkshire and The Humber,,Doncaster,3,E12000003,94.0
2018,Yorkshire and The Humber,,Doncaster,3,E12000003,91.0
2011,Yorkshire and The Humber,,Doncaster,4,E12000003,96.0
2012,Yorkshire and The Humber,,Doncaster,4,E12000003,96.0
2013,Yorkshire and The Humber,,Doncaster,4,E12000003,94.0
2014,Yorkshire and The Humber,,Doncaster,4,E12000003,97.0
2015,Yorkshire and The Humber,,Doncaster,4,E12000003,97.0
2016,Yorkshire and The Humber,,Doncaster,4,E12000003,100.0
2017,Yorkshire and The Humber,,Doncaster,4,E12000003,97.0
2018,Yorkshire and The Humber,,Doncaster,4,E12000003,98.0
2011,Yorkshire and The Humber,,Doncaster,3 to 4,E12000003,92.0
2012,Yorkshire and The Humber,,Doncaster,3 to 4,E12000003,91.0
2013,Yorkshire and The Humber,,Doncaster,3 to 4,E12000003,93.0
2014,Yorkshire and The Humber,,Doncaster,3 to 4,E12000003,94.0
2015,Yorkshire and The Humber,,Doncaster,3 to 4,E12000003,95.0
2016,Yorkshire and The Humber,,Doncaster,3 to 4,E12000003,96.0
2017,Yorkshire and The Humber,,Doncaster,3 to 4,E12000003,96.0
2018,Yorkshire and The Humber,,Doncaster,3 to 4,E12000003,95.0
2015,Yorkshire and The Humber,,East Riding of Yorkshire,2,E12000003,66.0
2016,Yorkshire and The Humber,,East Riding of Yorkshire,2,E12000003,92.0
2017,Yorkshire and The Humber,,East Riding of Yorkshire,2,E12000003,92.0
2018,Yorkshire and The Humber,,East Riding of Yorkshire,2,E12000003,86.0
2011,Yorkshire and The Humber,,East Riding of Yorkshire,3,E12000003,103.0
2012,Yorkshire and The Humber,,East Riding of Yorkshire,3,E12000003,103.0
2013,Yorkshire and The Humber,,East Riding of Yorkshire,3,E12000003,102.0
2014,Yorkshire and The Humber,,East Riding of Yorkshire,3,E12000003,101.0
2015,Yorkshire and The Humber,,East Riding of Yorkshire,3,E12000003,101.0
2016,Yorkshire and The Humber,,East Riding of Yorkshire,3,E12000003,107.0
2017,Yorkshire and The Humber,,East Riding of Yorkshire,3,E12000003,105.0
2018,Yorkshire and The Humber,,East Riding of Yorkshire,3,E12000003,104.0
2011,Yorkshire and The Humber,,East Riding of Yorkshire,4,E12000003,105.0
2012,Yorkshire and The Humber,,East Riding of Yorkshire,4,E12000003,105.0
2013,Yorkshire and The Humber,,East Riding of Yorkshire,4,E12000003,103.0
2014,Yorkshire and The Humber,,East Riding of Yorkshire,4,E12000003,104.0
2015,Yorkshire and The Humber,,East Riding of Yorkshire,4,E12000003,101.0
2016,Yorkshire and The Humber,,East Riding of Yorkshire,4,E12000003,103.0
2017,Yorkshire and The Humber,,East Riding of Yorkshire,4,E12000003,105.0
2018,Yorkshire and The Humber,,East Riding of Yorkshire,4,E12000003,106.0
2011,Yorkshire and The Humber,,East Riding of Yorkshire,3 to 4,E12000003,104.0
2012,Yorkshire and The Humber,,East Riding of Yorkshire,3 to 4,E12000003,104.0
2013,Yorkshire and The Humber,,East Riding of Yorkshire,3 to 4,E12000003,102.0
2014,Yorkshire and The Humber,,East Riding of Yorkshire,3 to 4,E12000003,103.0
2015,Yorkshire and The Humber,,East Riding of Yorkshire,3 to 4,E12000003,101.0
2016,Yorkshire and The Humber,,East Riding of Yorkshire,3 to 4,E12000003,105.0
2017,Yorkshire and The Humber,,East Riding of Yorkshire,3 to 4,E12000003,105.0
2018,Yorkshire and The Humber,,East Riding of Yorkshire,3 to 4,E12000003,105.0
2015,Yorkshire and The Humber,,"Kingston upon Hull, City of",2,E12000003,66.0
2016,Yorkshire and The Humber,,"Kingston upon Hull, City of",2,E12000003,71.0
2017,Yorkshire and The Humber,,"Kingston upon Hull, City of",2,E12000003,76.0
2018,Yorkshire and The Humber,,"Kingston upon Hull, City of",2,E12000003,70.0
2011,Yorkshire and The Humber,,"Kingston upon Hull, City of",3,E12000003,95.0
2012,Yorkshire and The Humber,,"Kingston upon Hull, City of",3,E12000003,93.0
2013,Yorkshire and The Humber,,"Kingston upon Hull, City of",3,E12000003,94.0
2014,Yorkshire and The Humber,,"Kingston upon Hull, City of",3,E12000003,96.0
2015,Yorkshire and The Humber,,"Kingston upon Hull, City of",3,E12000003,95.0
2016,Yorkshire and The Humber,,"Kingston upon Hull, City of",3,E12000003,95.0
2017,Yorkshire and The Humber,,"Kingston upon Hull, City of",3,E12000003,95.0
2018,Yorkshire and The Humber,,"Kingston upon Hull, City of",3,E12000003,95.0
2011,Yorkshire and The Humber,,"Kingston upon Hull, City of",4,E12000003,98.0
2012,Yorkshire and The Humber,,"Kingston upon Hull, City of",4,E12000003,96.0
2013,Yorkshire and The Humber,,"Kingston upon Hull, City of",4,E12000003,96.0
2014,Yorkshire and The Humber,,"Kingston upon Hull, City of",4,E12000003,96.0
2015,Yorkshire and The Humber,,"Kingston upon Hull, City of",4,E12000003,98.0
2016,Yorkshire and The Humber,,"Kingston upon Hull, City of",4,E12000003,97.0
2017,Yorkshire and The Humber,,"Kingston upon Hull, City of",4,E12000003,96.0
2018,Yorkshire and The Humber,,"Kingston upon Hull, City of",4,E12000003,97.0
2011,Yorkshire and The Humber,,"Kingston upon Hull, City of",3 to 4,E12000003,96.0
2012,Yorkshire and The Humber,,"Kingston upon Hull, City of",3 to 4,E12000003,95.0
2013,Yorkshire and The Humber,,"Kingston upon Hull, City of",3 to 4,E12000003,95.0
2014,Yorkshire and The Humber,,"Kingston upon Hull, City of",3 to 4,E12000003,96.0
2015,Yorkshire and The Humber,,"Kingston upon Hull, City of",3 to 4,E12000003,97.0
2016,Yorkshire and The Humber,,"Kingston upon Hull, City of",3 to 4,E12000003,96.0
2017,Yorkshire and The Humber,,"Kingston upon Hull, City of",3 to 4,E12000003,96.0
2018,Yorkshire and The Humber,,"Kingston upon Hull, City of",3 to 4,E12000003,96.0
2015,Yorkshire and The Humber,,Kirklees,2,E12000003,66.0
2016,Yorkshire and The Humber,,Kirklees,2,E12000003,71.0
2017,Yorkshire and The Humber,,Kirklees,2,E12000003,72.0
2018,Yorkshire and The Humber,,Kirklees,2,E12000003,71.0
2011,Yorkshire and The Humber,,Kirklees,3,E12000003,94.0
2012,Yorkshire and The Humber,,Kirklees,3,E12000003,93.0
2013,Yorkshire and The Humber,,Kirklees,3,E12000003,96.0
2014,Yorkshire and The Humber,,Kirklees,3,E12000003,93.0
2015,Yorkshire and The Humber,,Kirklees,3,E12000003,93.0
2016,Yorkshire and The Humber,,Kirklees,3,E12000003,92.0
2017,Yorkshire and The Humber,,Kirklees,3,E12000003,94.0
2018,Yorkshire and The Humber,,Kirklees,3,E12000003,91.0
2011,Yorkshire and The Humber,,Kirklees,4,E12000003,97.0
2012,Yorkshire and The Humber,,Kirklees,4,E12000003,98.0
2013,Yorkshire and The Humber,,Kirklees,4,E12000003,97.0
2014,Yorkshire and The Humber,,Kirklees,4,E12000003,100.0
2015,Yorkshire and The Humber,,Kirklees,4,E12000003,96.0
2016,Yorkshire and The Humber,,Kirklees,4,E12000003,95.0
2017,Yorkshire and The Humber,,Kirklees,4,E12000003,95.0
2018,Yorkshire and The Humber,,Kirklees,4,E12000003,97.0
2011,Yorkshire and The Humber,,Kirklees,3 to 4,E12000003,95.0
2012,Yorkshire and The Humber,,Kirklees,3 to 4,E12000003,95.0
2013,Yorkshire and The Humber,,Kirklees,3 to 4,E12000003,96.0
2014,Yorkshire and The Humber,,Kirklees,3 to 4,E12000003,97.0
2015,Yorkshire and The Humber,,Kirklees,3 to 4,E12000003,95.0
2016,Yorkshire and The Humber,,Kirklees,3 to 4,E12000003,94.0
2017,Yorkshire and The Humber,,Kirklees,3 to 4,E12000003,94.0
2018,Yorkshire and The Humber,,Kirklees,3 to 4,E12000003,94.0
2015,Yorkshire and The Humber,,Leeds,2,E12000003,56.0
2016,Yorkshire and The Humber,,Leeds,2,E12000003,68.0
2017,Yorkshire and The Humber,,Leeds,2,E12000003,68.0
2018,Yorkshire and The Humber,,Leeds,2,E12000003,67.0
2011,Yorkshire and The Humber,,Leeds,3,E12000003,95.0
2012,Yorkshire and The Humber,,Leeds,3,E12000003,97.0
2013,Yorkshire and The Humber,,Leeds,3,E12000003,96.0
2014,Yorkshire and The Humber,,Leeds,3,E12000003,97.0
2015,Yorkshire and The Humber,,Leeds,3,E12000003,95.0
2016,Yorkshire and The Humber,,Leeds,3,E12000003,95.0
2017,Yorkshire and The Humber,,Leeds,3,E12000003,95.0
2018,Yorkshire and The Humber,,Leeds,3,E12000003,96.0
2011,Yorkshire and The Humber,,Leeds,4,E12000003,100.0
2012,Yorkshire and The Humber,,Leeds,4,E12000003,99.0
2013,Yorkshire and The Humber,,Leeds,4,E12000003,101.0
2014,Yorkshire and The Humber,,Leeds,4,E12000003,101.0
2015,Yorkshire and The Humber,,Leeds,4,E12000003,102.0
2016,Yorkshire and The Humber,,Leeds,4,E12000003,100.0
2017,Yorkshire and The Humber,,Leeds,4,E12000003,99.0
2018,Yorkshire and The Humber,,Leeds,4,E12000003,99.0
2011,Yorkshire and The Humber,,Leeds,3 to 4,E12000003,98.0
2012,Yorkshire and The Humber,,Leeds,3 to 4,E12000003,98.0
2013,Yorkshire and The Humber,,Leeds,3 to 4,E12000003,98.0
2014,Yorkshire and The Humber,,Leeds,3 to 4,E12000003,99.0
2015,Yorkshire and The Humber,,Leeds,3 to 4,E12000003,99.0
2016,Yorkshire and The Humber,,Leeds,3 to 4,E12000003,97.0
2017,Yorkshire and The Humber,,Leeds,3 to 4,E12000003,97.0
2018,Yorkshire and The Humber,,Leeds,3 to 4,E12000003,97.0
2015,Yorkshire and The Humber,,North East Lincolnshire,2,E12000003,68.0
2016,Yorkshire and The Humber,,North East Lincolnshire,2,E12000003,77.0
2017,Yorkshire and The Humber,,North East Lincolnshire,2,E12000003,81.0
2018,Yorkshire and The Humber,,North East Lincolnshire,2,E12000003,77.0
2011,Yorkshire and The Humber,,North East Lincolnshire,3,E12000003,94.0
2012,Yorkshire and The Humber,,North East Lincolnshire,3,E12000003,95.0
2013,Yorkshire and The Humber,,North East Lincolnshire,3,E12000003,96.0
2014,Yorkshire and The Humber,,North East Lincolnshire,3,E12000003,91.0
2015,Yorkshire and The Humber,,North East Lincolnshire,3,E12000003,96.0
2016,Yorkshire and The Humber,,North East Lincolnshire,3,E12000003,97.0
2017,Yorkshire and The Humber,,North East Lincolnshire,3,E12000003,97.0
2018,Yorkshire and The Humber,,North East Lincolnshire,3,E12000003,95.0
2011,Yorkshire and The Humber,,North East Lincolnshire,4,E12000003,97.0
2012,Yorkshire and The Humber,,North East Lincolnshire,4,E12000003,98.0
2013,Yorkshire and The Humber,,North East Lincolnshire,4,E12000003,97.0
2014,Yorkshire and The Humber,,North East Lincolnshire,4,E12000003,97.0
2015,Yorkshire and The Humber,,North East Lincolnshire,4,E12000003,95.0
2016,Yorkshire and The Humber,,North East Lincolnshire,4,E12000003,100.0
2017,Yorkshire and The Humber,,North East Lincolnshire,4,E12000003,98.0
2018,Yorkshire and The Humber,,North East Lincolnshire,4,E12000003,99.0
2011,Yorkshire and The Humber,,North East Lincolnshire,3 to 4,E12000003,96.0
2012,Yorkshire and The Humber,,North East Lincolnshire,3 to 4,E12000003,96.0
2013,Yorkshire and The Humber,,North East Lincolnshire,3 to 4,E12000003,96.0
2014,Yorkshire and The Humber,,North East Lincolnshire,3 to 4,E12000003,94.0
2015,Yorkshire and The Humber,,North East Lincolnshire,3 to 4,E12000003,96.0
2016,Yorkshire and The Humber,,North East Lincolnshire,3 to 4,E12000003,99.0
2017,Yorkshire and The Humber,,North East Lincolnshire,3 to 4,E12000003,97.0
2018,Yorkshire and The Humber,,North East Lincolnshire,3 to 4,E12000003,97.0
2015,Yorkshire and The Humber,,North Lincolnshire,2,E12000003,68.0
2016,Yorkshire and The Humber,,North Lincolnshire,2,E12000003,75.0
2017,Yorkshire and The Humber,,North Lincolnshire,2,E12000003,78.0
2018,Yorkshire and The Humber,,North Lincolnshire,2,E12000003,71.0
2011,Yorkshire and The Humber,,North Lincolnshire,3,E12000003,89.0
2012,Yorkshire and The Humber,,North Lincolnshire,3,E12000003,89.0
2013,Yorkshire and The Humber,,North Lincolnshire,3,E12000003,89.0
2014,Yorkshire and The Humber,,North Lincolnshire,3,E12000003,90.0
2015,Yorkshire and The Humber,,North Lincolnshire,3,E12000003,92.0
2016,Yorkshire and The Humber,,North Lincolnshire,3,E12000003,96.0
2017,Yorkshire and The Humber,,North Lincolnshire,3,E12000003,97.0
2018,Yorkshire and The Humber,,North Lincolnshire,3,E12000003,94.0
2011,Yorkshire and The Humber,,North Lincolnshire,4,E12000003,94.0
2012,Yorkshire and The Humber,,North Lincolnshire,4,E12000003,92.0
2013,Yorkshire and The Humber,,North Lincolnshire,4,E12000003,92.0
2014,Yorkshire and The Humber,,North Lincolnshire,4,E12000003,94.0
2015,Yorkshire and The Humber,,North Lincolnshire,4,E12000003,93.0
2016,Yorkshire and The Humber,,North Lincolnshire,4,E12000003,96.0
2017,Yorkshire and The Humber,,North Lincolnshire,4,E12000003,99.0
2018,Yorkshire and The Humber,,North Lincolnshire,4,E12000003,100.0
2011,Yorkshire and The Humber,,North Lincolnshire,3 to 4,E12000003,92.0
2012,Yorkshire and The Humber,,North Lincolnshire,3 to 4,E12000003,90.0
2013,Yorkshire and The Humber,,North Lincolnshire,3 to 4,E12000003,90.0
2014,Yorkshire and The Humber,,North Lincolnshire,3 to 4,E12000003,92.0
2015,Yorkshire and The Humber,,North Lincolnshire,3 to 4,E12000003,93.0
2016,Yorkshire and The Humber,,North Lincolnshire,3 to 4,E12000003,96.0
2017,Yorkshire and The Humber,,North Lincolnshire,3 to 4,E12000003,98.0
2018,Yorkshire and The Humber,,North Lincolnshire,3 to 4,E12000003,97.0
2015,Yorkshire and The Humber,North Yorkshire,,2,E10000023,63.0
2016,Yorkshire and The Humber,North Yorkshire,,2,E10000023,76.0
2017,Yorkshire and The Humber,North Yorkshire,,2,E10000023,81.0
2018,Yorkshire and The Humber,North Yorkshire,,2,E10000023,96.0
2011,Yorkshire and The Humber,North Yorkshire,,3,E10000023,96.0
2012,Yorkshire and The Humber,North Yorkshire,,3,E10000023,100.0
2013,Yorkshire and The Humber,North Yorkshire,,3,E10000023,98.0
2014,Yorkshire and The Humber,North Yorkshire,,3,E10000023,97.0
2015,Yorkshire and The Humber,North Yorkshire,,3,E10000023,99.0
2016,Yorkshire and The Humber,North Yorkshire,,3,E10000023,100.0
2017,Yorkshire and The Humber,North Yorkshire,,3,E10000023,96.0
2018,Yorkshire and The Humber,North Yorkshire,,3,E10000023,98.0
2011,Yorkshire and The Humber,North Yorkshire,,4,E10000023,97.0
2012,Yorkshire and The Humber,North Yorkshire,,4,E10000023,96.0
2013,Yorkshire and The Humber,North Yorkshire,,4,E10000023,101.0
2014,Yorkshire and The Humber,North Yorkshire,,4,E10000023,98.0
2015,Yorkshire and The Humber,North Yorkshire,,4,E10000023,98.0
2016,Yorkshire and The Humber,North Yorkshire,,4,E10000023,101.0
2017,Yorkshire and The Humber,North Yorkshire,,4,E10000023,98.0
2018,Yorkshire and The Humber,North Yorkshire,,4,E10000023,97.0
2011,Yorkshire and The Humber,North Yorkshire,,3 to 4,E10000023,96.0
2012,Yorkshire and The Humber,North Yorkshire,,3 to 4,E10000023,98.0
2013,Yorkshire and The Humber,North Yorkshire,,3 to 4,E10000023,100.0
2014,Yorkshire and The Humber,North Yorkshire,,3 to 4,E10000023,98.0
2015,Yorkshire and The Humber,North Yorkshire,,3 to 4,E10000023,98.0
2016,Yorkshire and The Humber,North Yorkshire,,3 to 4,E10000023,101.0
2017,Yorkshire and The Humber,North Yorkshire,,3 to 4,E10000023,97.0
2018,Yorkshire and The Humber,North Yorkshire,,3 to 4,E10000023,98.0
2015,Yorkshire and The Humber,,Rotherham,2,E12000003,72.0
2016,Yorkshire and The Humber,,Rotherham,2,E12000003,79.0
2017,Yorkshire and The Humber,,Rotherham,2,E12000003,79.0
2018,Yorkshire and The Humber,,Rotherham,2,E12000003,79.0
2011,Yorkshire and The Humber,,Rotherham,3,E12000003,92.0
2012,Yorkshire and The Humber,,Rotherham,3,E12000003,92.0
2013,Yorkshire and The Humber,,Rotherham,3,E12000003,91.0
2014,Yorkshire and The Humber,,Rotherham,3,E12000003,97.0
2015,Yorkshire and The Humber,,Rotherham,3,E12000003,93.0
2016,Yorkshire and The Humber,,Rotherham,3,E12000003,95.0
2017,Yorkshire and The Humber,,Rotherham,3,E12000003,95.0
2018,Yorkshire and The Humber,,Rotherham,3,E12000003,94.0
2011,Yorkshire and The Humber,,Rotherham,4,E12000003,98.0
2012,Yorkshire and The Humber,,Rotherham,4,E12000003,103.0
2013,Yorkshire and The Humber,,Rotherham,4,E12000003,101.0
2014,Yorkshire and The Humber,,Rotherham,4,E12000003,100.0
2015,Yorkshire and The Humber,,Rotherham,4,E12000003,104.0
2016,Yorkshire and The Humber,,Rotherham,4,E12000003,99.0
2017,Yorkshire and The Humber,,Rotherham,4,E12000003,101.0
2018,Yorkshire and The Humber,,Rotherham,4,E12000003,101.0
2011,Yorkshire and The Humber,,Rotherham,3 to 4,E12000003,95.0
2012,Yorkshire and The Humber,,Rotherham,3 to 4,E12000003,97.0
2013,Yorkshire and The Humber,,Rotherham,3 to 4,E12000003,96.0
2014,Yorkshire and The Humber,,Rotherham,3 to 4,E12000003,98.0
2015,Yorkshire and The Humber,,Rotherham,3 to 4,E12000003,98.0
2016,Yorkshire and The Humber,,Rotherham,3 to 4,E12000003,97.0
2017,Yorkshire and The Humber,,Rotherham,3 to 4,E12000003,98.0
2018,Yorkshire and The Humber,,Rotherham,3 to 4,E12000003,97.0
2015,Yorkshire and The Humber,,Sheffield,2,E12000003,59.0
2016,Yorkshire and The Humber,,Sheffield,2,E12000003,61.0
2017,Yorkshire and The Humber,,Sheffield,2,E12000003,64.0
2018,Yorkshire and The Humber,,Sheffield,2,E12000003,62.0
2011,Yorkshire and The Humber,,Sheffield,3,E12000003,95.0
2012,Yorkshire and The Humber,,Sheffield,3,E12000003,93.0
2013,Yorkshire and The Humber,,Sheffield,3,E12000003,91.0
2014,Yorkshire and The Humber,,Sheffield,3,E12000003,92.0
2015,Yorkshire and The Humber,,Sheffield,3,E12000003,94.0
2016,Yorkshire and The Humber,,Sheffield,3,E12000003,94.0
2017,Yorkshire and The Humber,,Sheffield,3,E12000003,95.0
2018,Yorkshire and The Humber,,Sheffield,3,E12000003,94.0
2011,Yorkshire and The Humber,,Sheffield,4,E12000003,93.0
2012,Yorkshire and The Humber,,Sheffield,4,E12000003,94.0
2013,Yorkshire and The Humber,,Sheffield,4,E12000003,93.0
2014,Yorkshire and The Humber,,Sheffield,4,E12000003,92.0
2015,Yorkshire and The Humber,,Sheffield,4,E12000003,94.0
2016,Yorkshire and The Humber,,Sheffield,4,E12000003,97.0
2017,Yorkshire and The Humber,,Sheffield,4,E12000003,95.0
2018,Yorkshire and The Humber,,Sheffield,4,E12000003,96.0
2011,Yorkshire and The Humber,,Sheffield,3 to 4,E12000003,94.0
2012,Yorkshire and The Humber,,Sheffield,3 to 4,E12000003,93.0
2013,Yorkshire and The Humber,,Sheffield,3 to 4,E12000003,92.0
2014,Yorkshire and The Humber,,Sheffield,3 to 4,E12000003,92.0
2015,Yorkshire and The Humber,,Sheffield,3 to 4,E12000003,94.0
2016,Yorkshire and The Humber,,Sheffield,3 to 4,E12000003,96.0
2017,Yorkshire and The Humber,,Sheffield,3 to 4,E12000003,95.0
2018,Yorkshire and The Humber,,Sheffield,3 to 4,E12000003,95.0
2015,Yorkshire and The Humber,,Wakefield,2,E12000003,67.0
2016,Yorkshire and The Humber,,Wakefield,2,E12000003,74.0
2017,Yorkshire and The Humber,,Wakefield,2,E12000003,76.0
2018,Yorkshire and The Humber,,Wakefield,2,E12000003,75.0
2011,Yorkshire and The Humber,,Wakefield,3,E12000003,101.0
2012,Yorkshire and The Humber,,Wakefield,3,E12000003,100.0
2013,Yorkshire and The Humber,,Wakefield,3,E12000003,99.0
2014,Yorkshire and The Humber,,Wakefield,3,E12000003,102.0
2015,Yorkshire and The Humber,,Wakefield,3,E12000003,98.0
2016,Yorkshire and The Humber,,Wakefield,3,E12000003,98.0
2017,Yorkshire and The Humber,,Wakefield,3,E12000003,98.0
