Year,Performing/Funding,Country,Region,Sector,Source,Source sub-category,Product group,Unit measure,GeoCode,Value
2005,Performing research and development,,,Business Enterprise,,,Other manufactured goods,Percentage (%),,0.00184013605682906
2011,Performing research and development,,,Business Enterprise,,,Construction,Percentage (%),,0.00187836666929234
2017,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),,0.00189279132849199
2017,Performing research and development,Scotland,,Private Non-Profit,,,,Percentage (%),S92000003,0.00189279132849199
2008,Funding research and development,,,Higher Education,,,,Percentage (%),,0.00191870449072786
2008,Performing research and development,,,Business Enterprise,,,Other transport equipment,Percentage (%),,0.00191870449072786
2006,Funding research and development,,,Higher Education,,,,Percentage (%),,0.00194954051346863
2013,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.00196480197602941
2014,Performing research and development,Scotland,,Private Non-Profit,,,,Percentage (%),S92000003,0.00199455647802295
2014,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.00204846340986141
2015,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.0020915338891236
2016,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.00211147905588733
2011,Performing research and development,Wales,,Government,,,,Percentage (%),W92000004,0.00212073656210425
2017,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.00218398999441383
2015,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,0.00219611058357978
2017,Funding research and development,,,Business Enterprise,Overseas,European Commission grants,,Percentage (%),,0.00223252310540081
2007,Performing research and development,,,Business Enterprise,,,"Electricity, gas and water supply",Percentage (%),,0.00224539325496697
2004,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.0022591739405792
2005,Performing research and development,,,Business Enterprise,,,Public administration,Percentage (%),,0.00226478283917423
2012,Performing research and development,England,North West,Private Non-Profit,,,,Percentage (%),E12000002,0.002279788505774
2006,Performing research and development,England,West Midlands,Government,,,,Percentage (%),E12000005,0.0022856681882046
2003,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.00228626389003859
2008,Performing research and development,,,Business Enterprise,,,Other manufactured goods,Percentage (%),,0.00230244538887343
2004,Performing research and development,,,Business Enterprise,,,Public administration,Percentage (%),,0.00233447973859851
2016,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.00236284561015963
2011,Performing research and development,England,North West,Private Non-Profit,,,,Percentage (%),E12000002,0.00236310645491617
2016,Performing research and development,England,North East,Government,,,,Percentage (%),E12000001,0.00236284561015963
2007,Performing research and development,,,Business Enterprise,,,Wholesale and retail trade,Percentage (%),,0.00237370144096508
2015,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),,0.00240526397249214
2005,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.00240633176662262
2002,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.00241542674760289
2015,Performing research and development,England,North East,Government,,,,Percentage (%),E12000001,0.00245755231972023
2017,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.00247518866033568
2004,Performing research and development,,,Business Enterprise,,,Other manufactured goods,Percentage (%),,0.00248509133463712
2006,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.00255457032799338
2008,Performing research and development,,,Business Enterprise,,,"Electricity, gas and water supply",Percentage (%),,0.00255827265430381
2015,Performing research and development,,,Business Enterprise,,,"Pulp, paper and paper products; Printing; Wood and straw products",Percentage (%),,0.00256212901417641
2014,Performing research and development,,,Business Enterprise,,,"Pulp, paper and paper products; Printing; Wood and straw products",Percentage (%),,0.00258753272824599
2012,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.00263052519897
2013,Performing research and development,,,Business Enterprise,,,Other non-metallic mineral products,Percentage (%),,0.00263844836781093
2011,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.00266606882093106
2013,Performing research and development,,,Business Enterprise,,,"Pulp, paper and paper products; Printing; Wood and straw products",Percentage (%),,0.00269458556712605
2004,Performing research and development,,,Business Enterprise,,,Extractive Industries,Percentage (%),,0.00271100872869504
2012,Performing research and development,,,Business Enterprise,,,Other non-metallic mineral products,Percentage (%),,0.00274743743003533
2014,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.00274925352376136
2006,Funding research and development,,,Business Enterprise,Overseas,European Commission grants,,Percentage (%),,0.00275624693283496
2003,Performing research and development,,,Business Enterprise,,,Other manufactured goods,Percentage (%),,0.00275928400521898
2009,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),,0.00277932723475684
2012,Performing research and development,,,Business Enterprise,,,Other transport equipment,Percentage (%),,0.002805893545568
2007,Performing research and development,Wales,,Government,,,,Percentage (%),W92000004,0.00282278009195847
