Year,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2017,Domestic material consumption per GDP (tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),107.859154430823
2000,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),160.02548875621255
2001,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),156.46601951781642
2002,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),146.14420715733127
2003,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),149.32351120208241
2004,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),151.7367945643342
2005,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),145.13482534298691
2006,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),138.30855937250556
2007,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),131.56243456813735
2008,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),124.72006463395951
2009,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),120.13740842891413
2010,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),109.15040243976105
2011,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),107.14637971803673
2012,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),106.39018980891998
2013,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),98.31739756632008
2014,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),89.21633820664907
2015,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),82.16423551524066
2016,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),74.688420518793
2017,Domestic material consumption per GDP (tonnes per £m),Fossil energy materials,Undefined,Units,Tonnes of DMC per GDP (£m),71.01140350790907
