Year,Flow of Official Development Assistance (ODA),Aid Category (DAC 5 Code),Aid Subcategory (DAC 5 Code),Aid Description (CRS Code),Value
2011,Bilateral,Communications (220),,Telecommunications (22020),34214.976800000004
2012,Bilateral,Communications (220),,,-6762.360191999997
2012,Bilateral,Communications (220),,Communications policy and administrative management (22010),2478.452248
2012,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),-8010.1292600000015
2012,Bilateral,Communications (220),,Radio/television/print media (22030),2923.58784
2012,Bilateral,Communications (220),,Telecommunications (22020),-4154.27102
2013,Bilateral,Communications (220),,,4816.1206090000005
2013,Bilateral,Communications (220),,Communications policy and administrative management (22010),1752.4272190000002
2013,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),-6285.85146
2013,Bilateral,Communications (220),,Radio/television/print media (22030),1828.7318200000004
2013,Bilateral,Communications (220),,Telecommunications (22020),7520.813029999999
2014,Bilateral,Communications (220),,,-1725.9787960000006
2014,Bilateral,Communications (220),,Communications policy and administrative management (22010),894.09642
2014,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),-6482.3339129999995
2014,Bilateral,Communications (220),,Radio/television/print media (22030),-3058.025123
2014,Bilateral,Communications (220),,Telecommunications (22020),6920.28382
2015,Bilateral,Communications (220),,,1295.60553
2015,Bilateral,Communications (220),,Communications policy and administrative management (22010),482.02153
2015,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),68.988
2015,Bilateral,Communications (220),,Radio/television/print media (22030),24.191
2015,Bilateral,Communications (220),,Telecommunications (22020),720.405
2016,Bilateral,Communications (220),,,9036.119229999998
2016,Bilateral,Communications (220),,Communications policy and administrative management (22010),7147.193829999999
2016,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),139.14466
2016,Bilateral,Communications (220),,Radio/television/print media (22030),121.57336
2016,Bilateral,Communications (220),,Telecommunications (22020),1628.2073799999998
2010,Multilateral,Communications (220),,,7972.635217558407
2010,Multilateral,Communications (220),,Communications policy and administrative management (22010),1409.0658107665895
2010,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),3932.397984450979
2010,Multilateral,Communications (220),,Radio/television/print media (22030),506.4086263640961
2010,Multilateral,Communications (220),,Telecommunications (22020),2124.762795976742
2011,Multilateral,Communications (220),,,28041.518792429433
2011,Multilateral,Communications (220),,Communications policy and administrative management (22010),1982.529056799747
2011,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),7101.457503953644
2011,Multilateral,Communications (220),,Radio/television/print media (22030),363.07424163167406
2011,Multilateral,Communications (220),,Telecommunications (22020),18594.457990044368
2012,Multilateral,Communications (220),,,18713.93224580583
2012,Multilateral,Communications (220),,Communications policy and administrative management (22010),1641.530096487448
2012,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),4414.5756423480125
2012,Multilateral,Communications (220),,Radio/television/print media (22030),203.3537240208908
2012,Multilateral,Communications (220),,Telecommunications (22020),12454.472782949479
2013,Multilateral,Communications (220),,,47358.075938585156
2013,Multilateral,Communications (220),,Communications policy and administrative management (22010),3029.4257752164767
2013,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),8255.0506532066
2013,Multilateral,Communications (220),,Radio/television/print media (22030),317.4729366748912
2013,Multilateral,Communications (220),,Telecommunications (22020),35756.126573487185
2014,Multilateral,Communications (220),,,24300.948417820946
2014,Multilateral,Communications (220),,Communications policy and administrative management (22010),5648.20736352277
2014,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),6126.856399115197
2014,Multilateral,Communications (220),,Radio/television/print media (22030),174.73717416794437
2014,Multilateral,Communications (220),,Telecommunications (22020),12351.147481015034
2015,Multilateral,Communications (220),,,13424.787043677647
2015,Multilateral,Communications (220),,Communications policy and administrative management (22010),4758.920456587481
2015,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),5518.519794588641
2015,Multilateral,Communications (220),,Radio/television/print media (22030),153.39727465945822
2015,Multilateral,Communications (220),,Telecommunications (22020),2993.9495178420675
2016,Multilateral,Communications (220),,,21920.077717539105
2016,Multilateral,Communications (220),,Communications policy and administrative management (22010),5217.755679893933
2016,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),10362.152157189299
2016,Multilateral,Communications (220),,Radio/television/print media (22030),69.5344256549882
2016,Multilateral,Communications (220),,Telecommunications (22020),6270.635454800886
2010,,Communications (220),,,69624.03809655839
2010,,Communications (220),,Communications policy and administrative management (22010),8520.50705076659
2010,,Communications (220),,Information and communication technology (ICT) (22040),28427.916035450977
2010,,Communications (220),,Radio/television/print media (22030),11455.788426364097
2010,,Communications (220),,Telecommunications (22020),21219.82658397674
2011,,Communications (220),,,80999.36574242944
2011,,Communications (220),,Communications policy and administrative management (22010),11133.079546799747
2011,,Communications (220),,Information and communication technology (ICT) (22040),12392.509783953647
2011,,Communications (220),,Radio/television/print media (22030),4664.341621631675
2011,,Communications (220),,Telecommunications (22020),52809.43479004437
2012,,Communications (220),,,11951.572053805834
2012,,Communications (220),,Communications policy and administrative management (22010),4119.982344487448
2012,,Communications (220),,Information and communication technology (ICT) (22040),-3595.553617651989
2012,,Communications (220),,Radio/television/print media (22030),3126.941564020891
2012,,Communications (220),,Telecommunications (22020),8300.201762949479
2013,,Communications (220),,,52174.196547585154
2013,,Communications (220),,Communications policy and administrative management (22010),4781.852994216477
2013,,Communications (220),,Information and communication technology (ICT) (22040),1969.1991932065994
2013,,Communications (220),,Radio/television/print media (22030),2146.2047566748915
2013,,Communications (220),,Telecommunications (22020),43276.93960348718
2014,,Communications (220),,,22574.969621820946
2014,,Communications (220),,Communications policy and administrative management (22010),6542.30378352277
2014,,Communications (220),,Information and communication technology (ICT) (22040),-355.47751388480265
2014,,Communications (220),,Radio/television/print media (22030),-2883.2879488320555
2014,,Communications (220),,Telecommunications (22020),19271.431301015033
2015,,Communications (220),,,14720.392573677647
2015,,Communications (220),,Communications policy and administrative management (22010),5240.941986587481
2015,,Communications (220),,Information and communication technology (ICT) (22040),5587.507794588641
2015,,Communications (220),,Radio/television/print media (22030),177.58827465945822
2015,,Communications (220),,Telecommunications (22020),3714.3545178420673
2016,,Communications (220),,,30956.1969475391
2016,,Communications (220),,Communications policy and administrative management (22010),12364.949509893933
2016,,Communications (220),,Information and communication technology (ICT) (22040),10501.296817189299
2016,,Communications (220),,Radio/television/print media (22030),191.1077856549882
2016,,Communications (220),,Telecommunications (22020),7898.842834800886
2009,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,51782.29
2010,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,79882.84080399998
2011,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,147552.134252
2012,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,284465.041998
2013,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,137754.39948999998
2014,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,108587.98704099996
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)",,,112511.83988799999
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)","Energy generation, distribution and efficiency – general (231)",40939.001408
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),32435.114488
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, distribution and efficiency – general (231)",Energy research (23182),8503.88692
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources (233)",4244.47368
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",-209.12648000000002
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),4453.60016
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",39894.01288
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources (232)",56131.56709
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),16237.55421
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2015,Bilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),11196.797709999999
