Year,Flow of Official Development Assistance (ODA),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2015,,"Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),20780.655567533202
2015,,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),19956.8840515523
2015,,"Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2015,,"Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),171469.25276931
2015,,"Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),5774.362501279711
2015,,"Energy generation, renewable sources (232)",,Undefined,Thousands,GBP (£),284422.800209606
2015,,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),2.78307433245185
2015,,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),95449.0047692711
2015,,"Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),225.931891783032
2015,,"Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2015,,"Heating, cooling and energy distribution (236)",,Undefined,Thousands,GBP (£),95677.7197353866
2015,,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2015,,Hybrid energy electric power plants (234),,Undefined,Thousands,GBP (£),0.0
2015,,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),3621.6060040770703
2015,,Nuclear energy electric power plants (235),,Undefined,Thousands,GBP (£),3621.6060040770703
2015,,,,Undefined,Thousands,GBP (£),547970.3644130661
2016,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),145.82242
2016,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),95155.03722
2016,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),Undefined,Thousands,GBP (£),11520.81623
2016,Bilateral,"Energy generation, distribution and efficiency – general (231)",,Undefined,Thousands,GBP (£),106821.67587
2016,Bilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),31.3574799999999
2016,Bilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy generation, non-renewable sources (233)",,Undefined,Thousands,GBP (£),31.3574799999999
2016,Bilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),29.64
2016,Bilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),72454.54288
2016,Bilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),6719.524440000001
2016,Bilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),26.11686
2016,Bilateral,"Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),13.252120000000001
2016,Bilateral,"Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),56.703959999999995
2016,Bilateral,"Energy generation, renewable sources (232)",,Undefined,Thousands,GBP (£),79299.78026
2016,Bilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),13932.918319999999
2016,Bilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,"Heating, cooling and energy distribution (236)",,Undefined,Thousands,GBP (£),13932.918319999999
2016,Bilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,Hybrid energy electric power plants (234),,Undefined,Thousands,GBP (£),0.0
2016,Bilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,Nuclear energy electric power plants (235),,Undefined,Thousands,GBP (£),0.0
2016,Bilateral,,,Undefined,Thousands,GBP (£),200085.73193
2016,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),705.114845163878
2016,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),456.83547902020996
2016,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),43395.139415319
2016,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),Undefined,Thousands,GBP (£),61.800757435235006
2016,Multilateral,"Energy generation, distribution and efficiency – general (231)",,Undefined,Thousands,GBP (£),44618.8904969383
2016,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),41.6211076681069
2016,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),8378.15882363018
2016,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),328.895099743108
2016,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),5282.001605786049
2016,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),1.0
2016,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),117.093057861586
2016,Multilateral,"Energy generation, non-renewable sources (233)",,Undefined,Thousands,GBP (£),14147.769694689
2016,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),810.168561725905
2016,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),48811.789079432696
2016,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),4337.502630231261
2016,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),19058.530987735
2016,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),1.0
2016,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),16938.366471793703
2016,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),7924.7134932728195
2016,Multilateral,"Energy generation, renewable sources (232)",,Undefined,Thousands,GBP (£),97882.0712241915
2016,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2016,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),104711.076939654
2016,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),21513.8585007615
2016,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),1.0
2016,Multilateral,"Heating, cooling and energy distribution (236)",,Undefined,Thousands,GBP (£),126225.935440415
2016,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),1.0
2016,Multilateral,Hybrid energy electric power plants (234),,Undefined,Thousands,GBP (£),1.0
2016,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),9669.302548393442
2016,Multilateral,Nuclear energy electric power plants (235),,Undefined,Thousands,GBP (£),9669.302548393442
2016,Multilateral,,,Undefined,Thousands,GBP (£),292544.96940462803
2016,,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),Undefined,Thousands,GBP (£),705.114845163878
2016,,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),Undefined,Thousands,GBP (£),602.6578990202099
2016,,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),Undefined,Thousands,GBP (£),138550.17663531902
2016,,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),Undefined,Thousands,GBP (£),11582.6169874352
2016,,"Energy generation, distribution and efficiency – general (231)",,Undefined,Thousands,GBP (£),151440.566366938
2016,,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),Undefined,Thousands,GBP (£),41.6211076681069
2016,,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",Undefined,Thousands,GBP (£),8409.51630363018
2016,,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),Undefined,Thousands,GBP (£),328.895099743108
2016,,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),Undefined,Thousands,GBP (£),5282.001605786049
2016,,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),Undefined,Thousands,GBP (£),1.0
2016,,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),Undefined,Thousands,GBP (£),117.093057861586
2016,,"Energy generation, non-renewable sources (233)",,Undefined,Thousands,GBP (£),14179.127174689
2016,,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),Undefined,Thousands,GBP (£),839.808561725905
2016,,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",Undefined,Thousands,GBP (£),121266.33195943199
2016,,"Energy generation, renewable sources (232)",Geothermal energy (23260),Undefined,Thousands,GBP (£),11057.027070231201
2016,,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),Undefined,Thousands,GBP (£),19084.647847735
2016,,"Energy generation, renewable sources (232)",Marine energy (23250),Undefined,Thousands,GBP (£),1.0
2016,,"Energy generation, renewable sources (232)",Solar energy (23230),Undefined,Thousands,GBP (£),16951.6185917937
2016,,"Energy generation, renewable sources (232)",Wind energy (23240),Undefined,Thousands,GBP (£),7981.41745327282
2016,,"Energy generation, renewable sources (232)",,Undefined,Thousands,GBP (£),177181.85148419102
2016,,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),Undefined,Thousands,GBP (£),0.0
2016,,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),Undefined,Thousands,GBP (£),118643.99525965401
2016,,"Heating, cooling and energy distribution (236)",Gas distribution (23640),Undefined,Thousands,GBP (£),21513.8585007615
2016,,"Heating, cooling and energy distribution (236)",Heat plants (23610),Undefined,Thousands,GBP (£),1.0
2016,,"Heating, cooling and energy distribution (236)",,Undefined,Thousands,GBP (£),140158.853760415
2016,,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),Undefined,Thousands,GBP (£),1.0
2016,,Hybrid energy electric power plants (234),,Undefined,Thousands,GBP (£),1.0
2016,,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),Undefined,Thousands,GBP (£),9669.302548393442
2016,,Nuclear energy electric power plants (235),,Undefined,Thousands,GBP (£),9669.302548393442
2016,,,,Undefined,Thousands,GBP (£),492630.701334628
