Year,Flow of Official Development Assistance (ODA),Aid category (DAC 5 code),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2013,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),209837.91926808198
2013,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),55233.6389886122
2013,,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),35599.365651737004
2014,,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),310465.535273512
2014,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),7175.045394094709
2014,,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),71567.4201030452
2014,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),261255.52392472103
2014,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),18722.5650865475
2014,,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),48255.019234896696
2015,,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),755127.45622968
2015,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),276.003068145697
2015,,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),487501.402981314
2015,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),242980.10008405102
2015,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),21780.0738981711
2015,,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),2589.87619799748
2016,,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),569613.5002244379
2016,,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),111.16403322744699
2016,,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),321732.307329387
