Year,Country,Suspected source,Units,Observation status,GeoCode,Value
2016,,Fly-tipped,Median count,Normal value,,0.0
2016,,Medical,Median count,Normal value,,0.0
2016,,Non-sourced,Median count,Normal value,,44.0
2016,,Public,Median count,Normal value,,91.0
2016,,Sewage related debris,Median count,Normal value,,7.5
2016,,Shipping,Median count,Normal value,,9.0
2017,,Fishing,Median count,Normal value,,21.0
2017,,Fly-tipped,Median count,Normal value,,0.0
2017,,Medical,Median count,Normal value,,0.0
2017,,Non-sourced,Median count,Normal value,,45.0
2017,,Public,Median count,Normal value,,84.0
2017,,Sewage related debris,Median count,Normal value,,10.0
2017,,Shipping,Median count,Normal value,,10.0
2018,,Fishing,Median count,Normal value,,16.0
2018,,Fly-tipped,Median count,Normal value,,0.0
2018,,Medical,Median count,Normal value,,0.0
2018,,Non-sourced,Median count,Normal value,,33.0
2018,,Public,Median count,Normal value,,61.0
2018,,Sewage related debris,Median count,Normal value,,6.0
2018,,Shipping,Median count,Normal value,,6.0
2019,,Fishing,Median count,Normal value,,17.0
2019,,Fly-tipped,Median count,Normal value,,0.0
2019,,Medical,Median count,Normal value,,0.0
2019,,Non-sourced,Median count,Normal value,,27.0
2019,,Public,Median count,Normal value,,57.0
2019,,Sewage related debris,Median count,Normal value,,6.0
2019,,Shipping,Median count,Normal value,,5.0
2020,,Fishing,Median count,Time series break,,12.0
2020,,Fly-tipped,Median count,Time series break,,0.0
2020,,Medical,Median count,Time series break,,0.0
2020,,Non-sourced,Median count,Time series break,,24.0
2020,,Public,Median count,Time series break,,49.0
2020,,Sewage related debris,Median count,Time series break,,6.0
2020,,Shipping,Median count,Time series break,,3.0
2021,,Fishing,Median count,Normal value,,16.0
2021,,Fly-tipped,Median count,Normal value,,0.0
2021,,Medical,Median count,Normal value,,1.0
2021,,Non-sourced,Median count,Normal value,,28.0
2021,,Public,Median count,Normal value,,60.5
2021,,Sewage related debris,Median count,Normal value,,5.5
2021,,Shipping,Median count,Normal value,,4.0
2008,Northern Ireland,,Median count,Low reliability,N92000002,378.0
2009,Northern Ireland,,Median count,Low reliability,N92000002,320.0
2010,Northern Ireland,,Median count,Low reliability,N92000002,37.0
2011,Northern Ireland,,Median count,Low reliability,N92000002,346.5
2012,Northern Ireland,,Median count,Low reliability,N92000002,374.0
2013,Northern Ireland,,Median count,Low reliability,N92000002,332.0
2014,Northern Ireland,,Median count,Low reliability,N92000002,337.0
2015,Northern Ireland,,Median count,Low reliability,N92000002,760.0
2016,Northern Ireland,,Median count,Low reliability,N92000002,922.0
2017,Northern Ireland,,Median count,Low reliability,N92000002,242.0
2018,Northern Ireland,,Median count,Low reliability,N92000002,98.0
2019,Northern Ireland,,Median count,Low reliability,N92000002,140.0
2020,Northern Ireland,,Median count,Low reliability; Time series break,N92000002,954.0
2021,Northern Ireland,,Median count,Low reliability,N92000002,466.0
2008,Scotland,,Median count,Low reliability,S92000003,302.0
2009,Scotland,,Median count,Normal value,S92000003,208.0
2010,Scotland,,Median count,Low reliability,S92000003,398.0
2011,Scotland,,Median count,Low reliability,S92000003,273.0
2012,Scotland,,Median count,Low reliability,S92000003,186.0
2013,Scotland,,Median count,Low reliability,S92000003,241.5
2014,Scotland,,Median count,Low reliability,S92000003,351.0
2015,Scotland,,Median count,Normal value,S92000003,185.0
2016,Scotland,,Median count,Normal value,S92000003,188.5
2017,Scotland,,Median count,Normal value,S92000003,156.0
2018,Scotland,,Median count,Normal value,S92000003,174.0
2019,Scotland,,Median count,Normal value,S92000003,115.5
2020,Scotland,,Median count,Time series break,S92000003,132.0
2021,Scotland,,Median count,Normal value,S92000003,115.5
2008,Wales,,Median count,Low reliability,W92000004,382.0
2009,Wales,,Median count,Low reliability,W92000004,387.0
2010,Wales,,Median count,Low reliability,W92000004,245.0
2011,Wales,,Median count,Low reliability,W92000004,224.0
2012,Wales,,Median count,Low reliability,W92000004,336.0
2013,Wales,,Median count,Low reliability,W92000004,391.0
2014,Wales,,Median count,Low reliability,W92000004,387.0
2015,Wales,,Median count,Normal value,W92000004,244.0
2016,Wales,,Median count,Low reliability,W92000004,416.0
2017,Wales,,Median count,Low reliability,W92000004,266.0
2018,Wales,,Median count,Normal value,W92000004,181.5
2019,Wales,,Median count,Normal value,W92000004,184.0
2020,Wales,,Median count,Time series break,W92000004,76.0
2021,Wales,,Median count,Normal value,W92000004,231.5
2008,England,,Median count,Normal value,E92000001,189.5
2009,England,,Median count,Normal value,E92000001,382.0
2010,England,,Median count,Normal value,E92000001,357.0
2011,England,,Median count,Normal value,E92000001,260.0
2012,England,,Median count,Normal value,E92000001,347.0
2013,England,,Median count,Normal value,E92000001,380.0
2014,England,,Median count,Normal value,E92000001,432.0
2015,England,,Median count,Normal value,E92000001,370.0
2016,England,,Median count,Normal value,E92000001,303.0
2017,England,,Median count,Normal value,E92000001,291.0
2018,England,,Median count,Normal value,E92000001,173.0
2019,England,,Median count,Normal value,E92000001,186.0
2020,England,,Median count,Time series break,E92000001,127.5
2021,England,,Median count,Normal value,E92000001,150.0
2008,,,Median count,Normal value,,265.0
2009,,,Median count,Normal value,,322.0
2010,,,Median count,Normal value,,330.0
2011,,,Median count,Normal value,,260.0
2012,,,Median count,Normal value,,340.5
2013,,,Median count,Normal value,,333.5
2014,,,Median count,Normal value,,399.0
2015,,,Median count,Normal value,,271.0
2016,,,Median count,Normal value,,235.0
2017,,,Median count,Normal value,,225.0
2018,,,Median count,Normal value,,174.0
2019,,,Median count,Normal value,,167.0
2020,,,Median count,Time series break,,122.5
2021,,,Median count,Normal value,,139.5
