Year,Units,Series,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2017,Area (000s hectares),Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1306.17
2018,Area (000s hectares),Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1307.48
2019,Area (000s hectares),Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1315.89
2020,Area (000s hectares),Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1318.25
2021,Area (000s hectares),Woodland area net change,England,Hectares,Thousands,Normal value,E92000001,1320.31
2017,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.07
2018,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.1
2019,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.64
2020,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.18
2021,Growth rate (%),Woodland area net change,England,Percentage (%),Units,Normal value,E92000001,0.16
2017,Area (000s hectares),Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,112.38
2018,Area (000s hectares),Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,112.62
2019,Area (000s hectares),Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,113.01
2020,Area (000s hectares),Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,118.38
2021,Area (000s hectares),Woodland area net change,Northern Ireland,Hectares,Thousands,Normal value,N92000002,118.51
2017,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.26
2018,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.21
2019,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.34
2020,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,4.76
2021,Growth rate (%),Woodland area net change,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.11
2017,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1437.66
2018,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1445.94
2019,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1459.48
2020,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1468.86
2021,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1479.52
2017,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Normal value,S92000003,0.18
2018,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Normal value,S92000003,0.58
2019,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Normal value,S92000003,0.94
2020,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Normal value,S92000003,0.64
2021,Growth rate (%),Woodland area net change,Scotland,Percentage (%),Units,Normal value,S92000003,0.73
2017,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,307.67
2018,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,308.54
2019,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,309.92
2020,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,310.02
2021,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,310.39
2017,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.35
2018,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.28
2019,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.45
2020,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.03
2021,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.12
2017,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Normal value,,3163.88
2018,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Normal value,,3174.58
2019,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Normal value,,3198.29
2020,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Normal value,,3215.52
2021,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Normal value,,3228.85
2017,Growth rate (%),Woodland area net change,,Percentage (%),Units,Normal value,,0.15
2018,Growth rate (%),Woodland area net change,,Percentage (%),Units,Normal value,,0.34
2019,Growth rate (%),Woodland area net change,,Percentage (%),Units,Normal value,,0.75
2020,Growth rate (%),Woodland area net change,,Percentage (%),Units,Normal value,,0.54
2021,Growth rate (%),Woodland area net change,,Percentage (%),Units,Normal value,,0.41
